,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,5,3099,7,%,3099,71.42857142857143,71.43,71.42857142857143,71.42857142857143,71.43
1,%,%,True,True,Montana,Montana,12,66192,16,%,66192,75,75.00,75,75,75.00
2,%,%,True,True,Washington,Washington,33,95740,44,%,95740,75,75.00,75,75,75.00
3,%,%,True,True,Arizona,Arizona,39,279130,51,%,279130,76.47058823529412,76.47,76.47058823529412,76.47058823529412,76.47
4,%,%,True,True,Virginia,Virginia,10,23140,13,%,23140,76.92307692307693,76.92,76.92307692307693,76.92307692307693,76.92
5,%,%,True,True,California,California,78,160861,101,%,160861,77.22772277227723,77.23,77.22772277227723,77.22772277227723,77.23
6,%,%,True,True,South Dakota,South Dakota,18,73258,23,%,73258,78.26086956521739,78.26,78.26086956521739,78.26086956521739,78.26
7,%,%,True,True,Maryland,Maryland,8,14865,10,%,14865,80,80.00,80,80,80.00
8,%,%,True,True,Connecticut,Connecticut,8,8111,10,%,8111,80,80.00,80,80,80.00
9,%,%,True,True,Alaska,Alaska,28,109039,35,%,109039,80,80.00,80,80,80.00
10,%,%,True,True,New York,New York,21,60197,26,%,60197,80.76923076923077,80.77,80.76923076923077,80.76923076923077,80.77
11,%,%,True,True,North Carolina,North Carolina,18,115825,22,%,115825,81.81818181818183,81.82,81.81818181818183,81.81818181818183,81.82
12,%,%,True,True,Michigan,Michigan,37,57651,45,%,57651,82.22222222222221,82.22,82.22222222222221,82.22222222222221,82.22
13,%,%,True,True,Oklahoma,Oklahoma,103,339826,125,%,339826,82.39999999999999,82.40,82.39999999999999,82.39999999999999,82.40
14,%,%,True,True,Arkansas,Arkansas,15,23903,18,%,23903,83.33333333333334,83.33,83.33333333333334,83.33333333333334,83.33
15,%,%,True,True,Nevada,Nevada,10,26502,12,%,26502,83.33333333333334,83.33,83.33333333333334,83.33333333333334,83.33
16,%,%,True,True,Texas,Texas,56,96976,66,%,96976,84.84848484848484,84.85,84.84848484848484,84.84848484848484,84.85
17,%,%,True,True,Oregon,Oregon,29,46873,34,%,46873,85.29411764705883,85.29,85.29411764705883,85.29411764705883,85.29
18,%,%,True,True,Louisiana,Louisiana,12,30358,14,%,30358,85.71428571428571,85.71,85.71428571428571,85.71428571428571,85.71
19,%,%,True,True,Ohio,Ohio,19,22944,22,%,22944,86.36363636363636,86.36,86.36363636363636,86.36363636363636,86.36
20,%,%,True,True,Kansas,Kansas,13,23301,15,%,23301,86.66666666666667,86.67,86.66666666666667,86.66666666666667,86.67
