,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,30,295889,42,%,295889,71.42857142857143,71.43,71.42857142857143,71.42857142857143,71.43
1,%,%,True,True,Minnesota,Minnesota,37,409602,51,%,409602,72.54901960784314,72.55,72.54901960784314,72.54901960784314,72.55
2,%,%,True,True,Kentucky,Kentucky,32,377275,43,%,377275,74.4186046511628,74.42,74.4186046511628,74.4186046511628,74.42
3,%,%,True,True,Mississippi,Mississippi,70,1107951,94,%,1107951,74.46808510638297,74.47,74.46808510638297,74.46808510638297,74.47
4,%,%,True,True,Oklahoma,Oklahoma,47,296154,63,%,296154,74.60317460317461,74.60,74.60317460317461,74.60317460317461,74.60
5,%,%,True,True,Idaho,Idaho,6,14597,8,%,14597,75,75.00,75,75,75.00
6,%,%,True,True,Utah,Utah,9,39687,12,%,39687,75,75.00,75,75,75.00
7,%,%,True,True,Georgia,Georgia,321,3451256,425,%,3451256,75.52941176470588,75.53,75.52941176470588,75.52941176470588,75.53
8,%,%,True,True,Illinois,Illinois,142,1791229,188,%,1791229,75.53191489361703,75.53,75.53191489361703,75.53191489361703,75.53
9,%,%,True,True,North Carolina,North Carolina,173,2248971,228,%,2248971,75.87719298245614,75.88,75.87719298245614,75.87719298245614,75.88
10,%,%,True,True,Kansas,Kansas,16,168790,21,%,168790,76.19047619047619,76.19,76.19047619047619,76.19047619047619,76.19
11,%,%,True,True,Arkansas,Arkansas,32,466227,42,%,466227,76.19047619047619,76.19,76.19047619047619,76.19047619047619,76.19
12,%,%,True,True,Alabama,Alabama,96,1336172,126,%,1336172,76.19047619047619,76.19,76.19047619047619,76.19047619047619,76.19
13,%,%,True,True,New York,New York,255,2857575,334,%,2857575,76.34730538922156,76.35,76.34730538922156,76.34730538922156,76.35
14,%,%,True,True,Maryland,Maryland,177,1862521,230,%,1862521,76.95652173913044,76.96,76.95652173913044,76.95652173913044,76.96
15,%,%,True,True,New Jersey,New Jersey,91,1205848,118,%,1205848,77.11864406779661,77.12,77.11864406779661,77.11864406779661,77.12
16,%,%,True,True,Florida,Florida,280,3386309,359,%,3386309,77.99442896935933,77.99,77.99442896935933,77.99442896935933,77.99
17,%,%,True,True,Iowa,Iowa,25,131303,32,%,131303,78.125,78.13,78.125,78.125,78.13
18,%,%,True,True,Pennsylvania,Pennsylvania,150,1416684,191,%,1416684,78.53403141361257,78.53,78.53403141361257,78.53403141361257,78.53
19,%,%,True,True,Ohio,Ohio,166,1510741,211,%,1510741,78.67298578199052,78.67,78.67298578199052,78.67298578199052,78.67
20,%,%,True,True,California,California,277,2200126,351,%,2200126,78.91737891737893,78.92,78.91737891737893,78.91737891737893,78.92
21,%,%,True,True,Texas,Texas,361,3630643,454,%,3630643,79.51541850220264,79.52,79.51541850220264,79.51541850220264,79.52
22,%,%,True,True,Virginia,Virginia,154,1657724,193,%,1657724,79.79274611398964,79.79,79.79274611398964,79.79274611398964,79.79
23,%,%,True,True,Tennessee,Tennessee,120,1158262,150,%,1158262,80,80.00,80,80,80.00
24,%,%,True,True,Colorado,Colorado,44,237929,55,%,237929,80,80.00,80,80,80.00
25,%,%,True,True,Michigan,Michigan,142,1383769,176,%,1383769,80.68181818181817,80.68,80.68181818181817,80.68181818181817,80.68
26,%,%,True,True,Arizona,Arizona,51,339424,63,%,339424,80.95238095238095,80.95,80.95238095238095,80.95238095238095,80.95
27,%,%,True,True,Louisiana,Louisiana,111,1499002,137,%,1499002,81.02189781021897,81.02,81.02189781021897,81.02189781021897,81.02
28,%,%,True,True,Wisconsin,Wisconsin,52,378263,64,%,378263,81.25,81.25,81.25,81.25,81.25
29,%,%,True,True,South Carolina,South Carolina,110,1352562,135,%,1352562,81.48148148148148,81.48,81.48148148148148,81.48148148148148,81.48
30,%,%,True,True,Indiana,Indiana,78,667291,95,%,667291,82.10526315789474,82.11,82.10526315789474,82.10526315789474,82.11
31,%,%,True,True,Maine,Maine,5,23559,6,%,23559,83.33333333333334,83.33,83.33333333333334,83.33333333333334,83.33
32,%,%,True,True,Rhode Island,Rhode Island,5,68125,6,%,68125,83.33333333333334,83.33,83.33333333333334,83.33333333333334,83.33
33,%,%,True,True,Missouri,Missouri,81,711459,96,%,711459,84.375,84.38,84.375,84.375,84.38
34,%,%,True,True,Nevada,Nevada,45,301273,53,%,301273,84.90566037735849,84.91,84.90566037735849,84.90566037735849,84.91
35,%,%,True,True,Connecticut,Connecticut,37,382977,43,%,382977,86.04651162790698,86.05,86.04651162790698,86.04651162790698,86.05
36,%,%,True,True,Delaware,Delaware,26,223935,30,%,223935,86.66666666666667,86.67,86.66666666666667,86.66666666666667,86.67
37,%,%,True,True,Washington,Washington,54,316727,62,%,316727,87.09677419354838,87.10,87.09677419354838,87.09677419354838,87.10
38,%,%,True,True,Nebraska,Nebraska,14,97729,16,%,97729,87.5,87.50,87.5,87.5,87.50
39,%,%,True,True,Massachusetts,Massachusetts,64,522609,73,%,522609,87.67123287671232,87.67,87.67123287671232,87.67123287671232,87.67
40,%,%,True,True,Oregon,Oregon,29,84565,33,%,84565,87.87878787878788,87.88,87.87878787878788,87.87878787878788,87.88
41,%,%,True,True,West Virginia,West Virginia,10,64063,11,%,64063,90.9090909090909,90.91,90.9090909090909,90.9090909090909,90.91
42,%,%,True,True,Alaska,Alaska,11,23681,12,%,23681,91.66666666666666,91.67,91.66666666666666,91.66666666666666,91.67
43,%,%,True,True,New Mexico,New Mexico,7,41152,7,%,41152,100,100.00,100,100,100.00
44,%,%,True,True,Hawaii,Hawaii,11,27691,11,%,27691,100,100.00,100,100,100.00
