,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Delaware,Delaware,169,1003384,239,%,1003384,70.7112970711297,70.71,70.7112970711297,70.7112970711297,70.71
1,%,%,True,True,Rhode Island,Rhode Island,103,1095610,139,%,1095610,74.10071942446042,74.10,74.10071942446042,74.10071942446042,74.10
2,%,%,True,True,Connecticut,Connecticut,478,3605597,645,%,3605597,74.10852713178294,74.11,74.10852713178294,74.10852713178294,74.11
3,%,%,True,True,New York,New York,2102,19835913,2776,%,19835913,75.72046109510086,75.72,75.72046109510086,75.72046109510086,75.72
4,%,%,True,True,New Jersey,New Jersey,889,9267130,1174,%,9267130,75.72402044293015,75.72,75.72402044293015,75.72402044293015,75.72
5,%,%,True,True,District of Columbia,District of Columbia,94,670050,124,%,670050,75.80645161290323,75.81,75.80645161290323,75.80645161290323,75.81
6,%,%,True,True,California,California,4538,39237836,5920,%,39237836,76.6554054054054,76.66,76.6554054054054,76.6554054054054,76.66
7,%,%,True,True,Massachusetts,Massachusetts,764,6984723,994,%,6984723,76.86116700201208,76.86,76.86116700201208,76.86116700201208,76.86
8,%,%,True,True,Illinois,Illinois,1522,12671469,1976,%,12671469,77.02429149797571,77.02,77.02429149797571,77.02429149797571,77.02
9,%,%,True,True,Mississippi,Mississippi,400,2949965,513,%,2949965,77.97270955165692,77.97,77.97270955165692,77.97270955165692,77.97
10,%,%,True,True,Colorado,Colorado,1084,5812069,1387,%,5812069,78.15428983417448,78.15,78.15428983417448,78.15428983417448,78.15
11,%,%,True,True,Maryland,Maryland,722,6165129,918,%,6165129,78.64923747276688,78.65,78.64923747276688,78.64923747276688,78.65
12,%,%,True,True,Alaska,Alaska,188,732673,239,%,732673,78.66108786610879,78.66,78.66108786610879,78.66108786610879,78.66
13,%,%,True,True,Virginia,Virginia,1231,8642274,1558,%,8642274,79.01155327342747,79.01,79.01155327342747,79.01155327342747,79.01
14,%,%,True,True,Florida,Florida,2850,21781128,3592,%,21781128,79.34298440979956,79.34,79.34298440979956,79.34298440979956,79.34
15,%,%,True,True,Pennsylvania,Pennsylvania,1785,12964056,2245,%,12964056,79.51002227171492,79.51,79.51002227171492,79.51002227171492,79.51
16,%,%,True,True,Idaho,Idaho,317,1900923,398,%,1900923,79.64824120603015,79.65,79.64824120603015,79.64824120603015,79.65
17,%,%,True,True,North Carolina,North Carolina,1413,10551162,1772,%,10551162,79.74040632054175,79.74,79.74040632054175,79.74040632054175,79.74
18,%,%,True,True,Nevada,Nevada,448,3143991,561,%,3143991,79.85739750445633,79.86,79.85739750445633,79.85739750445633,79.86
19,%,%,True,True,Kentucky,Kentucky,811,4509394,1015,%,4509394,79.90147783251231,79.90,79.90147783251231,79.90147783251231,79.90
20,%,%,True,True,Wisconsin,Wisconsin,903,5895908,1129,%,5895908,79.98228520814881,79.98,79.98228520814881,79.98228520814881,79.98
21,%,%,True,True,Georgia,Georgia,1598,10799566,1997,%,10799566,80.0200300450676,80.02,80.0200300450676,80.0200300450676,80.02
22,%,%,True,True,Oklahoma,Oklahoma,800,3986639,999,%,3986639,80.08008008008008,80.08,80.08008008008008,80.08008008008008,80.08
23,%,%,True,True,Michigan,Michigan,1525,10050811,1903,%,10050811,80.13662637940094,80.14,80.13662637940094,80.13662637940094,80.14
24,%,%,True,True,Washington,Washington,1258,7738692,1568,%,7738692,80.2295918367347,80.23,80.2295918367347,80.2295918367347,80.23
25,%,%,True,True,Tennessee,Tennessee,1180,6975218,1470,%,6975218,80.27210884353741,80.27,80.27210884353741,80.27210884353741,80.27
26,%,%,True,True,Alabama,Alabama,878,5039877,1093,%,5039877,80.32936870997254,80.33,80.32936870997254,80.32936870997254,80.33
27,%,%,True,True,Arizona,Arizona,1164,7276316,1449,%,7276316,80.33126293995859,80.33,80.33126293995859,80.33126293995859,80.33
28,%,%,True,True,Texas,Texas,4041,29527941,5029,%,29527941,80.35394710678068,80.35,80.35394710678068,80.35394710678068,80.35
29,%,%,True,True,Hawaii,Hawaii,173,1441553,215,%,1441553,80.46511627906978,80.47,80.46511627906978,80.46511627906978,80.47
30,%,%,True,True,Louisiana,Louisiana,549,4624047,682,%,4624047,80.49853372434018,80.50,80.49853372434018,80.49853372434018,80.50
31,%,%,True,True,South Carolina,South Carolina,814,5190705,1011,%,5190705,80.51434223541048,80.51,80.51434223541048,80.51434223541048,80.51
32,%,%,True,True,Ohio,Ohio,1969,11780017,2444,%,11780017,80.56464811783961,80.56,80.56464811783961,80.56464811783961,80.56
33,%,%,True,True,Vermont,Vermont,108,645570,134,%,645570,80.59701492537313,80.60,80.59701492537313,80.59701492537313,80.60
34,%,%,True,True,Minnesota,Minnesota,812,5707390,1006,%,5707390,80.71570576540755,80.72,80.71570576540755,80.71570576540755,80.72
35,%,%,True,True,Kansas,Kansas,515,2934582,638,%,2934582,80.72100313479625,80.72,80.72100313479625,80.72100313479625,80.72
36,%,%,True,True,Utah,Utah,599,3337975,740,%,3337975,80.94594594594594,80.95,80.94594594594594,80.94594594594594,80.95
37,%,%,True,True,New Mexico,New Mexico,268,2115877,330,%,2115877,81.21212121212122,81.21,81.21212121212122,81.21212121212122,81.21
38,%,%,True,True,Missouri,Missouri,1073,6168187,1320,%,6168187,81.28787878787878,81.29,81.28787878787878,81.28787878787878,81.29
39,%,%,True,True,Oregon,Oregon,829,4246155,1016,%,4246155,81.59448818897637,81.59,81.59448818897637,81.59448818897637,81.59
40,%,%,True,True,Maine,Maine,259,1372247,317,%,1372247,81.70347003154575,81.70,81.70347003154575,81.70347003154575,81.70
41,%,%,True,True,Nebraska,Nebraska,323,1963692,395,%,1963692,81.77215189873418,81.77,81.77215189873418,81.77215189873418,81.77
42,%,%,True,True,Iowa,Iowa,525,3193079,642,%,3193079,81.77570093457945,81.78,81.77570093457945,81.77570093457945,81.78
43,%,%,True,True,West Virginia,West Virginia,358,1782959,435,%,1782959,82.29885057471265,82.30,82.29885057471265,82.29885057471265,82.30
44,%,%,True,True,Arkansas,Arkansas,613,3025891,744,%,3025891,82.39247311827957,82.39,82.39247311827957,82.39247311827957,82.39
45,%,%,True,True,New Hampshire,New Hampshire,213,1388992,258,%,1388992,82.55813953488372,82.56,82.55813953488372,82.55813953488372,82.56
46,%,%,True,True,Indiana,Indiana,1323,6805985,1600,%,6805985,82.6875,82.69,82.6875,82.6875,82.69
47,%,%,True,True,Montana,Montana,188,1104271,225,%,1104271,83.55555555555556,83.56,83.55555555555556,83.55555555555556,83.56
48,%,%,True,True,North Dakota,North Dakota,142,774948,167,%,774948,85.02994011976048,85.03,85.02994011976048,85.02994011976048,85.03
49,%,%,True,True,South Dakota,South Dakota,149,895376,175,%,895376,85.14285714285714,85.14,85.14285714285714,85.14285714285714,85.14
50,%,%,True,True,Wyoming,Wyoming,89,578803,100,%,578803,89,89.00,89,89,89.00
