,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Hawaii,Hawaii,14,3099,23,%,3099,60.86956521739131,60.87,60.86956521739131,60.86956521739131,60.87
1,%,%,True,True,Delaware,Delaware,10,3033,15,%,3033,66.66666666666666,66.67,66.66666666666666,66.66666666666666,66.67
2,%,%,True,True,Massachusetts,Massachusetts,31,12835,44,%,12835,70.45454545454545,70.45,70.45454545454545,70.45454545454545,70.45
3,%,%,True,True,Rhode Island,Rhode Island,13,4633,17,%,4633,76.47058823529412,76.47,76.47058823529412,76.47058823529412,76.47
4,%,%,True,True,Virginia,Virginia,63,23140,81,%,23140,77.77777777777779,77.78,77.77777777777779,77.77777777777779,77.78
5,%,%,True,True,California,California,483,160861,609,%,160861,79.3103448275862,79.31,79.3103448275862,79.3103448275862,79.31
6,%,%,True,True,New York,New York,146,60197,183,%,60197,79.78142076502732,79.78,79.78142076502732,79.78142076502732,79.78
7,%,%,True,True,Alaska,Alaska,147,109039,184,%,109039,79.8913043478261,79.89,79.8913043478261,79.8913043478261,79.89
8,%,%,True,True,Idaho,Idaho,57,20059,71,%,20059,80.28169014084507,80.28,80.28169014084507,80.28169014084507,80.28
9,%,%,True,True,South Dakota,South Dakota,96,73258,118,%,73258,81.35593220338984,81.36,81.35593220338984,81.35593220338984,81.36
10,%,%,True,True,Montana,Montana,88,66192,108,%,66192,81.48148148148148,81.48,81.48148148148148,81.48148148148148,81.48
11,%,%,True,True,Oklahoma,Oklahoma,592,339826,725,%,339826,81.65517241379311,81.66,81.65517241379311,81.65517241379311,81.66
12,%,%,True,True,Arizona,Arizona,246,279130,301,%,279130,81.72757475083057,81.73,81.72757475083057,81.72757475083057,81.73
13,%,%,True,True,Washington,Washington,210,95740,256,%,95740,82.03125,82.03,82.03125,82.03125,82.03
14,%,%,True,True,Connecticut,Connecticut,39,8111,47,%,8111,82.97872340425532,82.98,82.97872340425532,82.97872340425532,82.98
