,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,West Virginia,West Virginia,30,15762,50,%,15762,60,60.00,60,60,60.00
1,%,%,True,True,Maine,Maine,18,18886,29,%,18886,62.06896551724138,62.07,62.06896551724138,62.06896551724138,62.07
2,%,%,True,True,Mississippi,Mississippi,24,33735,38,%,33735,63.1578947368421,63.16,63.1578947368421,63.1578947368421,63.16
3,%,%,True,True,District of Columbia,District of Columbia,28,29628,44,%,29628,63.63636363636363,63.64,63.63636363636363,63.63636363636363,63.64
4,%,%,True,True,Alabama,Alabama,183,78576,282,%,78576,64.8936170212766,64.89,64.8936170212766,64.8936170212766,64.89
5,%,%,True,True,Massachusetts,Massachusetts,170,520119,258,%,520119,65.89147286821705,65.89,65.89147286821705,65.89147286821705,65.89
6,%,%,True,True,Alaska,Alaska,122,58213,184,%,58213,66.30434782608695,66.30,66.30434782608695,66.30434782608695,66.30
7,%,%,True,True,North Dakota,North Dakota,12,13076,18,%,13076,66.66666666666666,66.67,66.66666666666666,66.66666666666666,66.67
8,%,%,True,True,Arkansas,Arkansas,78,64245,115,%,64245,67.82608695652173,67.83,67.82608695652173,67.82608695652173,67.83
9,%,%,True,True,New Mexico,New Mexico,33,35760,48,%,35760,68.75,68.75,68.75,68.75,68.75
10,%,%,True,True,Kansas,Kansas,60,94576,87,%,94576,68.96551724137932,68.97,68.96551724137932,68.96551724137932,68.97
11,%,%,True,True,Montana,Montana,16,11461,23,%,11461,69.56521739130434,69.57,69.56521739130434,69.56521739130434,69.57
12,%,%,True,True,California,California,2629,6136428,3768,%,6136428,69.77176220806794,69.77,69.77176220806794,69.77176220806794,69.77
13,%,%,True,True,Pennsylvania,Pennsylvania,241,503783,343,%,503783,70.26239067055393,70.26,70.26239067055393,70.26239067055393,70.26
14,%,%,True,True,Delaware,Delaware,45,41957,64,%,41957,70.3125,70.31,70.3125,70.3125,70.31
15,%,%,True,True,Wisconsin,Wisconsin,118,185474,166,%,185474,71.08433734939759,71.08,71.08433734939759,71.08433734939759,71.08
16,%,%,True,True,New Jersey,New Jersey,303,942292,426,%,942292,71.12676056338029,71.13,71.12676056338029,71.12676056338029,71.13
17,%,%,True,True,Washington,Washington,432,813284,602,%,813284,71.76079734219269,71.76,71.76079734219269,71.76079734219269,71.76
18,%,%,True,True,Indiana,Indiana,248,183573,345,%,183573,71.8840579710145,71.88,71.8840579710145,71.8840579710145,71.88
19,%,%,True,True,New York,New York,777,1812286,1079,%,1812286,72.01112140871177,72.01,72.01112140871177,72.01112140871177,72.01
20,%,%,True,True,New Hampshire,New Hampshire,34,42740,47,%,42740,72.3404255319149,72.34,72.3404255319149,72.3404255319149,72.34
21,%,%,True,True,Nevada,Nevada,171,292101,236,%,292101,72.45762711864407,72.46,72.45762711864407,72.45762711864407,72.46
22,%,%,True,True,Louisiana,Louisiana,45,85860,62,%,85860,72.58064516129032,72.58,72.58064516129032,72.58064516129032,72.58
23,%,%,True,True,Kentucky,Kentucky,59,78406,81,%,78406,72.8395061728395,72.84,72.8395061728395,72.8395061728395,72.84
24,%,%,True,True,Colorado,Colorado,222,206559,304,%,206559,73.02631578947368,73.03,73.02631578947368,73.02631578947368,73.03
25,%,%,True,True,Connecticut,Connecticut,112,179054,153,%,179054,73.20261437908496,73.20,73.20261437908496,73.20261437908496,73.20
26,%,%,True,True,Illinois,Illinois,334,756590,455,%,756590,73.4065934065934,73.41,73.4065934065934,73.4065934065934,73.41
27,%,%,True,True,Virginia,Virginia,296,614516,401,%,614516,73.81546134663341,73.82,73.81546134663341,73.81546134663341,73.82
28,%,%,True,True,Texas,Texas,736,1584396,990,%,1584396,74.34343434343434,74.34,74.34343434343434,74.34343434343434,74.34
29,%,%,True,True,South Carolina,South Carolina,73,100149,98,%,100149,74.48979591836735,74.49,74.48979591836735,74.48979591836735,74.49
30,%,%,True,True,North Carolina,North Carolina,176,353832,235,%,353832,74.8936170212766,74.89,74.8936170212766,74.8936170212766,74.89
31,%,%,True,True,Nebraska,Nebraska,36,54128,48,%,54128,75,75.00,75,75,75.00
32,%,%,True,True,Maryland,Maryland,191,421227,253,%,421227,75.49407114624506,75.49,75.49407114624506,75.49407114624506,75.49
33,%,%,True,True,Florida,Florida,458,650132,603,%,650132,75.9535655058043,75.95,75.9535655058043,75.9535655058043,75.95
34,%,%,True,True,Arizona,Arizona,271,270631,356,%,270631,76.12359550561798,76.12,76.12359550561798,76.12359550561798,76.12
35,%,%,True,True,Hawaii,Hawaii,349,651433,458,%,651433,76.2008733624454,76.20,76.2008733624454,76.2008733624454,76.20
36,%,%,True,True,Georgia,Georgia,254,490433,332,%,490433,76.50602409638554,76.51,76.50602409638554,76.50602409638554,76.51
37,%,%,True,True,Missouri,Missouri,77,144420,100,%,144420,77,77.00,77,77,77.00
38,%,%,True,True,Michigan,Michigan,191,341843,248,%,341843,77.01612903225806,77.02,77.01612903225806,77.01612903225806,77.02
39,%,%,True,True,Idaho,Idaho,48,31829,62,%,31829,77.41935483870968,77.42,77.41935483870968,77.41935483870968,77.42
40,%,%,True,True,Ohio,Ohio,171,313413,219,%,313413,78.08219178082192,78.08,78.08219178082192,78.08219178082192,78.08
41,%,%,True,True,Utah,Utah,102,119717,130,%,119717,78.46153846153847,78.46,78.46153846153847,78.46153846153847,78.46
42,%,%,True,True,Iowa,Iowa,71,91780,89,%,91780,79.7752808988764,79.78,79.7752808988764,79.7752808988764,79.78
43,%,%,True,True,Oregon,Oregon,129,221414,159,%,221414,81.13207547169812,81.13,81.13207547169812,81.13207547169812,81.13
44,%,%,True,True,South Dakota,South Dakota,13,15358,16,%,15358,81.25,81.25,81.25,81.25,81.25
45,%,%,True,True,Minnesota,Minnesota,182,305845,224,%,305845,81.25,81.25,81.25,81.25,81.25
46,%,%,True,True,Tennessee,Tennessee,85,139839,104,%,139839,81.73076923076923,81.73,81.73076923076923,81.73076923076923,81.73
47,%,%,True,True,Rhode Island,Rhode Island,25,39360,30,%,39360,83.33333333333334,83.33,83.33333333333334,83.33333333333334,83.33
48,%,%,True,True,Oklahoma,Oklahoma,86,102892,103,%,102892,83.49514563106796,83.50,83.49514563106796,83.49514563106796,83.50
49,%,%,True,True,Vermont,Vermont,15,12952,17,%,12952,88.23529411764706,88.24,88.23529411764706,88.23529411764706,88.24
50,%,%,True,True,Wyoming,Wyoming,19,6184,21,%,6184,90.47619047619048,90.48,90.47619047619048,90.47619047619048,90.48
