,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Wyoming,Wyoming,8,6016,12,%,6016,66.66666666666666,66.67,66.66666666666666,66.66666666666666,66.67
1,%,%,True,True,Vermont,Vermont,8,8685,12,%,8685,66.66666666666666,66.67,66.66666666666666,66.66666666666666,66.67
2,%,%,True,True,South Dakota,South Dakota,21,20987,30,%,20987,70,70.00,70,70,70.00
3,%,%,True,True,District of Columbia,District of Columbia,162,295889,230,%,295889,70.43478260869566,70.43,70.43478260869566,70.43478260869566,70.43
4,%,%,True,True,New York,New York,1598,2857575,2194,%,2857575,72.83500455788514,72.84,72.83500455788514,72.83500455788514,72.84
5,%,%,True,True,Delaware,Delaware,150,223935,204,%,223935,73.52941176470588,73.53,73.52941176470588,73.52941176470588,73.53
6,%,%,True,True,California,California,1694,2200126,2285,%,2200126,74.13566739606127,74.14,74.13566739606127,74.13566739606127,74.14
7,%,%,True,True,Connecticut,Connecticut,255,382977,341,%,382977,74.7800586510264,74.78,74.7800586510264,74.7800586510264,74.78
8,%,%,True,True,Maryland,Maryland,1067,1862521,1425,%,1862521,74.87719298245614,74.88,74.87719298245614,74.87719298245614,74.88
9,%,%,True,True,Mississippi,Mississippi,510,1107951,679,%,1107951,75.11045655375553,75.11,75.11045655375553,75.11045655375553,75.11
10,%,%,True,True,New Hampshire,New Hampshire,16,21519,21,%,21519,76.19047619047619,76.19,76.19047619047619,76.19047619047619,76.19
11,%,%,True,True,Massachusetts,Massachusetts,316,522609,413,%,522609,76.51331719128329,76.51,76.51331719128329,76.51331719128329,76.51
12,%,%,True,True,Virginia,Virginia,1046,1657724,1367,%,1657724,76.51792245793709,76.52,76.51792245793709,76.51792245793709,76.52
13,%,%,True,True,Florida,Florida,1693,3386309,2208,%,3386309,76.67572463768117,76.68,76.67572463768117,76.67572463768117,76.68
14,%,%,True,True,Alabama,Alabama,654,1336172,852,%,1336172,76.76056338028168,76.76,76.76056338028168,76.76056338028168,76.76
15,%,%,True,True,North Carolina,North Carolina,1166,2248971,1519,%,2248971,76.76102699144174,76.76,76.76102699144174,76.76102699144174,76.76
16,%,%,True,True,Arizona,Arizona,403,339424,524,%,339424,76.90839694656488,76.91,76.90839694656488,76.90839694656488,76.91
17,%,%,True,True,Minnesota,Minnesota,274,409602,356,%,409602,76.96629213483146,76.97,76.96629213483146,76.96629213483146,76.97
18,%,%,True,True,New Jersey,New Jersey,651,1205848,845,%,1205848,77.0414201183432,77.04,77.0414201183432,77.0414201183432,77.04
19,%,%,True,True,Kentucky,Kentucky,236,377275,306,%,377275,77.12418300653596,77.12,77.12418300653596,77.12418300653596,77.12
20,%,%,True,True,Pennsylvania,Pennsylvania,910,1416684,1174,%,1416684,77.51277683134583,77.51,77.51277683134583,77.51277683134583,77.51
21,%,%,True,True,Ohio,Ohio,958,1510741,1234,%,1510741,77.63371150729336,77.63,77.63371150729336,77.63371150729336,77.63
22,%,%,True,True,Georgia,Georgia,2008,3451256,2586,%,3451256,77.64887857695282,77.65,77.64887857695282,77.64887857695282,77.65
23,%,%,True,True,Montana,Montana,14,6138,18,%,6138,77.77777777777779,77.78,77.77777777777779,77.77777777777779,77.78
24,%,%,True,True,Kansas,Kansas,144,168790,185,%,168790,77.83783783783784,77.84,77.83783783783784,77.83783783783784,77.84
25,%,%,True,True,Illinois,Illinois,981,1791229,1254,%,1791229,78.22966507177034,78.23,78.22966507177034,78.22966507177034,78.23
26,%,%,True,True,Oklahoma,Oklahoma,265,296154,338,%,296154,78.40236686390533,78.40,78.40236686390533,78.40236686390533,78.40
27,%,%,True,True,Michigan,Michigan,874,1383769,1113,%,1383769,78.52650494159928,78.53,78.52650494159928,78.52650494159928,78.53
28,%,%,True,True,Indiana,Indiana,454,667291,578,%,667291,78.54671280276817,78.55,78.54671280276817,78.54671280276817,78.55
29,%,%,True,True,Maine,Maine,33,23559,42,%,23559,78.57142857142857,78.57,78.57142857142857,78.57142857142857,78.57
30,%,%,True,True,Alaska,Alaska,66,23681,84,%,23681,78.57142857142857,78.57,78.57142857142857,78.57142857142857,78.57
31,%,%,True,True,Texas,Texas,2227,3630643,2827,%,3630643,78.77608772550406,78.78,78.77608772550406,78.77608772550406,78.78
32,%,%,True,True,Colorado,Colorado,270,237929,342,%,237929,78.94736842105263,78.95,78.94736842105263,78.94736842105263,78.95
33,%,%,True,True,Oregon,Oregon,127,84565,160,%,84565,79.375,79.38,79.375,79.375,79.38
34,%,%,True,True,Iowa,Iowa,127,131303,160,%,131303,79.375,79.38,79.375,79.375,79.38
35,%,%,True,True,Missouri,Missouri,440,711459,553,%,711459,79.56600361663652,79.57,79.56600361663652,79.56600361663652,79.57
36,%,%,True,True,Louisiana,Louisiana,661,1499002,830,%,1499002,79.63855421686748,79.64,79.63855421686748,79.63855421686748,79.64
37,%,%,True,True,Washington,Washington,331,316727,415,%,316727,79.75903614457832,79.76,79.75903614457832,79.75903614457832,79.76
38,%,%,True,True,Arkansas,Arkansas,242,466227,303,%,466227,79.86798679867987,79.87,79.86798679867987,79.86798679867987,79.87
39,%,%,True,True,South Carolina,South Carolina,676,1352562,846,%,1352562,79.90543735224587,79.91,79.90543735224587,79.90543735224587,79.91
40,%,%,True,True,Hawaii,Hawaii,36,27691,45,%,27691,80,80.00,80,80,80.00
41,%,%,True,True,Utah,Utah,65,39687,81,%,39687,80.24691358024691,80.25,80.24691358024691,80.24691358024691,80.25
42,%,%,True,True,Tennessee,Tennessee,622,1158262,774,%,1158262,80.36175710594316,80.36,80.36175710594316,80.36175710594316,80.36
43,%,%,True,True,Nevada,Nevada,268,301273,329,%,301273,81.45896656534954,81.46,81.45896656534954,81.45896656534954,81.46
44,%,%,True,True,Rhode Island,Rhode Island,53,68125,65,%,68125,81.53846153846153,81.54,81.53846153846153,81.53846153846153,81.54
45,%,%,True,True,Wisconsin,Wisconsin,249,378263,303,%,378263,82.17821782178217,82.18,82.17821782178217,82.17821782178217,82.18
46,%,%,True,True,North Dakota,North Dakota,19,25870,23,%,25870,82.6086956521739,82.61,82.6086956521739,82.6086956521739,82.61
47,%,%,True,True,New Mexico,New Mexico,48,41152,58,%,41152,82.75862068965517,82.76,82.75862068965517,82.75862068965517,82.76
48,%,%,True,True,Nebraska,Nebraska,94,97729,113,%,97729,83.1858407079646,83.19,83.1858407079646,83.1858407079646,83.19
49,%,%,True,True,Idaho,Idaho,36,14597,42,%,14597,85.71428571428571,85.71,85.71428571428571,85.71428571428571,85.71
50,%,%,True,True,West Virginia,West Virginia,64,64063,69,%,64063,92.7536231884058,92.75,92.7536231884058,92.7536231884058,92.75
