,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Alaska,Alaska,83,54732,114,%,54732,72.80701754385966,72.81,72.80701754385966,72.80701754385966,72.81
1,%,%,True,True,Hawaii,Hawaii,57,160134,78,%,160134,73.07692307692307,73.08,73.07692307692307,73.07692307692307,73.08
2,%,%,True,True,Delaware,Delaware,81,101213,109,%,101213,74.31192660550458,74.31,74.31192660550458,74.31192660550458,74.31
3,%,%,True,True,District of Columbia,District of Columbia,44,76919,59,%,76919,74.57627118644068,74.58,74.57627118644068,74.57627118644068,74.58
4,%,%,True,True,West Virginia,West Virginia,27,33684,36,%,33684,75,75.00,75,75,75.00
5,%,%,True,True,New York,New York,2098,3868268,2771,%,3868268,75.71273908336342,75.71,75.71273908336342,75.71273908336342,75.71
6,%,%,True,True,California,California,9125,15754605,11826,%,15754605,77.1604938271605,77.16,77.1604938271605,77.1604938271605,77.16
7,%,%,True,True,New Mexico,New Mexico,662,1059242,854,%,1059242,77.51756440281031,77.52,77.51756440281031,77.51756440281031,77.52
8,%,%,True,True,New Jersey,New Jersey,1062,1991638,1363,%,1991638,77.91636096845195,77.92,77.91636096845195,77.91636096845195,77.92
9,%,%,True,True,Connecticut,Connecticut,409,637112,524,%,637112,78.05343511450383,78.05,78.05343511450383,78.05343511450383,78.05
10,%,%,True,True,Illinois,Illinois,1461,2282133,1863,%,2282133,78.4219001610306,78.42,78.4219001610306,78.4219001610306,78.42
11,%,%,True,True,Missouri,Missouri,240,287125,305,%,287125,78.68852459016394,78.69,78.68852459016394,78.68852459016394,78.69
12,%,%,True,True,Florida,Florida,3584,5830908,4542,%,5830908,78.9079700572435,78.91,78.9079700572435,78.9079700572435,78.91
13,%,%,True,True,Alabama,Alabama,221,241168,280,%,241168,78.92857142857143,78.93,78.92857142857143,78.92857142857143,78.93
14,%,%,True,True,Nebraska,Nebraska,180,235669,228,%,235669,78.94736842105263,78.95,78.94736842105263,78.94736842105263,78.95
15,%,%,True,True,Maryland,Maryland,370,684437,468,%,684437,79.05982905982906,79.06,79.05982905982906,79.05982905982906,79.06
16,%,%,True,True,Minnesota,Minnesota,244,333474,307,%,333474,79.47882736156352,79.48,79.47882736156352,79.47882736156352,79.48
17,%,%,True,True,Colorado,Colorado,1066,1293214,1339,%,1293214,79.6116504854369,79.61,79.6116504854369,79.6116504854369,79.61
18,%,%,True,True,Georgia,Georgia,734,1104836,921,%,1104836,79.69598262757872,79.70,79.69598262757872,79.69598262757872,79.70
19,%,%,True,True,Michigan,Michigan,446,561587,559,%,561587,79.78533094812164,79.79,79.78533094812164,79.78533094812164,79.79
20,%,%,True,True,Iowa,Iowa,175,215119,217,%,215119,80.64516129032258,80.65,80.64516129032258,80.64516129032258,80.65
21,%,%,True,True,Texas,Texas,7643,11857401,9457,%,11857401,80.81844136618378,80.82,80.81844136618378,80.81844136618378,80.82
22,%,%,True,True,Idaho,Idaho,177,251919,219,%,251919,80.82191780821918,80.82,80.82191780821918,80.82191780821918,80.82
23,%,%,True,True,Wisconsin,Wisconsin,364,442517,450,%,442517,80.88888888888889,80.89,80.88888888888889,80.88888888888889,80.89
24,%,%,True,True,North Dakota,North Dakota,17,34335,21,%,34335,80.95238095238095,80.95,80.95238095238095,80.95238095238095,80.95
25,%,%,True,True,Nevada,Nevada,581,940757,717,%,940757,81.03207810320781,81.03,81.03207810320781,81.03207810320781,81.03
26,%,%,True,True,Arizona,Arizona,1787,2351122,2201,%,2351122,81.19036801453885,81.19,81.19036801453885,81.19036801453885,81.19
27,%,%,True,True,South Carolina,South Carolina,228,330096,280,%,330096,81.42857142857143,81.43,81.42857142857143,81.42857142857143,81.43
28,%,%,True,True,Virginia,Virginia,622,882402,763,%,882402,81.52031454783749,81.52,81.52031454783749,81.52031454783749,81.52
29,%,%,True,True,North Carolina,North Carolina,671,1078224,823,%,1078224,81.53098420413123,81.53,81.53098420413123,81.53098420413123,81.53
30,%,%,True,True,Rhode Island,Rhode Island,106,187776,130,%,187776,81.53846153846153,81.54,81.53846153846153,81.53846153846153,81.54
31,%,%,True,True,Oklahoma,Oklahoma,334,467249,409,%,467249,81.66259168704157,81.66,81.66259168704157,81.66259168704157,81.66
32,%,%,True,True,Mississippi,Mississippi,58,102936,71,%,102936,81.69014084507043,81.69,81.69014084507043,81.69014084507043,81.69
33,%,%,True,True,Utah,Utah,385,493636,469,%,493636,82.08955223880598,82.09,82.08955223880598,82.08955223880598,82.09
34,%,%,True,True,Arkansas,Arkansas,220,251277,268,%,251277,82.08955223880598,82.09,82.08955223880598,82.08955223880598,82.09
35,%,%,True,True,Kansas,Kansas,300,374093,365,%,374093,82.1917808219178,82.19,82.1917808219178,82.1917808219178,82.19
36,%,%,True,True,Kentucky,Kentucky,158,187984,192,%,187984,82.29166666666666,82.29,82.29166666666666,82.29166666666666,82.29
37,%,%,True,True,Oregon,Oregon,466,596517,565,%,596517,82.47787610619469,82.48,82.47787610619469,82.47787610619469,82.48
38,%,%,True,True,Washington,Washington,735,1059156,888,%,1059156,82.77027027027027,82.77,82.77027027027027,82.77027027027027,82.77
39,%,%,True,True,Massachusetts,Massachusetts,591,897349,713,%,897349,82.88920056100982,82.89,82.88920056100982,82.88920056100982,82.89
40,%,%,True,True,Tennessee,Tennessee,322,425839,388,%,425839,82.9896907216495,82.99,82.9896907216495,82.9896907216495,82.99
41,%,%,True,True,Pennsylvania,Pennsylvania,792,1084634,954,%,1084634,83.01886792452831,83.02,83.01886792452831,83.01886792452831,83.02
42,%,%,True,True,Indiana,Indiana,466,522944,554,%,522944,84.11552346570397,84.12,84.11552346570397,84.11552346570397,84.12
43,%,%,True,True,Wyoming,Wyoming,43,61087,51,%,61087,84.31372549019608,84.31,84.31372549019608,84.31372549019608,84.31
44,%,%,True,True,Maine,Maine,49,27037,58,%,27037,84.48275862068965,84.48,84.48275862068965,84.48275862068965,84.48
45,%,%,True,True,Louisiana,Louisiana,175,258338,206,%,258338,84.9514563106796,84.95,84.9514563106796,84.9514563106796,84.95
46,%,%,True,True,Ohio,Ohio,518,508643,604,%,508643,85.76158940397352,85.76,85.76158940397352,85.76158940397352,85.76
47,%,%,True,True,Montana,Montana,55,48014,63,%,48014,87.3015873015873,87.30,87.3015873015873,87.3015873015873,87.30
48,%,%,True,True,South Dakota,South Dakota,42,41288,48,%,41288,87.5,87.50,87.5,87.5,87.50
