,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,Delaware,Delaware,80,25193,102,%,25193,78.43137254901961,78.43,78.43137254901961,78.43137254901961,78.43
1,%,%,True,True,South Dakota,South Dakota,55,20807,67,%,20807,82.08955223880598,82.09,82.08955223880598,82.08955223880598,82.09
2,%,%,True,True,Illinois,Illinois,659,224432,795,%,224432,82.8930817610063,82.89,82.8930817610063,82.8930817610063,82.89
3,%,%,True,True,Hawaii,Hawaii,160,291001,193,%,291001,82.90155440414507,82.90,82.90155440414507,82.90155440414507,82.90
4,%,%,True,True,Oregon,Oregon,367,148706,441,%,148706,83.21995464852607,83.22,83.21995464852607,83.21995464852607,83.22
5,%,%,True,True,California,California,3114,1170491,3721,%,1170491,83.68718086535878,83.69,83.68718086535878,83.68718086535878,83.69
6,%,%,True,True,Nevada,Nevada,349,118795,416,%,118795,83.89423076923077,83.89,83.89423076923077,83.89423076923077,83.89
7,%,%,True,True,Alaska,Alaska,95,52262,113,%,52262,84.070796460177,84.07,84.070796460177,84.070796460177,84.07
8,%,%,True,True,New York,New York,991,378698,1178,%,378698,84.12563667232598,84.13,84.12563667232598,84.12563667232598,84.13
9,%,%,True,True,Connecticut,Connecticut,214,68017,254,%,68017,84.25196850393701,84.25,84.25196850393701,84.25196850393701,84.25
10,%,%,True,True,Indiana,Indiana,481,139946,567,%,139946,84.83245149911816,84.83,84.83245149911816,84.83245149911816,84.83
11,%,%,True,True,Nebraska,Nebraska,132,40407,155,%,40407,85.16129032258064,85.16,85.16129032258064,85.16129032258064,85.16
12,%,%,True,True,Virginia,Virginia,632,250775,741,%,250775,85.2901484480432,85.29,85.2901484480432,85.2901484480432,85.29
13,%,%,True,True,Mississippi,Mississippi,112,37834,131,%,37834,85.49618320610686,85.50,85.49618320610686,85.49618320610686,85.50
