,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,172,249751,253,%,249751,67.98418972332016,67.98,67.98418972332016,67.98418972332016,67.98
1,%,%,True,True,New Jersey,New Jersey,2965,4960795,4053,%,4960795,73.15568714532445,73.16,73.15568714532445,73.15568714532445,73.16
2,%,%,True,True,Delaware,Delaware,621,608053,839,%,608053,74.01668653158522,74.02,74.01668653158522,74.01668653158522,74.02
3,%,%,True,True,Hawaii,Hawaii,300,308195,405,%,308195,74.07407407407408,74.07,74.07407407407408,74.07407407407408,74.07
4,%,%,True,True,Connecticut,Connecticut,1833,2330326,2460,%,2330326,74.51219512195122,74.51,74.51219512195122,74.51219512195122,74.51
5,%,%,True,True,New York,New York,7381,10858889,9902,%,10858889,74.54049686931933,74.54,74.54049686931933,74.54049686931933,74.54
6,%,%,True,True,California,California,10789,13815325,14461,%,13815325,74.60756517529909,74.61,74.60756517529909,74.60756517529909,74.61
7,%,%,True,True,Rhode Island,Rhode Island,483,771405,643,%,771405,75.11664074650078,75.12,75.11664074650078,75.11664074650078,75.12
8,%,%,True,True,Massachusetts,Massachusetts,3440,4894728,4564,%,4894728,75.37248028045575,75.37,75.37248028045575,75.37248028045575,75.37
9,%,%,True,True,Alaska,Alaska,782,434746,1029,%,434746,75.99611273080662,76.00,75.99611273080662,75.99611273080662,76.00
10,%,%,True,True,New Mexico,New Mexico,640,759740,841,%,759740,76.09988109393579,76.10,76.09988109393579,76.09988109393579,76.10
