,Percentage Suffix Label %-value,Percentage Suffix Label %-alias,Race Chart-value,Race Chart-alias,State-value,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Population)-alias,SUM(Total Psychosis Responses)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(Show # or Percent)-value,AGG(Show # or Percent)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias,AGG(Formatted Show # or Percent Positive Age)-alias
0,%,%,True,True,District of Columbia,District of Columbia,483,670050,692,%,670050,69.79768786127167,69.80,69.79768786127167,69.79768786127167,69.80
1,%,%,True,True,Delaware,Delaware,1055,1003384,1432,%,1003384,73.6731843575419,73.67,73.6731843575419,73.6731843575419,73.67
2,%,%,True,True,New York,New York,13751,19835913,18354,%,19835913,74.92099814754278,74.92,74.92099814754278,74.92099814754278,74.92
3,%,%,True,True,Alaska,Alaska,1416,732673,1886,%,732673,75.0795334040297,75.08,75.0795334040297,75.0795334040297,75.08
4,%,%,True,True,New Jersey,New Jersey,5799,9267130,7697,%,9267130,75.34104196440171,75.34,75.34104196440171,75.34104196440171,75.34
5,%,%,True,True,Connecticut,Connecticut,2999,3605597,3975,%,3605597,75.44654088050315,75.45,75.44654088050315,75.44654088050315,75.45
6,%,%,True,True,California,California,29687,39237836,39188,%,39237836,75.7553332652853,75.76,75.7553332652853,75.7553332652853,75.76
7,%,%,True,True,Hawaii,Hawaii,987,1441553,1298,%,1441553,76.04006163328198,76.04,76.04006163328198,76.04006163328198,76.04
8,%,%,True,True,Massachusetts,Massachusetts,5113,6984723,6676,%,6984723,76.58777711204314,76.59,76.58777711204314,76.58777711204314,76.59
9,%,%,True,True,Rhode Island,Rhode Island,771,1095610,1000,%,1095610,77.10000000000001,77.10,77.10000000000001,77.10000000000001,77.10
10,%,%,True,True,Illinois,Illinois,10024,12671469,12931,%,12671469,77.51914005104014,77.52,77.51914005104014,77.51914005104014,77.52
11,%,%,True,True,Maryland,Maryland,4573,6165129,5879,%,6165129,77.7853376424562,77.79,77.7853376424562,77.7853376424562,77.79
12,%,%,True,True,Nebraska,Nebraska,1834,1963692,2354,%,1963692,77.90994052676295,77.91,77.90994052676295,77.90994052676295,77.91
13,%,%,True,True,Colorado,Colorado,6573,5812069,8426,%,5812069,78.00854497982435,78.01,78.00854497982435,78.00854497982435,78.01
14,%,%,True,True,Pennsylvania,Pennsylvania,11314,12964056,14480,%,12964056,78.1353591160221,78.14,78.1353591160221,78.1353591160221,78.14
15,%,%,True,True,New Mexico,New Mexico,1751,2115877,2238,%,2115877,78.23949955317248,78.24,78.23949955317248,78.23949955317248,78.24
16,%,%,True,True,Alabama,Alabama,5951,5039877,7585,%,5039877,78.45748187211602,78.46,78.45748187211602,78.45748187211602,78.46
17,%,%,True,True,Virginia,Virginia,7810,8642274,9954,%,8642274,78.46092023307213,78.46,78.46092023307213,78.46092023307213,78.46
18,%,%,True,True,North Dakota,North Dakota,723,774948,918,%,774948,78.75816993464052,78.76,78.75816993464052,78.75816993464052,78.76
19,%,%,True,True,Washington,Washington,7768,7738692,9862,%,7738692,78.76698438450619,78.77,78.76698438450619,78.76698438450619,78.77
20,%,%,True,True,Florida,Florida,17511,21781128,22227,%,21781128,78.78256174922392,78.78,78.78256174922392,78.78256174922392,78.78
21,%,%,True,True,Minnesota,Minnesota,4889,5707390,6205,%,5707390,78.79129734085414,78.79,78.79129734085414,78.79129734085414,78.79
22,%,%,True,True,Mississippi,Mississippi,2683,2949965,3403,%,2949965,78.84219806053481,78.84,78.84219806053481,78.84219806053481,78.84
23,%,%,True,True,Nevada,Nevada,2879,3143991,3651,%,3143991,78.85510818953712,78.86,78.85510818953712,78.85510818953712,78.86
24,%,%,True,True,Wisconsin,Wisconsin,5423,5895908,6860,%,5895908,79.05247813411079,79.05,79.05247813411079,79.05247813411079,79.05
25,%,%,True,True,Kentucky,Kentucky,5323,4509394,6720,%,4509394,79.21130952380952,79.21,79.21130952380952,79.21130952380952,79.21
26,%,%,True,True,Arizona,Arizona,7697,7276316,9704,%,7276316,79.31780708985985,79.32,79.31780708985985,79.31780708985985,79.32
27,%,%,True,True,Michigan,Michigan,9601,10050811,12102,%,10050811,79.33399438109403,79.33,79.33399438109403,79.33399438109403,79.33
