,Race Chart-alias,State-alias,SUM(Possible Risk for Psychosis)-alias,SUM(Total Psychosis Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Total Population)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,False,Wyoming,625,767,43,43.00,-107.5,-107.50,%null%,578803,108.0,108.0,0.76
1,False,Wisconsin,5423,6860,44.5,44.50,-90,-90.00,%null%,5895908,92.0,92.0,0.44
2,False,West Virginia,2304,2783,38.63,38.63,-80.73,-80.73,%null%,1782959,129.2,129.2,0.98
3,False,Washington,7768,9862,47.5,47.50,-120.5,-120.50,%null%,7738692,100.4,100.4,0.56
4,False,Virginia,7810,9954,37.77,37.77,-78.24,-78.24,%null%,8642274,90.4,90.4,0.34
5,False,Vermont,651,814,44.1584,44.16,-72.7678,-72.77,%null%,645570,100.8,100.8,0.58
6,False,Utah,3708,4629,39.25,39.25,-111.75,-111.75,%null%,3337975,111.1,111.1,0.8
7,False,Texas,25296,31446,31.25,31.25,-99.25,-99.25,%null%,29527941,85.7,85.7,0.3
8,False,Tennessee,7480,9217,35.75,35.75,-86.25,-86.25,%null%,6975218,107.2,107.2,0.74
9,False,South Dakota,875,1094,44.5,44.50,-100.25,-100.25,%null%,895376,97.7,97.7,0.54
10,False,South Carolina,4758,5921,34,34.00,-81,-81.00,%null%,5190705,91.7,91.7,0.42
11,False,Rhode Island,771,1000,41.4966,41.50,-71.4757,-71.48,%null%,1095610,70.4,70.4,0.06
12,False,Pennsylvania,11314,14480,40.86,40.86,-77.9,-77.90,%null%,12964056,87.3,87.3,0.32
13,False,Oregon,4856,6042,44,44.00,-120.5,-120.50,%null%,4246155,114.4,114.4,0.84
14,False,Oklahoma,5035,6217,35.5,35.50,-97.5,-97.50,%null%,3986639,126.3,126.3,0.92
15,False,Ohio,12156,15157,40.25,40.25,-83,-83.00,%null%,11780017,103.2,103.2,0.62
16,False,North Dakota,723,918,47.5,47.50,-100,-100.00,%null%,774948,93.3,93.3,0.46
17,False,North Carolina,8931,11230,35.5,35.50,-80,-80.00,%null%,10551162,84.6,84.6,0.26
18,False,New York,13751,18354,43,43.00,-75.49,-75.49,%null%,19835913,69.3,69.3,0.04
19,False,New Mexico,1751,2238,34.5,34.50,-106,-106.00,%null%,2115877,82.8,82.8,0.22
20,False,New Jersey,5799,7697,40.16,40.16,-74.49,-74.49,%null%,9267130,62.6,62.6,0
21,False,New Hampshire,1352,1679,43.66,43.66,-71.49,-71.49,%null%,1388992,97.3,97.3,0.52
22,False,Nevada,2879,3651,39.25,39.25,-116.75,-116.75,%null%,3143991,91.6,91.6,0.4
23,False,Nebraska,1834,2354,41.5,41.50,-99.75,-99.75,%null%,1963692,93.4,93.4,0.48
24,False,Montana,1199,1486,47,47.00,-109.75,-109.75,%null%,1104271,108.6,108.6,0.78
25,False,Missouri,6447,8033,38.25,38.25,-92.5,-92.50,%null%,6168187,104.5,104.5,0.64
26,False,Mississippi,2683,3403,33.503,33.50,-89.8071,-89.81,%null%,2949965,91.0,91.0,0.36
27,False,Minnesota,4889,6205,46.25,46.25,-94.25,-94.25,%null%,5707390,85.7,85.7,0.28
28,False,Michigan,9601,12102,43.1045,43.10,-84.6165,-84.62,%null%,10050811,95.5,95.5,0.5
29,False,Massachusetts,5113,6676,42.3616,42.36,-72.1839,-72.18,%null%,6984723,73.2,73.2,0.1
30,False,Maryland,4573,5879,39.4444,39.44,-77.0834,-77.08,%null%,6165129,74.2,74.2,0.12
31,False,Maine,1763,2204,45.5,45.50,-69.24,-69.24,%null%,1372247,128.5,128.5,0.96
32,False,Louisiana,3667,4547,30.6935,30.69,-92.241,-92.24,%null%,4624047,79.3,79.3,0.18
33,False,Kentucky,5323,6720,37.79,37.79,-84.87,-84.87,%null%,4509394,118.0,118.0,0.86
34,False,Kansas,3136,3915,38.5,38.50,-98.5,-98.50,%null%,2934582,106.9,106.9,0.72
35,False,Iowa,3288,4106,42,42.00,-93.5,-93.50,%null%,3193079,103.0,103.0,0.6
36,False,Indiana,8236,10262,40,40.00,-86.25,-86.25,%null%,6805985,121.0,121.0,0.9
37,False,Illinois,10024,12931,40,40.00,-89.25,-89.25,%null%,12671469,79.1,79.1,0.16
38,False,Idaho,2030,2529,44.0739,44.07,-114.542,-114.54,%null%,1900923,106.8,106.8,0.7
39,False,Hawaii,987,1298,20.79,20.79,-156.34,-156.34,%null%,1441553,68.5,68.5,0.02
40,False,Georgia,9854,12350,32.1598,32.16,-83.4715,-83.47,%null%,10799566,91.2,91.2,0.38
41,False,Florida,17511,22227,28.42,28.42,-81.55,-81.55,%null%,21781128,80.4,80.4,0.2
42,False,District of Columbia,483,692,38.91,38.91,-77,-77.00,%null%,670050,72.1,72.1,0.08
43,False,Delaware,1055,1432,38.6716,38.67,-75.4165,-75.42,%null%,1003384,105.1,105.1,0.66
44,False,Connecticut,2999,3975,41.6227,41.62,-72.7028,-72.70,%null%,3605597,83.2,83.2,0.24
45,False,Colorado,6573,8426,39,39.00,-105.5,-105.50,%null%,5812069,113.1,113.1,0.82
46,False,California,29687,39188,37.25,37.25,-119.75,-119.75,%null%,39237836,75.7,75.7,0.14
47,False,Arkansas,3831,4771,34.75,34.75,-92.5,-92.50,%null%,3025891,126.6,126.6,0.94
48,False,Arizona,7697,9704,34.5,34.50,-111.5,-111.50,%null%,7276316,105.8,105.8,0.68
49,False,Alaska,1416,1886,64,64.00,-150,-150.00,%null%,732673,193.3,193.3,1
50,False,Alabama,5951,7585,32.75,32.75,-86.75,-86.75,%null%,5039877,118.1,118.1,0.88
