,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,57,578803,61,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),93.44,9.847910256166607,9.8,0.98
1,True,Wisconsin,397,5895908,427,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),92.97,6.733483629663149,6.7,0.68
2,True,West Virginia,123,1782959,134,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),91.79,6.898644332258903,6.9,0.7
3,True,Washington,516,7738692,552,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),93.48,6.667793472075126,6.7,0.6
4,True,Virginia,469,8642274,503,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),93.24,5.4268124338571075,5.4,0.3
5,True,Vermont,52,645570,55,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),94.55,8.054897222609478,8.1,0.9
6,True,Utah,223,3337975,251,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),88.84,6.680697129247522,6.7,0.62
7,True,Texas,1570,29527941,1708,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),91.92,5.316997890235557,5.3,0.26
8,True,Tennessee,379,6975218,402,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),94.28,5.433521934368216,5.4,0.34
9,True,South Dakota,67,895376,69,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),97.10,7.482889869730705,7.5,0.78
10,True,South Carolina,281,5190705,300,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),93.67,5.413522825897446,5.4,0.28
11,True,Rhode Island,49,1095610,55,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),89.09,4.472394373910425,4.5,0.08
12,True,Pennsylvania,704,12964056,768,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),91.67,5.430399251592249,5.4,0.32
13,True,Oregon,244,4246155,267,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),91.39,5.746375250079189,5.7,0.4
14,True,Oklahoma,308,3986639,326,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),94.48,7.725806123905374,7.7,0.8
15,True,Ohio,835,11780017,896,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),93.19,7.0882749999427,7.1,0.74
16,True,North Dakota,52,774948,54,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),96.30,6.7101276472743985,6.7,0.64
17,True,North Carolina,503,10551162,543,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),92.63,4.767247436822598,4.8,0.14
