,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,98,578803,105,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),93.33,16.93149482639171,16.9,0.82
1,True,Wisconsin,701,5895908,776,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),90.34,11.88960207655886,11.9,0.32
2,True,West Virginia,328,1782959,349,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),93.98,18.39638488602374,18.4,0.98
3,True,Washington,1082,7738692,1180,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),91.69,13.981690962762183,14.0,0.54
4,True,Virginia,1104,8642274,1200,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),92.00,12.774415622554896,12.8,0.44
5,True,Vermont,110,645570,131,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),83.97,17.039205663212357,17.0,0.86
6,True,Utah,483,3337975,530,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),91.13,14.4698507328545,14.5,0.6
7,True,Texas,3128,29527941,3443,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),90.85,10.593356306150842,10.6,0.22
8,True,Tennessee,1021,6975218,1118,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),91.32,14.637535342981394,14.6,0.64
9,True,South Dakota,152,895376,163,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),93.25,16.976108361180106,17.0,0.84
10,True,South Carolina,628,5190705,690,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),91.01,12.098549233678277,12.1,0.4
11,True,Rhode Island,92,1095610,100,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),92.00,8.397148620403245,8.4,0.04
12,True,Pennsylvania,1545,12964056,1692,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),91.31,11.917566539360829,11.9,0.34
13,True,Oregon,594,4246155,659,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),90.14,13.989126633389501,14.0,0.56
14,True,Oklahoma,724,3986639,787,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),91.99,18.160661148400948,18.2,0.96
15,True,Ohio,1677,11780017,1861,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),90.11,14.235972664555577,14.2,0.58
16,True,North Dakota,116,774948,131,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),88.55,14.968746290073655,15.0,0.72
17,True,North Carolina,1153,10551162,1261,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),91.44,10.927706351205677,10.9,0.26
18,True,New York,1648,19835913,1817,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),90.70,8.308163077746913,8.3,0.02
19,True,New Mexico,244,2115877,270,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),90.37,11.53186125658533,11.5,0.3
20,True,New Jersey,663,9267130,752,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),88.16,7.154318543065652,7.2,0
21,True,New Hampshire,188,1388992,206,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),91.26,13.534995161959177,13.5,0.52
22,True,Nevada,335,3143991,377,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),88.86,10.655246786647925,10.7,0.24
23,True,Nebraska,265,1963692,292,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),90.75,13.494988012376687,13.5,0.5
24,True,Montana,161,1104271,174,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),92.53,14.579754426223273,14.6,0.62
25,True,Missouri,920,6168187,1024,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),89.84,14.91524170716614,14.9,0.7
26,True,Mississippi,503,2949965,544,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),92.46,17.05104975821747,17.1,0.88
27,True,Minnesota,843,5707390,935,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),90.16,14.77032408859391,14.8,0.66
28,True,Michigan,1350,10050811,1511,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),89.34,13.431751925292398,13.4,0.48
29,True,Massachusetts,669,6984723,744,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),89.92,9.578046258956869,9.6,0.12
30,True,Maryland,551,6165129,607,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),90.77,8.937363678845974,8.9,0.08
31,True,Maine,222,1372247,248,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),89.52,16.177845533639353,16.2,0.8
32,True,Louisiana,444,4624047,477,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),93.08,9.601978526602347,9.6,0.14
33,True,Kentucky,787,4509394,870,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),90.46,17.452455917580057,17.5,0.9
34,True,Kansas,451,2934582,501,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),90.02,15.368457926887032,15.4,0.74
35,True,Iowa,514,3193079,565,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),90.97,16.097315475126045,16.1,0.78
36,True,Indiana,1192,6805985,1284,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),92.83,17.513996871870862,17.5,0.92
37,True,Illinois,1317,12671469,1478,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),89.11,10.393427944305431,10.4,0.18
38,True,Idaho,240,1900923,264,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),90.91,12.625445638776533,12.6,0.42
39,True,Hawaii,126,1441553,145,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),86.90,8.740573534237035,8.7,0.06
40,True,Georgia,1306,10799566,1440,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),90.69,12.093078555193792,12.1,0.38
41,True,Florida,2092,21781128,2311,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),90.52,9.604644901770008,9.6,0.16
42,True,District of Columbia,77,670050,94,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),81.91,11.491679725393627,11.5,0.28
43,True,Delaware,160,1003384,172,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),93.02,15.946038605359464,15.9,0.76
44,True,Connecticut,381,3605597,418,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),91.15,10.566904731726813,10.6,0.2
45,True,Colorado,862,5812069,959,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),89.89,14.831207268874476,14.8,0.68
46,True,California,3729,39237836,4199,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),88.81,9.503582205705738,9.5,0.1
47,True,Arkansas,534,3025891,580,34.75,34.75,-92.5,-92.50,%null%,Breakdown by County (All Years),92.07,17.64769451378123,17.6,0.94
48,True,Arizona,939,7276316,1027,34.5,34.50,-111.5,-111.50,%null%,Breakdown by County (All Years),91.43,12.904882085934695,12.9,0.46
49,True,Alaska,173,732673,186,64,64.00,-150,-150.00,%null%,Breakdown by County (All Years),93.01,23.612170777413663,23.6,1
50,True,Alabama,608,5039877,672,32.75,32.75,-86.75,-86.75,%null%,Breakdown by County (All Years),90.48,12.063786477328712,12.1,0.36
