,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,532,578803,585,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),90.940,91.91382905755499,91.9,0.88
1,True,Wisconsin,4145,5895908,4564,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),90.819,70.30299658678528,70.3,0.38
2,True,West Virginia,1836,1782959,1959,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),93.721,102.9748861303036,103.0,0.96
3,True,Washington,6218,7738692,6724,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),92.475,80.34949575457972,80.3,0.58
4,True,Virginia,6173,8642274,6720,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),91.860,71.42795981705741,71.4,0.4
5,True,Vermont,505,645570,564,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),89.539,78.22544418111127,78.2,0.52
6,True,Utah,2933,3337975,3198,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),91.714,87.86764430530486,87.9,0.8
7,True,Texas,18432,29527941,20058,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),91.894,62.42223255593744,62.4,0.2
8,True,Tennessee,5933,6975218,6373,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),93.096,85.05827344751089,85.1,0.72
9,True,South Dakota,788,895376,850,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),92.706,88.0077196619074,88.0,0.82
10,True,South Carolina,3493,5190705,3776,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),92.505,67.29336381088889,67.3,0.34
11,True,Rhode Island,615,1095610,664,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),92.620,56.133113060304304,56.1,0.06
12,True,Pennsylvania,9054,12964056,9888,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),91.566,69.83925401124462,69.8,0.36
13,True,Oregon,3626,4246155,3954,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),91.705,85.39490433109484,85.4,0.74
14,True,Oklahoma,3972,3986639,4265,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),93.130,99.63279845503945,99.6,0.94
15,True,Ohio,10103,11780017,10928,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),92.451,85.7638830232588,85.8,0.76
16,True,North Dakota,633,774948,700,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),90.429,81.68290001393642,81.7,0.6
17,True,North Carolina,6898,10551162,7502,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),91.949,65.37668552525304,65.4,0.26
18,True,New York,10289,19835913,11349,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),90.660,51.87056426391868,51.9,0.02
19,True,New Mexico,1398,2115877,1524,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),91.732,66.07189359305858,66.1,0.28
20,True,New Jersey,4308,9267130,4777,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),90.182,46.48688428887908,46.5,0
21,True,New Hampshire,1058,1388992,1142,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),92.644,76.17034511357876,76.2,0.5
22,True,Nevada,2112,3143991,2300,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),91.826,67.17576481612066,67.2,0.32
23,True,Nebraska,1455,1963692,1587,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),91.682,74.09512286040786,74.1,0.44
24,True,Montana,929,1104271,998,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),93.086,84.12789976373553,84.1,0.64
25,True,Missouri,5132,6168187,5552,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),92.435,83.201109175192,83.2,0.62
26,True,Mississippi,2562,2949965,2753,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),93.062,86.84848803290888,86.8,0.78
27,True,Minnesota,4543,5707390,4939,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),91.982,79.59855555691831,79.6,0.54
28,True,Michigan,7346,10050811,8055,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),91.198,73.08862936533181,73.1,0.42
