,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,380,578803,412,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),92.233,65.65273504111072,65.7,0.76
1,True,Wisconsin,2975,5895908,3294,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),90.316,50.458724932614274,50.5,0.36
2,True,West Virginia,1434,1782959,1527,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),93.910,80.4280973370672,80.4,0.96
3,True,Washington,4616,7738692,4999,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),92.338,59.64832299825345,59.6,0.58
4,True,Virginia,4611,8642274,5032,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),91.634,53.35401307572521,53.4,0.4
5,True,Vermont,358,645570,404,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),88.614,55.45486934027294,55.5,0.48
6,True,Utah,2225,3337975,2427,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),91.677,66.65717987702125,66.7,0.84
7,True,Texas,13309,29527941,14506,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),91.748,45.072563644041416,45.1,0.18
8,True,Tennessee,4704,6975218,5056,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),93.038,67.4387524518947,67.4,0.86
9,True,South Dakota,590,895376,644,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),91.615,65.89410482300173,65.9,0.82
10,True,South Carolina,2610,5190705,2838,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),91.966,50.28218710175208,50.3,0.34
11,True,Rhode Island,456,1095610,496,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),91.935,41.62064968373783,41.6,0.08
12,True,Pennsylvania,6806,12964056,7449,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),91.368,52.499001855592105,52.5,0.38
13,True,Oregon,2764,4246155,3017,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),91.614,65.09418520991343,65.1,0.72
14,True,Oklahoma,3060,3986639,3288,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),93.066,76.75638551672223,76.8,0.94
15,True,Ohio,7637,11780017,8275,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),92.290,64.83012715516455,64.8,0.7
16,True,North Dakota,472,774948,520,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),90.769,60.907312490644536,60.9,0.6
17,True,North Carolina,5192,10551162,5674,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),91.505,49.20785028227222,49.2,0.28
18,True,New York,7483,19835913,8270,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),90.484,37.72450504294912,37.7,0.02
19,True,New Mexico,1056,2115877,1150,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),91.826,49.90838314325454,49.9,0.3
20,True,New Jersey,3061,9267130,3427,40.16,40.16,-74.49,-74.49,%null%,Breakdown by County (All Years),89.320,33.030722564591194,33.0,0
21,True,New Hampshire,800,1388992,870,43.66,43.66,-71.49,-71.49,%null%,Breakdown by County (All Years),91.954,57.5957240934433,57.6,0.54
22,True,Nevada,1524,3143991,1664,39.25,39.25,-116.75,-116.75,%null%,Breakdown by County (All Years),91.587,48.47342120254161,48.5,0.26
23,True,Nebraska,1063,1963692,1162,41.5,41.50,-99.75,-99.75,%null%,Breakdown by County (All Years),91.480,54.13272549870346,54.1,0.44
24,True,Montana,719,1104271,778,47,47.00,-109.75,-109.75,%null%,Breakdown by County (All Years),92.416,65.11082877300953,65.1,0.74
25,True,Missouri,3850,6168187,4179,38.25,38.25,-92.5,-92.50,%null%,Breakdown by County (All Years),92.127,62.41704410064092,62.4,0.66
26,True,Mississippi,2117,2949965,2280,33.503,33.50,-89.8071,-89.81,%null%,Breakdown by County (All Years),92.851,71.7635632965137,71.8,0.88
27,True,Minnesota,3341,5707390,3630,46.25,46.25,-94.25,-94.25,%null%,Breakdown by County (All Years),92.039,58.53814090153293,58.5,0.56
28,True,Michigan,5396,10050811,5955,43.1045,43.10,-84.6165,-84.62,%null%,Breakdown by County (All Years),90.613,53.68720991768724,53.7,0.42
29,True,Massachusetts,2949,6984723,3245,42.3616,42.36,-72.1839,-72.18,%null%,Breakdown by County (All Years),90.878,42.22071512356324,42.2,0.1
30,True,Maryland,2430,6165129,2705,39.4444,39.44,-77.0834,-77.08,%null%,Breakdown by County (All Years),89.834,39.415233647179164,39.4,0.04
31,True,Maine,902,1372247,991,45.5,45.50,-69.24,-69.24,%null%,Breakdown by County (All Years),91.019,65.7316066276698,65.7,0.8
32,True,Louisiana,1978,4624047,2172,30.6935,30.69,-92.241,-92.24,%null%,Breakdown by County (All Years),91.068,42.776381814458205,42.8,0.12
33,True,Kentucky,3257,4509394,3508,37.79,37.79,-84.87,-84.87,%null%,Breakdown by County (All Years),92.845,72.22699990286942,72.2,0.9
34,True,Kansas,1865,2934582,2022,38.5,38.50,-98.5,-98.50,%null%,Breakdown by County (All Years),92.235,63.552492314067216,63.6,0.68
35,True,Iowa,1957,3193079,2097,42,42.00,-93.5,-93.50,%null%,Breakdown by County (All Years),93.324,61.288806196151114,61.3,0.62
36,True,Indiana,4960,6805985,5355,40,40.00,-86.25,-86.25,%null%,Breakdown by County (All Years),92.624,72.87703396348948,72.9,0.92
37,True,Illinois,5841,12671469,6422,40,40.00,-89.25,-89.25,%null%,Breakdown by County (All Years),90.953,46.09568156620199,46.1,0.2
38,True,Idaho,1085,1900923,1183,44.0739,44.07,-114.542,-114.54,%null%,Breakdown by County (All Years),91.716,57.0775354919689,57.1,0.52
39,True,Hawaii,624,1441553,691,20.79,20.79,-156.34,-156.34,%null%,Breakdown by County (All Years),90.304,43.28664988384055,43.3,0.16
40,True,Georgia,5158,10799566,5647,32.1598,32.16,-83.4715,-83.47,%null%,Breakdown by County (All Years),91.341,47.76117855106399,47.8,0.24
41,True,Florida,9379,21781128,10292,28.42,28.42,-81.55,-81.55,%null%,Breakdown by County (All Years),91.129,43.06021249220885,43.1,0.14
42,True,District of Columbia,335,670050,384,38.91,38.91,-77,-77.00,%null%,Breakdown by County (All Years),87.240,49.9962689351541,50.0,0.32
43,True,Delaware,618,1003384,672,38.6716,38.67,-75.4165,-75.42,%null%,Breakdown by County (All Years),91.964,61.59157411320093,61.6,0.64
44,True,Connecticut,1675,3605597,1863,41.6227,41.62,-72.7028,-72.70,%null%,Breakdown by County (All Years),89.909,46.45555229827404,46.5,0.22
45,True,Colorado,3819,5812069,4191,39,39.00,-105.5,-105.50,%null%,Breakdown by County (All Years),91.124,65.70809809725246,65.7,0.78
46,True,California,15743,39237836,17468,37.25,37.25,-119.75,-119.75,%null%,Breakdown by County (All Years),90.125,40.12198837876788,40.1,0.06
