,Age Chart-alias,State-alias,SUM(Positive PTSD)-alias,SUM(State Population)-alias,SUM(Total PTSD Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
0,True,Wyoming,146,578803,165,43,43.00,-107.5,-107.50,%null%,Breakdown by County (All Years),88.485,25.224471884216218,25.2,0.98
1,True,Wisconsin,1129,5895908,1228,44.5,44.50,-90,-90.00,%null%,Breakdown by County (All Years),91.938,19.148874100477823,19.1,0.54
2,True,West Virginia,386,1782959,413,38.63,38.63,-80.73,-80.73,%null%,Breakdown by County (All Years),93.462,21.649404164649887,21.6,0.78
3,True,Washington,1537,7738692,1653,47.5,47.50,-120.5,-120.50,%null%,Breakdown by County (All Years),92.982,19.861237532130755,19.9,0.6
4,True,Virginia,1501,8642274,1618,37.77,37.77,-78.24,-78.24,%null%,Breakdown by County (All Years),92.769,17.368113994071468,17.4,0.38
5,True,Vermont,141,645570,153,44.1584,44.16,-72.7678,-72.77,%null%,Breakdown by County (All Years),92.157,21.841163622844928,21.8,0.8
6,True,Utah,678,3337975,738,39.25,39.25,-111.75,-111.75,%null%,Breakdown by County (All Years),91.870,20.311715935559732,20.3,0.66
7,True,Texas,4945,29527941,5352,31.25,31.25,-99.25,-99.25,%null%,Breakdown by County (All Years),92.395,16.746850042811992,16.7,0.32
8,True,Tennessee,1174,6975218,1255,35.75,35.75,-86.25,-86.25,%null%,Breakdown by County (All Years),93.546,16.83101517400603,16.8,0.34
9,True,South Dakota,188,895376,195,44.5,44.50,-100.25,-100.25,%null%,Breakdown by County (All Years),96.410,20.9967656046175,21.0,0.76
10,True,South Carolina,848,5190705,901,34,34.00,-81,-81.00,%null%,Breakdown by County (All Years),94.118,16.336894506622897,16.3,0.28
11,True,Rhode Island,154,1095610,162,41.4966,41.50,-71.4757,-71.48,%null%,Breakdown by County (All Years),95.062,14.056096603718476,14.1,0.08
12,True,Pennsylvania,2164,12964056,2343,40.86,40.86,-77.9,-77.90,%null%,Breakdown by County (All Years),92.360,16.69230679040572,16.7,0.3
13,True,Oregon,813,4246155,884,44,44.00,-120.5,-120.50,%null%,Breakdown by County (All Years),91.968,19.146733927517957,19.1,0.52
14,True,Oklahoma,881,3986639,942,35.5,35.50,-97.5,-97.50,%null%,Breakdown by County (All Years),93.524,22.098815568703362,22.1,0.84
15,True,Ohio,2398,11780017,2575,40.25,40.25,-83,-83.00,%null%,Breakdown by County (All Years),93.126,20.356507125583946,20.4,0.68
16,True,North Dakota,158,774948,176,47.5,47.50,-100,-100.00,%null%,Breakdown by County (All Years),89.773,20.38846477441067,20.4,0.7
17,True,North Carolina,1630,10551162,1746,35.5,35.50,-80,-80.00,%null%,Breakdown by County (All Years),93.356,15.448535431452953,15.4,0.22
18,True,New York,2685,19835913,2943,43,43.00,-75.49,-75.49,%null%,Breakdown by County (All Years),91.233,13.536054528974793,13.5,0.06
19,True,New Mexico,325,2115877,355,34.5,34.50,-106,-106.00,%null%,Breakdown by County (All Years),91.549,15.360061099959971,15.4,0.2
