,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,Rhode Island,Rhode Island,16,20,187776,%null%,8.52,8.520790729379687,8.520790729379687,8.5,8.520790729379687,8.520790729379687
1,True,True,%null%,%null%,Hawaii,Hawaii,18,23,160134,%null%,11.24,11.240586009217282,11.240586009217282,11.2,11.240586009217282,11.240586009217282
2,True,True,%null%,%null%,New York,New York,446,504,3868268,%null%,11.53,11.529707869258283,11.529707869258283,11.5,11.529707869258283,11.529707869258283
3,True,True,%null%,%null%,District of Columbia,District of Columbia,9,11,76919,%null%,11.70,11.700620132867042,11.700620132867042,11.7,11.700620132867042,11.700620132867042
4,True,True,%null%,%null%,Florida,Florida,718,792,5830908,%null%,12.31,12.313691109515018,12.313691109515018,12.3,12.313691109515018,12.313691109515018
5,True,True,%null%,%null%,Nevada,Nevada,117,127,940757,%null%,12.44,12.436792923145934,12.436792923145934,12.4,12.436792923145934,12.436792923145934
6,True,True,%null%,%null%,New Jersey,New Jersey,255,288,1991638,%null%,12.80,12.803531565475254,12.803531565475254,12.8,12.803531565475254,12.803531565475254
7,True,True,%null%,%null%,California,California,2064,2271,15754605,%null%,13.10,13.100931441949829,13.100931441949829,13.1,13.100931441949829,13.100931441949829
8,True,True,%null%,%null%,Maryland,Maryland,92,105,684437,%null%,13.44,13.441704641917372,13.441704641917372,13.4,13.441704641917372,13.441704641917372
9,True,True,%null%,%null%,New Mexico,New Mexico,146,157,1059242,%null%,13.78,13.783441366562126,13.783441366562126,13.8,13.783441366562126,13.783441366562126
10,True,True,%null%,%null%,Georgia,Georgia,156,167,1104836,%null%,14.12,14.119742658638929,14.119742658638929,14.1,14.119742658638929,14.119742658638929
11,True,True,%null%,%null%,Texas,Texas,1680,1843,11857401,%null%,14.17,14.168366238098887,14.168366238098887,14.2,14.168366238098887,14.168366238098887
12,True,True,%null%,%null%,Illinois,Illinois,331,363,2282133,%null%,14.50,14.50397500934433,14.50397500934433,14.5,14.50397500934433,14.50397500934433
13,True,True,%null%,%null%,Tennessee,Tennessee,65,69,425839,%null%,15.26,15.263984745408475,15.263984745408475,15.3,15.263984745408475,15.263984745408475
14,True,True,%null%,%null%,Washington,Washington,163,184,1059156,%null%,15.39,15.389612106243085,15.389612106243085,15.4,15.389612106243085,15.389612106243085
15,True,True,%null%,%null%,Louisiana,Louisiana,40,46,258338,%null%,15.48,15.483591264157809,15.483591264157809,15.5,15.483591264157809,15.483591264157809
16,True,True,%null%,%null%,Oregon,Oregon,93,105,596517,%null%,15.59,15.590502869155447,15.590502869155447,15.6,15.590502869155447,15.590502869155447
17,True,True,%null%,%null%,Arizona,Arizona,372,423,2351122,%null%,15.82,15.822232959412569,15.822232959412569,15.8,15.822232959412569,15.822232959412569
18,True,True,%null%,%null%,Nebraska,Nebraska,38,39,235669,%null%,16.12,16.124309943183025,16.124309943183025,16.1,16.124309943183025,16.124309943183025
19,True,True,%null%,%null%,North Carolina,North Carolina,176,193,1078224,%null%,16.32,16.323138791197376,16.323138791197376,16.3,16.323138791197376,16.323138791197376
20,True,True,%null%,%null%,Oklahoma,Oklahoma,78,82,467249,%null%,16.69,16.693454667639738,16.693454667639738,16.7,16.693454667639738,16.693454667639738
21,True,True,%null%,%null%,South Carolina,South Carolina,56,62,330096,%null%,16.96,16.964761766274055,16.964761766274055,17.0,16.964761766274055,16.964761766274055
22,True,True,%null%,%null%,Virginia,Virginia,152,168,882402,%null%,17.23,17.225708917250866,17.225708917250866,17.2,17.225708917250866,17.225708917250866
23,True,True,%null%,%null%,Pennsylvania,Pennsylvania,187,203,1084634,%null%,17.24,17.24083884517727,17.24083884517727,17.2,17.24083884517727,17.24083884517727
24,True,True,%null%,%null%,Kansas,Kansas,65,70,374093,%null%,17.38,17.375358533840515,17.375358533840515,17.4,17.375358533840515,17.375358533840515
25,True,True,%null%,%null%,Wisconsin,Wisconsin,77,83,442517,%null%,17.40,17.400461451198485,17.400461451198485,17.4,17.400461451198485,17.400461451198485
26,True,True,%null%,%null%,Mississippi,Mississippi,18,18,102936,%null%,17.49,17.48659361156447,17.48659361156447,17.5,17.48659361156447,17.48659361156447
27,True,True,%null%,%null%,Kentucky,Kentucky,33,33,187984,%null%,17.55,17.554685505149376,17.554685505149376,17.6,17.554685505149376,17.554685505149376
28,True,True,%null%,%null%,Massachusetts,Massachusetts,158,167,897349,%null%,17.61,17.6074191869607,17.6074191869607,17.6,17.6074191869607,17.6074191869607
29,True,True,%null%,%null%,Minnesota,Minnesota,63,70,333474,%null%,18.89,18.892027564367837,18.892027564367837,18.9,18.892027564367837,18.892027564367837
30,True,True,%null%,%null%,Idaho,Idaho,48,53,251919,%null%,19.05,19.05374346516142,19.05374346516142,19.1,19.05374346516142,19.05374346516142
31,True,True,%null%,%null%,Alabama,Alabama,47,53,241168,%null%,19.49,19.488489351821137,19.488489351821137,19.5,19.488489351821137,19.488489351821137
32,True,True,%null%,%null%,New Hampshire,New Hampshire,12,15,60873,%null%,19.71,19.713173328076486,19.713173328076486,19.7,19.713173328076486,19.713173328076486
33,True,True,%null%,%null%,Iowa,Iowa,43,49,215119,%null%,19.99,19.988936356156362,19.988936356156362,20.0,19.988936356156362,19.988936356156362
34,True,True,%null%,%null%,Delaware,Delaware,21,25,101213,%null%,20.75,20.748322843903452,20.748322843903452,20.7,20.748322843903452,20.748322843903452
35,True,True,%null%,%null%,Montana,Montana,10,10,48014,%null%,20.83,20.827258716207773,20.827258716207773,20.8,20.827258716207773,20.827258716207773
36,True,True,%null%,%null%,Indiana,Indiana,110,119,522944,%null%,21.03,21.034757067678374,21.034757067678374,21.0,21.034757067678374,21.034757067678374
37,True,True,%null%,%null%,Utah,Utah,105,115,493636,%null%,21.27,21.270733901093113,21.270733901093113,21.3,21.270733901093113,21.270733901093113
38,True,True,%null%,%null%,Michigan,Michigan,121,132,561587,%null%,21.55,21.546082797500652,21.546082797500652,21.5,21.546082797500652,21.546082797500652
39,True,True,%null%,%null%,Colorado,Colorado,292,320,1293214,%null%,22.58,22.579402944910896,22.579402944910896,22.6,22.579402944910896,22.579402944910896
40,True,True,%null%,%null%,Missouri,Missouri,66,70,287125,%null%,22.99,22.986504135829342,22.986504135829342,23.0,22.986504135829342,22.986504135829342
41,True,True,%null%,%null%,Connecticut,Connecticut,151,168,637112,%null%,23.70,23.70069940606989,23.70069940606989,23.7,23.70069940606989,23.70069940606989
42,True,True,%null%,%null%,Ohio,Ohio,125,134,508643,%null%,24.58,24.575193210169022,24.575193210169022,24.6,24.575193210169022,24.575193210169022
43,True,True,%null%,%null%,Alaska,Alaska,15,20,54732,%null%,27.41,27.406270554702918,27.406270554702918,27.4,27.406270554702918,27.406270554702918
44,True,True,%null%,%null%,Arkansas,Arkansas,69,72,251277,%null%,27.46,27.459735670196636,27.459735670196636,27.5,27.459735670196636,27.459735670196636
45,True,True,%null%,%null%,West Virginia,West Virginia,10,10,33684,%null%,29.69,29.687685548034672,29.687685548034672,29.7,29.687685548034672,29.687685548034672
46,True,True,%null%,%null%,South Dakota,South Dakota,14,14,41288,%null%,33.91,33.90815733385003,33.90815733385003,33.9,33.90815733385003,33.90815733385003
47,True,True,%null%,%null%,Wyoming,Wyoming,23,26,61087,%null%,37.65,37.65121875358096,37.65121875358096,37.7,37.65121875358096,37.65121875358096
48,True,True,%null%,%null%,Vermont,Vermont,6,8,14384,%null%,41.71,41.71301446051168,41.71301446051168,41.7,41.71301446051168,41.71301446051168
49,True,True,%null%,%null%,North Dakota,North Dakota,15,15,34335,%null%,43.69,43.6871996505024,43.6871996505024,43.7,43.6871996505024,43.6871996505024
50,True,True,%null%,%null%,Maine,Maine,15,16,27037,%null%,55.48,55.47952805414802,55.47952805414802,55.5,55.47952805414802,55.47952805414802
