,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Mexico,New Mexico,18,21,186151,%null%,9.7,9.66956932812609,9.66956932812609,9.7,9.66956932812609,9.66956932812609
1,True,True,%null%,%null%,North Carolina,North Carolina,16,18,115825,%null%,13.8,13.813943449169004,13.813943449169004,13.8,13.813943449169004,13.813943449169004
2,True,True,%null%,%null%,Arizona,Arizona,40,46,279130,%null%,14.3,14.330240389782539,14.330240389782539,14.3,14.330240389782539,14.330240389782539
3,True,True,%null%,%null%,Utah,Utah,6,8,31014,%null%,19.3,19.34610176049526,19.34610176049526,19.3,19.34610176049526,19.34610176049526
4,True,True,%null%,%null%,Alaska,Alaska,24,24,109039,%null%,22.0,22.010473316886618,22.010473316886618,22.0,22.010473316886618,22.010473316886618
5,True,True,%null%,%null%,North Dakota,North Dakota,9,11,40207,%null%,22.4,22.38416196184744,22.38416196184744,22.4,22.38416196184744,22.38416196184744
6,True,True,%null%,%null%,Nevada,Nevada,6,7,26502,%null%,22.6,22.639800769753226,22.639800769753226,22.6,22.639800769753226,22.639800769753226
7,True,True,%null%,%null%,Oklahoma,Oklahoma,96,103,339826,%null%,28.2,28.24975134333453,28.24975134333453,28.2,28.24975134333453,28.24975134333453
8,True,True,%null%,%null%,Florida,Florida,17,17,55453,%null%,30.7,30.6565920689593,30.6565920689593,30.7,30.6565920689593,30.6565920689593
9,True,True,%null%,%null%,New York,New York,19,21,60197,%null%,31.6,31.56303470272605,31.56303470272605,31.6,31.56303470272605,31.56303470272605
10,True,True,%null%,%null%,Montana,Montana,21,22,66192,%null%,31.7,31.725888324873093,31.725888324873093,31.7,31.725888324873093,31.725888324873093
11,True,True,%null%,%null%,Wisconsin,Wisconsin,18,19,52520,%null%,34.3,34.27265803503427,34.27265803503427,34.3,34.27265803503427,34.27265803503427
12,True,True,%null%,%null%,South Dakota,South Dakota,27,28,73258,%null%,36.9,36.85604302601764,36.85604302601764,36.9,36.85604302601764,36.85604302601764
