,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Jersey,New Jersey,40,52,942292,%null%,4.24,4.244968650906513,4.244968650906513,4.2,4.244968650906513,4.244968650906513
1,True,True,%null%,%null%,New York,New York,94,108,1812286,%null%,5.19,5.186819298940675,5.186819298940675,5.2,5.186819298940675,5.186819298940675
2,True,True,%null%,%null%,Tennessee,Tennessee,8,9,139839,%null%,5.72,5.72086470870072,5.72086470870072,5.7,5.72086470870072,5.72086470870072
3,True,True,%null%,%null%,Pennsylvania,Pennsylvania,29,32,503783,%null%,5.76,5.756446724085569,5.756446724085569,5.8,5.756446724085569,5.756446724085569
4,True,True,%null%,%null%,California,California,357,437,6136428,%null%,5.82,5.817716756393133,5.817716756393133,5.8,5.817716756393133,5.817716756393133
5,True,True,%null%,%null%,Maryland,Maryland,25,29,421227,%null%,5.94,5.9350421506693545,5.9350421506693545,5.9,5.9350421506693545,5.9350421506693545
6,True,True,%null%,%null%,Michigan,Michigan,21,25,341843,%null%,6.14,6.143170987851149,6.143170987851149,6.1,6.143170987851149,6.143170987851149
7,True,True,%null%,%null%,Connecticut,Connecticut,11,13,179054,%null%,6.14,6.143398081025836,6.143398081025836,6.1,6.143398081025836,6.143398081025836
8,True,True,%null%,%null%,Massachusetts,Massachusetts,33,34,520119,%null%,6.34,6.344701885530042,6.344701885530042,6.3,6.344701885530042,6.344701885530042
9,True,True,%null%,%null%,Kentucky,Kentucky,5,6,78406,%null%,6.38,6.377062979873989,6.377062979873989,6.4,6.377062979873989,6.377062979873989
10,True,True,%null%,%null%,Illinois,Illinois,49,53,756590,%null%,6.48,6.476427126977623,6.476427126977623,6.5,6.476427126977623,6.476427126977623
11,True,True,%null%,%null%,Virginia,Virginia,41,44,614516,%null%,6.67,6.671917411426229,6.671917411426229,6.7,6.671917411426229,6.671917411426229
12,True,True,%null%,%null%,Texas,Texas,108,119,1584396,%null%,6.82,6.816477698757129,6.816477698757129,6.8,6.816477698757129,6.816477698757129
13,True,True,%null%,%null%,Louisiana,Louisiana,6,6,85860,%null%,6.99,6.988120195667365,6.988120195667365,7.0,6.988120195667365,6.988120195667365
14,True,True,%null%,%null%,Wisconsin,Wisconsin,13,13,185474,%null%,7.01,7.0090686565232865,7.0090686565232865,7.0,7.0090686565232865,7.0090686565232865
15,True,True,%null%,%null%,Hawaii,Hawaii,46,55,651433,%null%,7.06,7.061355503942846,7.061355503942846,7.1,7.061355503942846,7.061355503942846
16,True,True,%null%,%null%,North Carolina,North Carolina,26,31,353832,%null%,7.35,7.348120011756992,7.348120011756992,7.3,7.348120011756992,7.348120011756992
17,True,True,%null%,%null%,Iowa,Iowa,7,9,91780,%null%,7.63,7.626933972543037,7.626933972543037,7.6,7.626933972543037,7.626933972543037
18,True,True,%null%,%null%,Oregon,Oregon,18,20,221414,%null%,8.13,8.129567236037468,8.129567236037468,8.1,8.129567236037468,8.129567236037468
19,True,True,%null%,%null%,Florida,Florida,58,62,650132,%null%,8.92,8.921265219986095,8.921265219986095,8.9,8.921265219986095,8.921265219986095
20,True,True,%null%,%null%,Ohio,Ohio,28,31,313413,%null%,8.93,8.933898721495279,8.933898721495279,8.9,8.933898721495279,8.933898721495279
21,True,True,%null%,%null%,Georgia,Georgia,45,46,490433,%null%,9.18,9.175565265795736,9.175565265795736,9.2,9.175565265795736,9.175565265795736
22,True,True,%null%,%null%,Washington,Washington,77,86,813284,%null%,9.47,9.467787390382695,9.467787390382695,9.5,9.467787390382695,9.467787390382695
23,True,True,%null%,%null%,Nevada,Nevada,28,30,292101,%null%,9.59,9.58572548536294,9.58572548536294,9.6,9.58572548536294,9.58572548536294
24,True,True,%null%,%null%,Indiana,Indiana,19,21,183573,%null%,10.35,10.350105952400408,10.350105952400408,10.4,10.350105952400408,10.350105952400408
25,True,True,%null%,%null%,Missouri,Missouri,15,16,144420,%null%,10.39,10.38637307852098,10.38637307852098,10.4,10.38637307852098,10.38637307852098
26,True,True,%null%,%null%,Colorado,Colorado,22,28,206559,%null%,10.65,10.650709966643912,10.650709966643912,10.7,10.650709966643912,10.650709966643912
27,True,True,%null%,%null%,Utah,Utah,15,18,119717,%null%,12.53,12.529548852710976,12.529548852710976,12.5,12.529548852710976,12.529548852710976
