,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,Alabama,Alabama,71,83,1336172,%null%,5.31,5.313687160036283,5.313687160036283,5.3,5.313687160036283,5.313687160036283
1,True,True,%null%,%null%,Louisiana,Louisiana,80,86,1499002,%null%,5.34,5.336884140247978,5.336884140247978,5.3,5.336884140247978,5.336884140247978
2,True,True,%null%,%null%,New Jersey,New Jersey,68,80,1205848,%null%,5.64,5.639185038246944,5.639185038246944,5.6,5.639185038246944,5.639185038246944
3,True,True,%null%,%null%,Florida,Florida,199,240,3386309,%null%,5.88,5.876604881598224,5.876604881598224,5.9,5.876604881598224,5.876604881598224
4,True,True,%null%,%null%,Massachusetts,Massachusetts,32,34,522609,%null%,6.12,6.123124553920809,6.123124553920809,6.1,6.123124553920809,6.123124553920809
5,True,True,%null%,%null%,New York,New York,178,205,2857575,%null%,6.23,6.229057854999432,6.229057854999432,6.2,6.229057854999432,6.229057854999432
6,True,True,%null%,%null%,Mississippi,Mississippi,70,82,1107951,%null%,6.32,6.317968935449311,6.317968935449311,6.3,6.317968935449311,6.317968935449311
7,True,True,%null%,%null%,Michigan,Michigan,89,99,1383769,%null%,6.43,6.431709338769694,6.431709338769694,6.4,6.431709338769694,6.431709338769694
8,True,True,%null%,%null%,North Carolina,North Carolina,152,164,2248971,%null%,6.76,6.758646509892747,6.758646509892747,6.8,6.758646509892747,6.758646509892747
9,True,True,%null%,%null%,Maryland,Maryland,126,144,1862521,%null%,6.77,6.765024394355821,6.765024394355821,6.8,6.765024394355821,6.765024394355821
10,True,True,%null%,%null%,Tennessee,Tennessee,82,95,1158262,%null%,7.08,7.079572670086733,7.079572670086733,7.1,7.079572670086733,7.079572670086733
11,True,True,%null%,%null%,Georgia,Georgia,247,289,3451256,%null%,7.16,7.156814794382103,7.156814794382103,7.2,7.156814794382103,7.156814794382103
12,True,True,%null%,%null%,Kentucky,Kentucky,28,34,377275,%null%,7.42,7.421642038300974,7.421642038300974,7.4,7.421642038300974,7.421642038300974
13,True,True,%null%,%null%,Missouri,Missouri,53,62,711459,%null%,7.45,7.44948057442523,7.44948057442523,7.4,7.44948057442523,7.44948057442523
14,True,True,%null%,%null%,South Carolina,South Carolina,101,120,1352562,%null%,7.47,7.467310186150432,7.467310186150432,7.5,7.467310186150432,7.467310186150432
15,True,True,%null%,%null%,Texas,Texas,279,313,3630643,%null%,7.68,7.684589203620406,7.684589203620406,7.7,7.684589203620406,7.684589203620406
16,True,True,%null%,%null%,West Virginia,West Virginia,5,5,64063,%null%,7.80,7.804817133134572,7.804817133134572,7.8,7.804817133134572,7.804817133134572
17,True,True,%null%,%null%,Illinois,Illinois,148,164,1791229,%null%,8.26,8.262483468054615,8.262483468054615,8.3,8.262483468054615,8.262483468054615
18,True,True,%null%,%null%,Arkansas,Arkansas,39,46,466227,%null%,8.37,8.365023904664467,8.365023904664467,8.4,8.365023904664467,8.365023904664467
19,True,True,%null%,%null%,Indiana,Indiana,56,63,667291,%null%,8.39,8.392140760178092,8.392140760178092,8.4,8.392140760178092,8.392140760178092
20,True,True,%null%,%null%,Virginia,Virginia,140,148,1657724,%null%,8.45,8.445314177752147,8.445314177752147,8.4,8.445314177752147,8.445314177752147
21,True,True,%null%,%null%,District of Columbia,District of Columbia,25,30,295889,%null%,8.45,8.449114363832383,8.449114363832383,8.4,8.449114363832383,8.449114363832383
22,True,True,%null%,%null%,Wisconsin,Wisconsin,32,34,378263,%null%,8.46,8.459722468229776,8.459722468229776,8.5,8.459722468229776,8.459722468229776
23,True,True,%null%,%null%,Pennsylvania,Pennsylvania,120,134,1416684,%null%,8.47,8.470484596423763,8.470484596423763,8.5,8.470484596423763,8.470484596423763
24,True,True,%null%,%null%,Delaware,Delaware,20,21,223935,%null%,8.93,8.931163060709581,8.931163060709581,8.9,8.931163060709581,8.931163060709581
25,True,True,%null%,%null%,Nevada,Nevada,27,33,301273,%null%,8.96,8.961971368161102,8.961971368161102,9.0,8.961971368161102,8.961971368161102
26,True,True,%null%,%null%,California,California,206,230,2200126,%null%,9.36,9.363100113357143,9.363100113357143,9.4,9.363100113357143,9.363100113357143
27,True,True,%null%,%null%,Ohio,Ohio,144,161,1510741,%null%,9.53,9.531746341695897,9.531746341695897,9.5,9.531746341695897,9.531746341695897
