,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,Hawaii,Hawaii,23,26,291001,%null%,7.90,7.903752908065608,7.903752908065608,7.9,7.903752908065608,7.903752908065608
1,True,True,%null%,%null%,Alaska,Alaska,9,13,52262,%null%,17.22,17.22092533772148,17.22092533772148,17.2,17.22092533772148,17.22092533772148
2,True,True,%null%,%null%,Oklahoma,Oklahoma,48,51,235733,%null%,20.36,20.362019742674978,20.362019742674978,20.4,20.362019742674978,20.362019742674978
3,True,True,%null%,%null%,Maryland,Maryland,36,40,161497,%null%,22.29,22.291435754224537,22.291435754224537,22.3,22.291435754224537,22.291435754224537
4,True,True,%null%,%null%,North Carolina,North Carolina,58,64,225732,%null%,25.69,25.694186025906824,25.694186025906824,25.7,25.694186025906824,25.694186025906824
5,True,True,%null%,%null%,Nevada,Nevada,31,35,118795,%null%,26.10,26.09537438444379,26.09537438444379,26.1,26.09537438444379,26.09537438444379
6,True,True,%null%,%null%,New York,New York,102,105,378698,%null%,26.93,26.934390992294652,26.934390992294652,26.9,26.934390992294652,26.934390992294652
7,True,True,%null%,%null%,Washington,Washington,93,100,342530,%null%,27.15,27.15090648994249,27.15090648994249,27.2,27.15090648994249,27.15090648994249
8,True,True,%null%,%null%,Wisconsin,Wisconsin,31,34,109888,%null%,28.21,28.210541642399534,28.210541642399534,28.2,28.210541642399534,28.210541642399534
9,True,True,%null%,%null%,Virginia,Virginia,71,78,250775,%null%,28.31,28.312232080550295,28.312232080550295,28.3,28.312232080550295,28.312232080550295
10,True,True,%null%,%null%,New Jersey,New Jersey,44,47,152237,%null%,28.90,28.902303644974612,28.902303644974612,28.9,28.902303644974612,28.902303644974612
