,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Jersey,New Jersey,336,379,4960795,%null%,6.77,6.773107939352462,6.773107939352462,6.8,6.773107939352462,6.773107939352462
1,True,True,%null%,%null%,New York,New York,873,963,10858889,%null%,8.04,8.039496489926364,8.039496489926364,8.0,8.039496489926364,8.039496489926364
2,True,True,%null%,%null%,Rhode Island,Rhode Island,66,71,771405,%null%,8.56,8.555816983296712,8.555816983296712,8.6,8.555816983296712,8.555816983296712
3,True,True,%null%,%null%,Massachusetts,Massachusetts,433,491,4894728,%null%,8.85,8.846252539466953,8.846252539466953,8.8,8.846252539466953,8.846252539466953
4,True,True,%null%,%null%,Connecticut,Connecticut,218,240,2330326,%null%,9.35,9.354914290961865,9.354914290961865,9.4,9.354914290961865,9.354914290961865
5,True,True,%null%,%null%,Maryland,Maryland,291,314,3020582,%null%,9.63,9.633904989170961,9.633904989170961,9.6,9.633904989170961,9.633904989170961
6,True,True,%null%,%null%,California,California,1384,1540,13815325,%null%,10.02,10.017860600456377,10.017860600456377,10.0,10.017860600456377,10.017860600456377
7,True,True,%null%,%null%,Florida,Florida,1219,1330,11467951,%null%,10.63,10.629623373870363,10.629623373870363,10.6,10.629623373870363,10.629623373870363
8,True,True,%null%,%null%,Nevada,Nevada,156,178,1464563,%null%,10.65,10.651641479403754,10.651641479403754,10.7,10.651641479403754,10.651641479403754
9,True,True,%null%,%null%,Illinois,Illinois,833,933,7597266,%null%,10.96,10.964470639832802,10.964470639832802,11.0,10.964470639832802,10.964470639832802
10,True,True,%null%,%null%,Louisiana,Louisiana,296,321,2676273,%null%,11.06,11.060157166327949,11.060157166327949,11.1,11.060157166327949,11.060157166327949
11,True,True,%null%,%null%,Wisconsin,Wisconsin,536,595,4727246,%null%,11.34,11.338525644741146,11.338525644741146,11.3,11.338525644741146,11.338525644741146
12,True,True,%null%,%null%,Idaho,Idaho,175,190,1541463,%null%,11.35,11.352851155039076,11.352851155039076,11.4,11.352851155039076,11.352851155039076
13,True,True,%null%,%null%,Hawaii,Hawaii,35,41,308195,%null%,11.36,11.356446405684713,11.356446405684713,11.4,11.356446405684713,11.356446405684713
14,True,True,%null%,%null%,New Mexico,New Mexico,87,97,759740,%null%,11.45,11.451285966251612,11.451285966251612,11.5,11.451285966251612,11.451285966251612
15,True,True,%null%,%null%,North Carolina,North Carolina,774,851,6528578,%null%,11.86,11.85556793531455,11.85556793531455,11.9,11.85556793531455,11.85556793531455
16,True,True,%null%,%null%,Pennsylvania,Pennsylvania,1156,1266,9701126,%null%,11.92,11.91614251788916,11.91614251788916,11.9,11.91614251788916,11.91614251788916
17,True,True,%null%,%null%,District of Columbia,District of Columbia,30,40,249751,%null%,12.01,12.011963916060397,12.011963916060397,12.0,12.011963916060397,12.011963916060397
18,True,True,%null%,%null%,Montana,Montana,117,127,943656,%null%,12.40,12.398585925379587,12.398585925379587,12.4,12.398585925379587,12.398585925379587
19,True,True,%null%,%null%,New Hampshire,New Hampshire,157,172,1238184,%null%,12.68,12.679860182331543,12.679860182331543,12.7,12.679860182331543,12.679860182331543
20,True,True,%null%,%null%,Arizona,Arizona,496,541,3872615,%null%,12.81,12.807883045435705,12.807883045435705,12.8,12.807883045435705,12.807883045435705
21,True,True,%null%,%null%,Oregon,Oregon,404,449,3148080,%null%,12.83,12.833218977916697,12.833218977916697,12.8,12.833218977916697,12.833218977916697
22,True,True,%null%,%null%,Texas,Texas,1538,1685,11885058,%null%,12.94,12.940618379817751,12.940618379817751,12.9,12.940618379817751,12.940618379817751
23,True,True,%null%,%null%,Nebraska,Nebraska,197,214,1519341,%null%,12.97,12.966147823299705,12.966147823299705,13.0,12.966147823299705,12.966147823299705
24,True,True,%null%,%null%,North Dakota,North Dakota,84,93,644623,%null%,13.03,13.030872308310439,13.030872308310439,13.0,13.030872308310439,13.030872308310439
25,True,True,%null%,%null%,South Carolina,South Carolina,430,468,3290272,%null%,13.07,13.068828352184864,13.068828352184864,13.1,13.068828352184864,13.068828352184864
26,True,True,%null%,%null%,Michigan,Michigan,1000,1121,7462582,%null%,13.40,13.40018776343094,13.40018776343094,13.4,13.40018776343094,13.40018776343094
27,True,True,%null%,%null%,Virginia,Virginia,700,766,5213717,%null%,13.43,13.42612190113119,13.42612190113119,13.4,13.42612190113119,13.42612190113119
28,True,True,%null%,%null%,Colorado,Colorado,525,582,3893018,%null%,13.49,13.48568128891261,13.48568128891261,13.5,13.48568128891261,13.48568128891261
29,True,True,%null%,%null%,Minnesota,Minnesota,604,674,4458035,%null%,13.55,13.548570166003632,13.548570166003632,13.5,13.548570166003632,13.548570166003632
30,True,True,%null%,%null%,Washington,Washington,693,751,5111255,%null%,13.56,13.55831395616145,13.55831395616145,13.6,13.55831395616145,13.55831395616145
31,True,True,%null%,%null%,Alabama,Alabama,446,487,3269726,%null%,13.64,13.640286678455626,13.640286678455626,13.6,13.640286678455626,13.640286678455626
