,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Jersey,New Jersey,663,752,9267130,%null%,7.15,7.154318543065652,7.154318543065652,7.2,7.154318543065652,7.154318543065652
1,True,True,%null%,%null%,New York,New York,1648,1817,19835913,%null%,8.31,8.308163077746913,8.308163077746913,8.3,8.308163077746913,8.308163077746913
2,True,True,%null%,%null%,Rhode Island,Rhode Island,92,100,1095610,%null%,8.40,8.397148620403245,8.397148620403245,8.4,8.397148620403245,8.397148620403245
3,True,True,%null%,%null%,Hawaii,Hawaii,126,145,1441553,%null%,8.74,8.740573534237035,8.740573534237035,8.7,8.740573534237035,8.740573534237035
4,True,True,%null%,%null%,Maryland,Maryland,551,607,6165129,%null%,8.94,8.937363678845974,8.937363678845974,8.9,8.937363678845974,8.937363678845974
5,True,True,%null%,%null%,California,California,3729,4199,39237836,%null%,9.50,9.503582205705738,9.503582205705738,9.5,9.503582205705738,9.503582205705738
6,True,True,%null%,%null%,Massachusetts,Massachusetts,669,744,6984723,%null%,9.58,9.578046258956869,9.578046258956869,9.6,9.578046258956869,9.578046258956869
7,True,True,%null%,%null%,Louisiana,Louisiana,444,477,4624047,%null%,9.60,9.601978526602347,9.601978526602347,9.6,9.601978526602347,9.601978526602347
8,True,True,%null%,%null%,Florida,Florida,2092,2311,21781128,%null%,9.60,9.604644901770008,9.604644901770008,9.6,9.604644901770008,9.604644901770008
9,True,True,%null%,%null%,Illinois,Illinois,1317,1478,12671469,%null%,10.39,10.393427944305431,10.393427944305431,10.4,10.393427944305431,10.393427944305431
10,True,True,%null%,%null%,Connecticut,Connecticut,381,418,3605597,%null%,10.57,10.566904731726813,10.566904731726813,10.6,10.566904731726813,10.566904731726813
11,True,True,%null%,%null%,Texas,Texas,3128,3443,29527941,%null%,10.59,10.593356306150842,10.593356306150842,10.6,10.593356306150842,10.593356306150842
12,True,True,%null%,%null%,Nevada,Nevada,335,377,3143991,%null%,10.66,10.655246786647925,10.655246786647925,10.7,10.655246786647925,10.655246786647925
13,True,True,%null%,%null%,North Carolina,North Carolina,1153,1261,10551162,%null%,10.93,10.927706351205677,10.927706351205677,10.9,10.927706351205677,10.927706351205677
14,True,True,%null%,%null%,District of Columbia,District of Columbia,77,94,670050,%null%,11.49,11.491679725393627,11.491679725393627,11.5,11.491679725393627,11.491679725393627
15,True,True,%null%,%null%,New Mexico,New Mexico,244,270,2115877,%null%,11.53,11.53186125658533,11.53186125658533,11.5,11.53186125658533,11.53186125658533
16,True,True,%null%,%null%,Wisconsin,Wisconsin,701,776,5895908,%null%,11.89,11.88960207655886,11.88960207655886,11.9,11.88960207655886,11.88960207655886
17,True,True,%null%,%null%,Pennsylvania,Pennsylvania,1545,1692,12964056,%null%,11.92,11.917566539360829,11.917566539360829,11.9,11.917566539360829,11.917566539360829
18,True,True,%null%,%null%,Alabama,Alabama,608,672,5039877,%null%,12.06,12.063786477328712,12.063786477328712,12.1,12.063786477328712,12.063786477328712
19,True,True,%null%,%null%,Georgia,Georgia,1306,1440,10799566,%null%,12.09,12.093078555193792,12.093078555193792,12.1,12.093078555193792,12.093078555193792
20,True,True,%null%,%null%,South Carolina,South Carolina,628,690,5190705,%null%,12.10,12.098549233678277,12.098549233678277,12.1,12.098549233678277,12.098549233678277
21,True,True,%null%,%null%,Idaho,Idaho,240,264,1900923,%null%,12.63,12.625445638776533,12.625445638776533,12.6,12.625445638776533,12.625445638776533
22,True,True,%null%,%null%,Virginia,Virginia,1104,1200,8642274,%null%,12.77,12.774415622554896,12.774415622554896,12.8,12.774415622554896,12.774415622554896
23,True,True,%null%,%null%,Arizona,Arizona,939,1027,7276316,%null%,12.90,12.904882085934695,12.904882085934695,12.9,12.904882085934695,12.904882085934695
24,True,True,%null%,%null%,Michigan,Michigan,1350,1511,10050811,%null%,13.43,13.431751925292398,13.431751925292398,13.4,13.431751925292398,13.431751925292398
25,True,True,%null%,%null%,Nebraska,Nebraska,265,292,1963692,%null%,13.49,13.494988012376687,13.494988012376687,13.5,13.494988012376687,13.494988012376687
26,True,True,%null%,%null%,New Hampshire,New Hampshire,188,206,1388992,%null%,13.53,13.534995161959177,13.534995161959177,13.5,13.534995161959177,13.534995161959177
