,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Mexico,New Mexico,79,87,186151,%null%,42.4,42.438665384553396,42.438665384553396,42.4,42.438665384553396,42.438665384553396
1,True,True,%null%,%null%,Arizona,Arizona,211,231,279130,%null%,75.6,75.59201805610289,75.59201805610289,75.6,75.59201805610289,75.59201805610289
2,True,True,%null%,%null%,North Carolina,North Carolina,117,127,115825,%null%,101.0,101.01446147204834,101.01446147204834,101.0,101.01446147204834,101.01446147204834
3,True,True,%null%,%null%,Montana,Montana,86,92,66192,%null%,129.9,129.92506647328983,129.92506647328983,129.9,129.92506647328983,129.92506647328983
4,True,True,%null%,%null%,Alaska,Alaska,147,159,109039,%null%,134.8,134.81414906593054,134.81414906593054,134.8,134.81414906593054,134.81414906593054
5,True,True,%null%,%null%,South Dakota,South Dakota,106,107,73258,%null%,144.7,144.69409484288406,144.69409484288406,144.7,144.69409484288406,144.69409484288406
6,True,True,%null%,%null%,Oklahoma,Oklahoma,498,531,339826,%null%,146.5,146.54558509354788,146.54558509354788,146.5,146.54558509354788,146.54558509354788
7,True,True,%null%,%null%,Nevada,Nevada,39,43,26502,%null%,147.2,147.15870500339597,147.15870500339597,147.2,147.15870500339597,147.15870500339597
8,True,True,%null%,%null%,New Jersey,New Jersey,22,23,14320,%null%,153.6,153.6312849162011,153.6312849162011,153.6,153.6312849162011,153.6312849162011
9,True,True,%null%,%null%,North Dakota,North Dakota,62,68,40207,%null%,154.2,154.20200462606013,154.20200462606013,154.2,154.20200462606013,154.20200462606013
10,True,True,%null%,%null%,Louisiana,Louisiana,47,52,30358,%null%,154.8,154.81915804730218,154.81915804730218,154.8,154.81915804730218,154.81915804730218
11,True,True,%null%,%null%,Utah,Utah,53,58,31014,%null%,170.9,170.89056555104148,170.89056555104148,170.9,170.89056555104148,170.89056555104148
12,True,True,%null%,%null%,New York,New York,106,116,60197,%null%,176.1,176.08850939415586,176.08850939415586,176.1,176.08850939415586,176.08850939415586
13,True,True,%null%,%null%,Maryland,Maryland,27,27,14865,%null%,181.6,181.63471241170535,181.63471241170535,181.6,181.63471241170535,181.63471241170535
14,True,True,%null%,%null%,Connecticut,Connecticut,15,16,8111,%null%,184.9,184.9340401923314,184.9340401923314,184.9,184.9340401923314,184.9340401923314
15,True,True,%null%,%null%,Washington,Washington,186,194,95740,%null%,194.3,194.27616461249218,194.27616461249218,194.3,194.27616461249218,194.27616461249218
16,True,True,%null%,%null%,Nebraska,Nebraska,32,34,16418,%null%,194.9,194.90802777439396,194.90802777439396,194.9,194.90802777439396,194.90802777439396
17,True,True,%null%,%null%,Mississippi,Mississippi,31,32,14992,%null%,206.8,206.7769477054429,206.7769477054429,206.8,206.7769477054429,206.7769477054429
18,True,True,%null%,%null%,Rhode Island,Rhode Island,10,12,4633,%null%,215.8,215.84286639326572,215.84286639326572,215.8,215.84286639326572,215.84286639326572
19,True,True,%null%,%null%,Wisconsin,Wisconsin,121,130,52520,%null%,230.4,230.38842345773037,230.38842345773037,230.4,230.38842345773037,230.38842345773037
20,True,True,%null%,%null%,Wyoming,Wyoming,29,33,12146,%null%,238.8,238.76173225753334,238.76173225753334,238.8,238.76173225753334,238.76173225753334
21,True,True,%null%,%null%,Oregon,Oregon,113,124,46873,%null%,241.1,241.076952616645,241.076952616645,241.1,241.076952616645,241.076952616645
22,True,True,%null%,%null%,California,California,389,422,160861,%null%,241.8,241.82368628816184,241.82368628816184,241.8,241.82368628816184,241.82368628816184
23,True,True,%null%,%null%,South Carolina,South Carolina,48,49,19363,%null%,247.9,247.89547074317,247.89547074317,247.9,247.89547074317,247.89547074317
24,True,True,%null%,%null%,Florida,Florida,143,149,55453,%null%,257.9,257.8760391683047,257.8760391683047,257.9,257.8760391683047,257.8760391683047
25,True,True,%null%,%null%,Hawaii,Hawaii,8,9,3099,%null%,258.1,258.14778960955147,258.14778960955147,258.1,258.14778960955147,258.14778960955147
26,True,True,%null%,%null%,Alabama,Alabama,73,83,28165,%null%,259.2,259.1869341381147,259.1869341381147,259.2,259.1869341381147,259.1869341381147
27,True,True,%null%,%null%,Idaho,Idaho,52,55,20059,%null%,259.2,259.2352559948153,259.2352559948153,259.2,259.2352559948153,259.2352559948153
28,True,True,%null%,%null%,Minnesota,Minnesota,160,175,60687,%null%,263.6,263.6478982319113,263.6478982319113,263.6,263.6478982319113,263.6478982319113
29,True,True,%null%,%null%,Michigan,Michigan,154,164,57651,%null%,267.1,267.12459454302615,267.12459454302615,267.1,267.12459454302615,267.12459454302615
30,True,True,%null%,%null%,Texas,Texas,262,269,96976,%null%,270.2,270.16993895396797,270.16993895396797,270.2,270.16993895396797,270.16993895396797
31,True,True,%null%,%null%,Massachusetts,Massachusetts,37,40,12835,%null%,288.3,288.27425009738994,288.27425009738994,288.3,288.27425009738994,288.27425009738994
32,True,True,%null%,%null%,Colorado,Colorado,110,121,37197,%null%,295.7,295.7227733419362,295.7227733419362,295.7,295.7227733419362,295.7227733419362
