,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Jersey,New Jersey,229,280,942292,%null%,24.3,24.302445526439787,24.302445526439787,24.3,24.302445526439787,24.302445526439787
1,True,True,%null%,%null%,Massachusetts,Massachusetts,174,195,520119,%null%,33.5,33.4538826691584,33.4538826691584,33.5,33.4538826691584,33.4538826691584
2,True,True,%null%,%null%,California,California,2067,2400,6136428,%null%,33.7,33.684091135755196,33.684091135755196,33.7,33.684091135755196,33.684091135755196
3,True,True,%null%,%null%,Maryland,Maryland,142,167,421227,%null%,33.7,33.711039415801935,33.711039415801935,33.7,33.711039415801935,33.711039415801935
4,True,True,%null%,%null%,Illinois,Illinois,258,293,756590,%null%,34.1,34.10037140326993,34.10037140326993,34.1,34.10037140326993,34.10037140326993
5,True,True,%null%,%null%,New York,New York,623,690,1812286,%null%,34.4,34.37647258766001,34.37647258766001,34.4,34.37647258766001,34.37647258766001
6,True,True,%null%,%null%,New Hampshire,New Hampshire,15,17,42740,%null%,35.1,35.095928872250816,35.095928872250816,35.1,35.095928872250816,35.095928872250816
7,True,True,%null%,%null%,Pennsylvania,Pennsylvania,180,208,503783,%null%,35.7,35.72966932191042,35.72966932191042,35.7,35.72966932191042,35.72966932191042
8,True,True,%null%,%null%,Nebraska,Nebraska,20,24,54128,%null%,36.9,36.949453148093404,36.949453148093404,36.9,36.949453148093404,36.949453148093404
9,True,True,%null%,%null%,Texas,Texas,598,674,1584396,%null%,37.7,37.74308948015521,37.74308948015521,37.7,37.74308948015521,37.74308948015521
10,True,True,%null%,%null%,Georgia,Georgia,191,214,490433,%null%,38.9,38.945177017044124,38.945177017044124,38.9,38.945177017044124,38.945177017044124
11,True,True,%null%,%null%,North Carolina,North Carolina,148,167,353832,%null%,41.8,41.82776006692441,41.82776006692441,41.8,41.82776006692441,41.82776006692441
12,True,True,%null%,%null%,Virginia,Virginia,262,290,614516,%null%,42.6,42.63517955594321,42.63517955594321,42.6,42.63517955594321,42.63517955594321
13,True,True,%null%,%null%,Nevada,Nevada,126,149,292101,%null%,43.1,43.13576468413323,43.13576468413323,43.1,43.13576468413323,43.13576468413323
14,True,True,%null%,%null%,Michigan,Michigan,151,171,341843,%null%,44.2,44.17232472216778,44.17232472216778,44.2,44.17232472216778,44.17232472216778
15,True,True,%null%,%null%,Ohio,Ohio,142,157,313413,%null%,45.3,45.30762923044035,45.30762923044035,45.3,45.30762923044035,45.30762923044035
16,True,True,%null%,%null%,Rhode Island,Rhode Island,18,20,39360,%null%,45.7,45.73170731707317,45.73170731707317,45.7,45.73170731707317,45.73170731707317
17,True,True,%null%,%null%,Tennessee,Tennessee,64,72,139839,%null%,45.8,45.76691766960576,45.76691766960576,45.8,45.76691766960576,45.76691766960576
18,True,True,%null%,%null%,Oregon,Oregon,102,114,221414,%null%,46.1,46.06754767087899,46.06754767087899,46.1,46.06754767087899,46.06754767087899
19,True,True,%null%,%null%,Washington,Washington,376,422,813284,%null%,46.2,46.23231245173888,46.23231245173888,46.2,46.23231245173888,46.23231245173888
20,True,True,%null%,%null%,Hawaii,Hawaii,323,355,651433,%null%,49.6,49.5829962559465,49.5829962559465,49.6,49.5829962559465,49.5829962559465
21,True,True,%null%,%null%,Florida,Florida,324,368,650132,%null%,49.8,49.83603329785336,49.83603329785336,49.8,49.83603329785336,49.83603329785336
22,True,True,%null%,%null%,Louisiana,Louisiana,43,53,85860,%null%,50.1,50.081528068949446,50.081528068949446,50.1,50.081528068949446,50.081528068949446
23,True,True,%null%,%null%,Connecticut,Connecticut,90,103,179054,%null%,50.3,50.26416611748411,50.26416611748411,50.3,50.26416611748411,50.26416611748411
24,True,True,%null%,%null%,Mississippi,Mississippi,17,18,33735,%null%,50.4,50.39276715577294,50.39276715577294,50.4,50.39276715577294,50.39276715577294
25,True,True,%null%,%null%,Iowa,Iowa,50,62,91780,%null%,54.5,54.478099803878834,54.478099803878834,54.5,54.478099803878834,54.478099803878834
26,True,True,%null%,%null%,Missouri,Missouri,81,92,144420,%null%,56.1,56.086414624013294,56.086414624013294,56.1,56.086414624013294,56.086414624013294
27,True,True,%null%,%null%,Wisconsin,Wisconsin,106,115,185474,%null%,57.2,57.150867507036025,57.150867507036025,57.2,57.150867507036025,57.150867507036025
28,True,True,%null%,%null%,South Carolina,South Carolina,58,64,100149,%null%,57.9,57.91370857422441,57.91370857422441,57.9,57.91370857422441,57.91370857422441
29,True,True,%null%,%null%,Kansas,Kansas,57,61,94576,%null%,60.3,60.26899001860937,60.26899001860937,60.3,60.26899001860937,60.26899001860937
30,True,True,%null%,%null%,New Mexico,New Mexico,23,27,35760,%null%,64.3,64.31767337807607,64.31767337807607,64.3,64.31767337807607,64.31767337807607
31,True,True,%null%,%null%,Minnesota,Minnesota,197,217,305845,%null%,64.4,64.41171181480816,64.41171181480816,64.4,64.41171181480816,64.41171181480816
