,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,Louisiana,Louisiana,437,499,1499002,%null%,29.2,29.15272961610458,29.15272961610458,29.2,29.15272961610458,29.15272961610458
1,True,True,%null%,%null%,Alabama,Alabama,447,503,1336172,%null%,33.5,33.453776908960826,33.453776908960826,33.5,33.453776908960826,33.453776908960826
2,True,True,%null%,%null%,South Carolina,South Carolina,496,552,1352562,%null%,36.7,36.67114705277835,36.67114705277835,36.7,36.67114705277835,36.67114705277835
3,True,True,%null%,%null%,Florida,Florida,1265,1436,3386309,%null%,37.4,37.35630741317464,37.35630741317464,37.4,37.35630741317464,37.35630741317464
4,True,True,%null%,%null%,Mississippi,Mississippi,415,464,1107951,%null%,37.5,37.45653011730663,37.45653011730663,37.5,37.45653011730663,37.45653011730663
5,True,True,%null%,%null%,New York,New York,1136,1296,2857575,%null%,39.8,39.75398720943457,39.75398720943457,39.8,39.75398720943457,39.75398720943457
6,True,True,%null%,%null%,Georgia,Georgia,1409,1583,3451256,%null%,40.8,40.82571678252786,40.82571678252786,40.8,40.82571678252786,40.82571678252786
7,True,True,%null%,%null%,North Carolina,North Carolina,923,1006,2248971,%null%,41.0,41.04099163573029,41.04099163573029,41.0,41.04099163573029,41.04099163573029
8,True,True,%null%,%null%,Tennessee,Tennessee,478,525,1158262,%null%,41.3,41.268728491481205,41.268728491481205,41.3,41.268728491481205,41.268728491481205
9,True,True,%null%,%null%,New Jersey,New Jersey,513,573,1205848,%null%,42.5,42.54267536206885,42.54267536206885,42.5,42.54267536206885,42.54267536206885
10,True,True,%null%,%null%,Maryland,Maryland,801,899,1862521,%null%,43.0,43.0062265069763,43.0062265069763,43.0,43.0062265069763,43.0062265069763
11,True,True,%null%,%null%,Michigan,Michigan,608,686,1383769,%null%,43.9,43.93796941541544,43.93796941541544,43.9,43.93796941541544,43.93796941541544
