,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,Hawaii,Hawaii,50,56,160134,%null%,31.22,31.223850025603554,31.223850025603554,31.2,31.223850025603554,31.223850025603554
1,True,True,%null%,%null%,Rhode Island,Rhode Island,60,75,187776,%null%,31.95,31.952965235173824,31.952965235173824,32.0,31.952965235173824,31.952965235173824
2,True,True,%null%,%null%,New Jersey,New Jersey,755,832,1991638,%null%,37.91,37.90849541934829,37.90849541934829,37.9,37.90849541934829,37.90849541934829
3,True,True,%null%,%null%,New York,New York,1513,1679,3868268,%null%,39.11,39.113112121497274,39.113112121497274,39.1,39.113112121497274,39.113112121497274
4,True,True,%null%,%null%,Florida,Florida,2297,2525,5830908,%null%,39.39,39.393521557877435,39.393521557877435,39.4,39.393521557877435,39.393521557877435
5,True,True,%null%,%null%,California,California,6381,7063,15754605,%null%,40.50,40.50244357126059,40.50244357126059,40.5,40.50244357126059,40.50244357126059
6,True,True,%null%,%null%,Maryland,Maryland,278,315,684437,%null%,40.62,40.61732489622858,40.61732489622858,40.6,40.61732489622858,40.61732489622858
7,True,True,%null%,%null%,District of Columbia,District of Columbia,32,38,76919,%null%,41.60,41.60220491686059,41.60220491686059,41.6,41.60220491686059,41.60220491686059
8,True,True,%null%,%null%,Texas,Texas,5081,5549,11857401,%null%,42.85,42.85087431891694,42.85087431891694,42.9,42.85087431891694,42.85087431891694
9,True,True,%null%,%null%,Nevada,Nevada,411,444,940757,%null%,43.69,43.68822129412803,43.68822129412803,43.7,43.68822129412803,43.68822129412803
10,True,True,%null%,%null%,Louisiana,Louisiana,115,128,258338,%null%,44.52,44.5153248844537,44.5153248844537,44.5,44.5153248844537,44.5153248844537
11,True,True,%null%,%null%,South Carolina,South Carolina,150,163,330096,%null%,45.44,45.441326159662644,45.441326159662644,45.4,45.441326159662644,45.441326159662644
12,True,True,%null%,%null%,North Carolina,North Carolina,499,538,1078224,%null%,46.28,46.27980827731529,46.27980827731529,46.3,46.27980827731529,46.27980827731529
13,True,True,%null%,%null%,Illinois,Illinois,1059,1174,2282133,%null%,46.40,46.40395629877838,46.40395629877838,46.4,46.40395629877838,46.40395629877838
14,True,True,%null%,%null%,Georgia,Georgia,518,573,1104836,%null%,46.88,46.88478652035234,46.88478652035234,46.9,46.88478652035234,46.88478652035234
15,True,True,%null%,%null%,Oregon,Oregon,281,317,596517,%null%,47.11,47.10678823906108,47.10678823906108,47.1,47.10678823906108,47.10678823906108
16,True,True,%null%,%null%,Kansas,Kansas,182,198,374093,%null%,48.65,48.651003894753444,48.651003894753444,48.7,48.651003894753444,48.651003894753444
17,True,True,%null%,%null%,Nebraska,Nebraska,115,124,235669,%null%,48.80,48.797253775422305,48.797253775422305,48.8,48.797253775422305,48.797253775422305
