,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,Hawaii,Hawaii,129,140,291001,%null%,44.3,44.3297445713245,44.3297445713245,44.3,44.3297445713245,44.3297445713245
1,True,True,%null%,%null%,South Dakota,South Dakota,26,30,20807,%null%,125.0,124.95794684481184,124.95794684481184,125.0,124.95794684481184,124.95794684481184
2,True,True,%null%,%null%,Oklahoma,Oklahoma,298,310,235733,%null%,126.4,126.41420590244047,126.41420590244047,126.4,126.41420590244047,126.41420590244047
3,True,True,%null%,%null%,Alaska,Alaska,75,85,52262,%null%,143.5,143.507711147679,143.507711147679,143.5,143.507711147679,143.507711147679
4,True,True,%null%,%null%,District of Columbia,District of Columbia,25,29,16480,%null%,151.7,151.6990291262136,151.6990291262136,151.7,151.6990291262136,151.6990291262136
5,True,True,%null%,%null%,Virginia,Virginia,388,416,250775,%null%,154.7,154.72036686272557,154.72036686272557,154.7,154.72036686272557,154.72036686272557
6,True,True,%null%,%null%,Oregon,Oregon,234,251,148706,%null%,157.4,157.3574704450392,157.3574704450392,157.4,157.3574704450392,157.3574704450392
7,True,True,%null%,%null%,Washington,Washington,549,580,342530,%null%,160.3,160.27793185998306,160.27793185998306,160.3,160.27793185998306,160.27793185998306
8,True,True,%null%,%null%,Michigan,Michigan,392,430,243379,%null%,161.1,161.06566301940595,161.06566301940595,161.1,161.06566301940595,161.06566301940595
9,True,True,%null%,%null%,Maryland,Maryland,261,285,161497,%null%,161.6,161.6129092181279,161.6129092181279,161.6,161.6129092181279,161.6129092181279
10,True,True,%null%,%null%,Rhode Island,Rhode Island,40,41,24311,%null%,164.5,164.53457282711528,164.53457282711528,164.5,164.53457282711528,164.53457282711528
11,True,True,%null%,%null%,New York,New York,642,693,378698,%null%,169.5,169.52822565738398,169.52822565738398,169.5,169.52822565738398,169.52822565738398
12,True,True,%null%,%null%,Louisiana,Louisiana,131,146,74216,%null%,176.5,176.51180338471488,176.51180338471488,176.5,176.51180338471488,176.51180338471488
13,True,True,%null%,%null%,California,California,2096,2256,1170491,%null%,179.1,179.0701509024845,179.0701509024845,179.1,179.0701509024845,179.0701509024845
14,True,True,%null%,%null%,Montana,Montana,52,56,28810,%null%,180.5,180.49288441513363,180.49288441513363,180.5,180.49288441513363,180.49288441513363
15,True,True,%null%,%null%,North Carolina,North Carolina,409,433,225732,%null%,181.2,181.18831180337747,181.18831180337747,181.2,181.18831180337747,181.18831180337747
16,True,True,%null%,%null%,Missouri,Missouri,269,284,143689,%null%,187.2,187.20987688688766,187.20987688688766,187.2,187.20987688688766,187.20987688688766
17,True,True,%null%,%null%,Utah,Utah,143,146,76033,%null%,188.1,188.07623005800113,188.07623005800113,188.1,188.07623005800113,188.07623005800113
18,True,True,%null%,%null%,New Jersey,New Jersey,287,311,152237,%null%,188.5,188.52184422972076,188.52184422972076,188.5,188.52184422972076,188.52184422972076
19,True,True,%null%,%null%,Minnesota,Minnesota,265,278,139747,%null%,189.6,189.62839989409434,189.62839989409434,189.6,189.62839989409434,189.62839989409434
20,True,True,%null%,%null%,North Dakota,North Dakota,32,35,16837,%null%,190.1,190.05761121339907,190.05761121339907,190.1,190.05761121339907,190.05761121339907
21,True,True,%null%,%null%,Wisconsin,Wisconsin,209,222,109888,%null%,190.2,190.193651718113,190.193651718113,190.2,190.193651718113,190.193651718113
22,True,True,%null%,%null%,South Carolina,South Carolina,188,199,98263,%null%,191.3,191.3232854685894,191.3232854685894,191.3,191.3232854685894,191.3232854685894
23,True,True,%null%,%null%,Massachusetts,Massachusetts,264,289,137083,%null%,192.6,192.58405491563505,192.58405491563505,192.6,192.58405491563505,192.58405491563505
24,True,True,%null%,%null%,Nevada,Nevada,229,250,118795,%null%,192.8,192.76905593669767,192.76905593669767,192.8,192.76905593669767,192.76905593669767
25,True,True,%null%,%null%,Alabama,Alabama,166,176,86070,%null%,192.9,192.8662716393633,192.8662716393633,192.9,192.8662716393633,192.8662716393633
26,True,True,%null%,%null%,Vermont,Vermont,24,25,12316,%null%,194.9,194.8684637869438,194.8684637869438,194.9,194.8684637869438,194.8684637869438
27,True,True,%null%,%null%,Ohio,Ohio,535,575,274463,%null%,194.9,194.92609204155022,194.92609204155022,194.9,194.92609204155022,194.92609204155022
28,True,True,%null%,%null%,Tennessee,Tennessee,263,274,134263,%null%,195.9,195.88419743339566,195.88419743339566,195.9,195.88419743339566,195.88419743339566
29,True,True,%null%,%null%,Illinois,Illinois,440,474,224432,%null%,196.1,196.0504740856919,196.0504740856919,196.1,196.0504740856919,196.0504740856919
30,True,True,%null%,%null%,Kentucky,Kentucky,178,196,90573,%null%,196.5,196.52655868746754,196.52655868746754,196.5,196.52655868746754,196.52655868746754
31,True,True,%null%,%null%,Georgia,Georgia,429,461,217873,%null%,196.9,196.90370077981208,196.90370077981208,196.9,196.90370077981208,196.90370077981208
32,True,True,%null%,%null%,Pennsylvania,Pennsylvania,473,505,238808,%null%,198.1,198.06706642993532,198.06706642993532,198.1,198.06706642993532,198.06706642993532
33,True,True,%null%,%null%,Nebraska,Nebraska,82,89,40407,%null%,202.9,202.93513500136115,202.93513500136115,202.9,202.93513500136115,202.93513500136115
34,True,True,%null%,%null%,New Hampshire,New Hampshire,47,50,22716,%null%,206.9,206.90262370135588,206.90262370135588,206.9,206.90262370135588,206.90262370135588
35,True,True,%null%,%null%,Florida,Florida,813,864,390375,%null%,208.3,208.26128722382325,208.26128722382325,208.3,208.26128722382325,208.26128722382325
36,True,True,%null%,%null%,Kansas,Kansas,178,188,81605,%null%,218.1,218.12388946755712,218.12388946755712,218.1,218.12388946755712,218.12388946755712
37,True,True,%null%,%null%,Connecticut,Connecticut,155,169,68017,%null%,227.9,227.88420541923344,227.88420541923344,227.9,227.88420541923344,227.88420541923344
38,True,True,%null%,%null%,Iowa,Iowa,136,141,59427,%null%,228.9,228.85220522658054,228.85220522658054,228.9,228.85220522658054,228.85220522658054
39,True,True,%null%,%null%,Delaware,Delaware,58,61,25193,%null%,230.2,230.22268090342556,230.22268090342556,230.2,230.22268090342556,230.22268090342556
40,True,True,%null%,%null%,West Virginia,West Virginia,79,84,33519,%null%,235.7,235.6872221724992,235.6872221724992,235.7,235.6872221724992,235.6872221724992
41,True,True,%null%,%null%,Mississippi,Mississippi,90,92,37834,%null%,237.9,237.8812708146112,237.8812708146112,237.9,237.8812708146112,237.8812708146112
42,True,True,%null%,%null%,Indiana,Indiana,336,356,139946,%null%,240.1,240.09260714847156,240.09260714847156,240.1,240.09260714847156,240.09260714847156
43,True,True,%null%,%null%,Idaho,Idaho,101,103,41056,%null%,246.0,246.00545596258772,246.00545596258772,246.0,246.00545596258772,246.00545596258772
44,True,True,%null%,%null%,Arkansas,Arkansas,157,173,63545,%null%,247.1,247.06900621606735,247.06900621606735,247.1,247.06900621606735,247.06900621606735
