,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%null%,%null%,New Jersey,New Jersey,2245,2475,4960795,%null%,45.25,45.25484322573298,45.25484322573298,45.3,45.25484322573298,45.25484322573298
1,True,True,%null%,%null%,New York,New York,5632,6178,10858889,%null%,51.87,51.86534276204499,51.86534276204499,51.9,51.86534276204499,51.86534276204499
2,True,True,%null%,%null%,Massachusetts,Massachusetts,2678,2919,4894728,%null%,54.71,54.71192679143764,54.71192679143764,54.7,54.71192679143764,54.71192679143764
3,True,True,%null%,%null%,Rhode Island,Rhode Island,423,448,771405,%null%,54.84,54.83500884749256,54.83500884749256,54.8,54.83500884749256,54.83500884749256
4,True,True,%null%,%null%,Connecticut,Connecticut,1349,1492,2330326,%null%,57.89,57.88889623168604,57.88889623168604,57.9,57.88889623168604,57.88889623168604
5,True,True,%null%,%null%,California,California,8381,9197,13815325,%null%,60.66,60.66451567371741,60.66451567371741,60.7,60.66451567371741,60.66451567371741
6,True,True,%null%,%null%,Maryland,Maryland,1840,2005,3020582,%null%,60.92,60.91541298994697,60.91541298994697,60.9,60.91541298994697,60.91541298994697
7,True,True,%null%,%null%,Florida,Florida,7254,7876,11467951,%null%,63.25,63.254543030398374,63.254543030398374,63.3,63.254543030398374,63.254543030398374
8,True,True,%null%,%null%,Illinois,Illinois,4891,5359,7597266,%null%,64.38,64.378422448286,64.378422448286,64.4,64.378422448286,64.378422448286
9,True,True,%null%,%null%,Louisiana,Louisiana,1751,1893,2676273,%null%,65.43,65.42680810216297,65.42680810216297,65.4,65.42680810216297,65.42680810216297
10,True,True,%null%,%null%,Wisconsin,Wisconsin,3141,3477,4727246,%null%,66.44,66.44460643681332,66.44460643681332,66.4,66.44460643681332,66.44460643681332
11,True,True,%null%,%null%,District of Columbia,District of Columbia,169,197,249751,%null%,67.67,67.66739672714023,67.66739672714023,67.7,67.66739672714023,67.66739672714023
12,True,True,%null%,%null%,Vermont,Vermont,405,449,595151,%null%,68.05,68.04995706971843,68.04995706971843,68.0,68.04995706971843,68.04995706971843
13,True,True,%null%,%null%,Pennsylvania,Pennsylvania,6690,7306,9701126,%null%,68.96,68.9610669936665,68.9610669936665,69.0,68.9610669936665,68.9610669936665
14,True,True,%null%,%null%,North Carolina,North Carolina,4592,5008,6528578,%null%,70.34,70.33690950770597,70.33690950770597,70.3,70.33690950770597,70.33690950770597
15,True,True,%null%,%null%,Michigan,Michigan,5315,5816,7462582,%null%,71.22,71.22199796263544,71.22199796263544,71.2,71.22199796263544,71.22199796263544
16,True,True,%null%,%null%,Nevada,Nevada,1048,1133,1464563,%null%,71.56,71.55718122060983,71.55718122060983,71.6,71.55718122060983,71.55718122060983
17,True,True,%null%,%null%,Nebraska,Nebraska,1089,1187,1519341,%null%,71.68,71.67581207905269,71.67581207905269,71.7,71.67581207905269,71.67581207905269
18,True,True,%null%,%null%,New Hampshire,New Hampshire,889,960,1238184,%null%,71.80,71.79869873944422,71.79869873944422,71.8,71.79869873944422,71.79869873944422
19,True,True,%null%,%null%,North Dakota,North Dakota,468,515,644623,%null%,72.60,72.60057428915816,72.60057428915816,72.6,72.60057428915816,72.60057428915816
20,True,True,%null%,%null%,Idaho,Idaho,1121,1227,1541463,%null%,72.72,72.72312082742174,72.72312082742174,72.7,72.72312082742174,72.72312082742174
21,True,True,%null%,%null%,New Mexico,New Mexico,554,602,759740,%null%,72.92,72.91968304946428,72.91968304946428,72.9,72.91968304946428,72.91968304946428
22,True,True,%null%,%null%,Minnesota,Minnesota,3315,3613,4458035,%null%,74.36,74.36011606010271,74.36011606010271,74.4,74.36011606010271,74.36011606010271
23,True,True,%null%,%null%,South Carolina,South Carolina,2449,2635,3290272,%null%,74.43,74.43153635930403,74.43153635930403,74.4,74.43153635930403,74.43153635930403
24,True,True,%null%,%null%,Montana,Montana,703,753,943656,%null%,74.50,74.49748637215257,74.49748637215257,74.5,74.49748637215257,74.49748637215257
25,True,True,%null%,%null%,Texas,Texas,8864,9618,11885058,%null%,74.58,74.58104116950881,74.58104116950881,74.6,74.58104116950881,74.58104116950881
26,True,True,%null%,%null%,Arizona,Arizona,2947,3231,3872615,%null%,76.10,76.09845027197385,76.09845027197385,76.1,76.09845027197385,76.09845027197385
27,True,True,%null%,%null%,Virginia,Virginia,3972,4322,5213717,%null%,76.18,76.18365170184727,76.18365170184727,76.2,76.18365170184727,76.18365170184727
28,True,True,%null%,%null%,South Dakota,South Dakota,555,604,723678,%null%,76.69,76.69156724399525,76.69156724399525,76.7,76.69156724399525,76.69156724399525
29,True,True,%null%,%null%,Georgia,Georgia,4266,4591,5510193,%null%,77.42,77.42015570053535,77.42015570053535,77.4,77.42015570053535,77.42015570053535
30,True,True,%null%,%null%,Washington,Washington,4070,4387,5111255,%null%,79.63,79.62819307586885,79.62819307586885,79.6,79.62819307586885,79.62819307586885
31,True,True,%null%,%null%,Maine,Maine,1023,1122,1269535,%null%,80.58,80.58068505397645,80.58068505397645,80.6,80.58068505397645,80.58068505397645
32,True,True,%null%,%null%,Iowa,Iowa,2171,2355,2685614,%null%,80.84,80.83812491296217,80.83812491296217,80.8,80.83812491296217,80.83812491296217
33,True,True,%null%,%null%,Missouri,Missouri,3975,4303,4854359,%null%,81.89,81.88516753705278,81.88516753705278,81.9,81.88516753705278,81.88516753705278
34,True,True,%null%,%null%,Kansas,Kansas,1808,1957,2192217,%null%,82.47,82.47358724067918,82.47358724067918,82.5,82.47358724067918,82.47358724067918
35,True,True,%null%,%null%,Wyoming,Wyoming,399,434,482320,%null%,82.73,82.72516171836126,82.72516171836126,82.7,82.72516171836126,82.72516171836126
36,True,True,%null%,%null%,Alabama,Alabama,2708,2936,3269726,%null%,82.82,82.82039534811175,82.82039534811175,82.8,82.82039534811175,82.82039534811175
37,True,True,%null%,%null%,Oregon,Oregon,2617,2848,3148080,%null%,83.13,83.13003481487128,83.13003481487128,83.1,83.13003481487128,83.13003481487128
38,True,True,%null%,%null%,Hawaii,Hawaii,260,285,308195,%null%,84.36,84.36217329937215,84.36217329937215,84.4,84.36217329937215,84.36217329937215
39,True,True,%null%,%null%,Ohio,Ohio,7746,8391,9149813,%null%,84.66,84.65746786300441,84.65746786300441,84.7,84.65746786300441,84.65746786300441
40,True,True,%null%,%null%,Delaware,Delaware,516,557,608053,%null%,84.86,84.86102362787454,84.86102362787454,84.9,84.86102362787454,84.86102362787454
41,True,True,%null%,%null%,Colorado,Colorado,3323,3634,3893018,%null%,85.36,85.35794080582211,85.35794080582211,85.4,85.35794080582211,85.35794080582211
42,True,True,%null%,%null%,Utah,Utah,2220,2421,2577888,%null%,86.12,86.1170074107176,86.1170074107176,86.1,86.1170074107176,86.1170074107176
43,True,True,%null%,%null%,Tennessee,Tennessee,4653,4990,5097174,%null%,91.29,91.2858772331492,91.2858772331492,91.3,91.2858772331492,91.2858772331492
44,True,True,%null%,%null%,Kentucky,Kentucky,3519,3780,3765843,%null%,93.45,93.44521266553068,93.44521266553068,93.4,93.44521266553068,93.44521266553068
45,True,True,%null%,%null%,Indiana,Indiana,5147,5547,5276416,%null%,97.55,97.54727451360924,97.54727451360924,97.5,97.54727451360924,97.54727451360924
46,True,True,%null%,%null%,West Virginia,West Virginia,1594,1694,1632071,%null%,97.67,97.66731962028612,97.66731962028612,97.7,97.66731962028612,97.66731962028612
47,True,True,%null%,%null%,Oklahoma,Oklahoma,2553,2756,2544785,%null%,100.32,100.32281705527186,100.32281705527186,100.3,100.32281705527186,100.32281705527186
48,True,True,%null%,%null%,Mississippi,Mississippi,1887,2017,1652517,%null%,114.19,114.18944555487175,114.18944555487175,114.2,114.18944555487175,114.18944555487175
49,True,True,%null%,%null%,Arkansas,Arkansas,2510,2674,2156694,%null%,116.38,116.38183256410042,116.38183256410042,116.4,116.38183256410042,116.38183256410042
50,True,True,%null%,%null%,Alaska,Alaska,566,616,434746,%null%,130.19,130.19096207900705,130.19096207900705,130.2,130.19096207900705,130.19096207900705
