,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,False,False,%null%,%null%,New Jersey,New Jersey,4308,4777,9267130,%null%,46.49,46.48688428887908,46.48688428887908,46.5,46.48688428887908,46.48688428887908
1,False,False,%null%,%null%,New York,New York,10289,11349,19835913,%null%,51.87,51.87056426391868,51.87056426391868,51.9,51.87056426391868,51.87056426391868
2,False,False,%null%,%null%,California,California,21967,24318,39237836,%null%,55.98,55.98422909968838,55.98422909968838,56.0,55.98422909968838,55.98422909968838
3,False,False,%null%,%null%,Rhode Island,Rhode Island,615,664,1095610,%null%,56.13,56.133113060304304,56.133113060304304,56.1,56.133113060304304,56.133113060304304
4,False,False,%null%,%null%,Louisiana,Louisiana,2607,2867,4624047,%null%,56.38,56.37918472714485,56.37918472714485,56.4,56.37918472714485,56.37918472714485
5,False,False,%null%,%null%,Maryland,Maryland,3510,3881,6165129,%null%,56.93,56.93311526814767,56.93311526814767,56.9,56.93311526814767,56.93311526814767
6,False,False,%null%,%null%,Massachusetts,Massachusetts,4022,4401,6984723,%null%,57.58,57.582813233967904,57.582813233967904,57.6,57.582813233967904,57.582813233967904
7,False,False,%null%,%null%,Florida,Florida,12672,13853,21781128,%null%,58.18,58.17880506464128,58.17880506464128,58.2,58.17880506464128,58.17880506464128
8,False,False,%null%,%null%,Hawaii,Hawaii,860,948,1441553,%null%,59.66,59.65788285272897,59.65788285272897,59.7,59.65788285272897,59.65788285272897
9,False,False,%null%,%null%,Illinois,Illinois,7862,8629,12671469,%null%,62.04,62.04489787253553,62.04489787253553,62.0,62.04489787253553,62.04489787253553
10,False,False,%null%,%null%,Texas,Texas,18432,20058,29527941,%null%,62.42,62.42223255593744,62.42223255593744,62.4,62.42223255593744,62.42223255593744
11,False,False,%null%,%null%,District of Columbia,District of Columbia,421,480,670050,%null%,62.83,62.83113200507425,62.83113200507425,62.8,62.83113200507425,62.83113200507425
12,False,False,%null%,%null%,Connecticut,Connecticut,2284,2534,3605597,%null%,63.35,63.34595907418383,63.34595907418383,63.3,63.34595907418383,63.34595907418383
13,False,False,%null%,%null%,North Carolina,North Carolina,6898,7502,10551162,%null%,65.38,65.37668552525304,65.37668552525304,65.4,65.37668552525304,65.37668552525304
14,False,False,%null%,%null%,New Mexico,New Mexico,1398,1524,2115877,%null%,66.07,66.07189359305858,66.07189359305858,66.1,66.07189359305858,66.07189359305858
15,False,False,%null%,%null%,Georgia,Georgia,7137,7783,10799566,%null%,66.09,66.08598901103989,66.08598901103989,66.1,66.08598901103989,66.08598901103989
16,False,False,%null%,%null%,Nevada,Nevada,2112,2300,3143991,%null%,67.18,67.17576481612066,67.17576481612066,67.2,67.17576481612066,67.17576481612066
17,False,False,%null%,%null%,South Carolina,South Carolina,3493,3776,5190705,%null%,67.29,67.29336381088889,67.29336381088889,67.3,67.29336381088889,67.29336381088889
18,False,False,%null%,%null%,Pennsylvania,Pennsylvania,9054,9888,12964056,%null%,69.84,69.83925401124462,69.83925401124462,69.8,69.83925401124462,69.83925401124462
19,False,False,%null%,%null%,Wisconsin,Wisconsin,4145,4564,5895908,%null%,70.30,70.30299658678528,70.30299658678528,70.3,70.30299658678528,70.30299658678528
20,False,False,%null%,%null%,Virginia,Virginia,6173,6720,8642274,%null%,71.43,71.42795981705741,71.42795981705741,71.4,71.42795981705741,71.42795981705741
21,False,False,%null%,%null%,Michigan,Michigan,7346,8055,10050811,%null%,73.09,73.08862936533181,73.08862936533181,73.1,73.08862936533181,73.08862936533181
22,False,False,%null%,%null%,Nebraska,Nebraska,1455,1587,1963692,%null%,74.10,74.09512286040786,74.09512286040786,74.1,74.09512286040786,74.09512286040786
23,False,False,%null%,%null%,Arizona,Arizona,5458,5997,7276316,%null%,75.01,75.01048607564597,75.01048607564597,75.0,75.01048607564597,75.01048607564597
24,False,False,%null%,%null%,Alabama,Alabama,3797,4162,5039877,%null%,75.34,75.3391402210808,75.3391402210808,75.3,75.3391402210808,75.3391402210808
25,False,False,%null%,%null%,New Hampshire,New Hampshire,1058,1142,1388992,%null%,76.17,76.17034511357876,76.17034511357876,76.2,76.17034511357876,76.17034511357876
26,False,False,%null%,%null%,Vermont,Vermont,505,564,645570,%null%,78.23,78.22544418111127,78.22544418111127,78.2,78.22544418111127,78.22544418111127
27,False,False,%null%,%null%,Minnesota,Minnesota,4543,4939,5707390,%null%,79.60,79.59855555691831,79.59855555691831,79.6,79.59855555691831,79.59855555691831
28,False,False,%null%,%null%,Idaho,Idaho,1524,1657,1900923,%null%,80.17,80.17157980623098,80.17157980623098,80.2,80.17157980623098,80.17157980623098
29,False,False,%null%,%null%,Washington,Washington,6218,6724,7738692,%null%,80.35,80.34949575457972,80.34949575457972,80.3,80.34949575457972,80.34949575457972
30,False,False,%null%,%null%,North Dakota,North Dakota,633,700,774948,%null%,81.68,81.68290001393642,81.68290001393642,81.7,81.68290001393642,81.68290001393642
31,False,False,%null%,%null%,Missouri,Missouri,5132,5552,6168187,%null%,83.20,83.201109175192,83.201109175192,83.2,83.201109175192,83.201109175192
32,False,False,%null%,%null%,Montana,Montana,929,998,1104271,%null%,84.13,84.12789976373553,84.12789976373553,84.1,84.12789976373553,84.12789976373553
33,False,False,%null%,%null%,Delaware,Delaware,852,922,1003384,%null%,84.91,84.91265557353914,84.91265557353914,84.9,84.91265557353914,84.91265557353914
34,False,False,%null%,%null%,Kansas,Kansas,2493,2688,2934582,%null%,84.95,84.95247364019816,84.95247364019816,85.0,84.95247364019816,84.95247364019816
35,False,False,%null%,%null%,Iowa,Iowa,2713,2942,3193079,%null%,84.97,84.96501339302911,84.96501339302911,85.0,84.96501339302911,84.96501339302911
36,False,False,%null%,%null%,Tennessee,Tennessee,5933,6373,6975218,%null%,85.06,85.05827344751089,85.05827344751089,85.1,85.05827344751089,85.05827344751089
37,False,False,%null%,%null%,Oregon,Oregon,3626,3954,4246155,%null%,85.39,85.39490433109484,85.39490433109484,85.4,85.39490433109484,85.39490433109484
38,False,False,%null%,%null%,Ohio,Ohio,10103,10928,11780017,%null%,85.76,85.7638830232588,85.7638830232588,85.8,85.7638830232588,85.7638830232588
39,False,False,%null%,%null%,Mississippi,Mississippi,2562,2753,2949965,%null%,86.85,86.84848803290888,86.84848803290888,86.8,86.84848803290888,86.84848803290888
40,False,False,%null%,%null%,Utah,Utah,2933,3198,3337975,%null%,87.87,87.86764430530486,87.86764430530486,87.9,87.86764430530486,87.86764430530486
41,False,False,%null%,%null%,South Dakota,South Dakota,788,850,895376,%null%,88.01,88.0077196619074,88.0077196619074,88.0,88.0077196619074,88.0077196619074
42,False,False,%null%,%null%,Colorado,Colorado,5245,5749,5812069,%null%,90.24,90.24325072534411,90.24325072534411,90.2,90.24325072534411,90.24325072534411
43,False,False,%null%,%null%,Maine,Maine,1243,1366,1372247,%null%,90.58,90.58136035276449,90.58136035276449,90.6,90.58136035276449,90.58136035276449
44,False,False,%null%,%null%,Wyoming,Wyoming,532,585,578803,%null%,91.91,91.91382905755499,91.91382905755499,91.9,91.91382905755499,91.91382905755499
45,False,False,%null%,%null%,Kentucky,Kentucky,4248,4571,4509394,%null%,94.20,94.20334528320214,94.20334528320214,94.2,94.20334528320214,94.20334528320214
46,False,False,%null%,%null%,Indiana,Indiana,6663,7189,6805985,%null%,97.90,97.89912848764727,97.89912848764727,97.9,97.89912848764727,97.89912848764727
47,False,False,%null%,%null%,Oklahoma,Oklahoma,3972,4265,3986639,%null%,99.63,99.63279845503945,99.63279845503945,99.6,99.63279845503945,99.63279845503945
48,False,False,%null%,%null%,West Virginia,West Virginia,1836,1959,1782959,%null%,102.97,102.9748861303036,102.9748861303036,103.0,102.9748861303036,102.9748861303036
49,False,False,%null%,%null%,Arkansas,Arkansas,3335,3575,3025891,%null%,110.22,110.21547041846517,110.21547041846517,110.2,110.21547041846517,110.21547041846517
50,False,False,%null%,%null%,Alaska,Alaska,1027,1135,732673,%null%,140.17,140.17167276534005,140.17167276534005,140.2,140.17167276534005,140.17167276534005
