,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,District of Columbia,District of Columbia,26,32,295889,%,8.79,0.8125,0.8125,81.25,0.8125,0.8125
1,True,True,%,%,Michigan,Michigan,108,128,1383769,%,7.80,0.84375,0.84375,84.38,0.84375,0.84375
2,True,True,%,%,Arizona,Arizona,45,53,339424,%,13.26,0.8490566037735849,0.8490566037735849,84.91,0.8490566037735849,0.8490566037735849
3,True,True,%,%,Arkansas,Arkansas,36,42,466227,%,7.72,0.8571428571428571,0.8571428571428571,85.71,0.8571428571428571,0.8571428571428571
4,True,True,%,%,Connecticut,Connecticut,33,38,382977,%,8.62,0.8684210526315791,0.8684210526315791,86.84,0.8684210526315791,0.8684210526315791
5,True,True,%,%,South Carolina,South Carolina,76,87,1352562,%,5.62,0.8735632183908046,0.8735632183908046,87.36,0.8735632183908046,0.8735632183908046
6,True,True,%,%,Nebraska,Nebraska,16,18,97729,%,16.37,0.8888888888888888,0.8888888888888888,88.89,0.8888888888888888,0.8888888888888888
7,True,True,%,%,Georgia,Georgia,254,285,3451256,%,7.36,0.8912280701754386,0.8912280701754386,89.12,0.8912280701754386,0.8912280701754386
8,True,True,%,%,Maryland,Maryland,166,186,1862521,%,8.91,0.8924731182795699,0.8924731182795699,89.25,0.8924731182795699,0.8924731182795699
9,True,True,%,%,Illinois,Illinois,135,151,1791229,%,7.54,0.8940397350993378,0.8940397350993378,89.40,0.8940397350993378,0.8940397350993378
10,True,True,%,%,Virginia,Virginia,119,133,1657724,%,7.18,0.8947368421052632,0.8947368421052632,89.47,0.8947368421052632,0.8947368421052632
11,True,True,%,%,New Jersey,New Jersey,111,124,1205848,%,9.21,0.8951612903225806,0.8951612903225806,89.52,0.8951612903225806,0.8951612903225806
12,True,True,%,%,New York,New York,193,215,2857575,%,6.75,0.8976744186046512,0.8976744186046512,89.77,0.8976744186046512,0.8976744186046512
13,True,True,%,%,West Virginia,West Virginia,9,10,64063,%,14.05,0.9,0.9,90.00,0.9,0.9
14,True,True,%,%,New Mexico,New Mexico,9,10,41152,%,21.87,0.9,0.9,90.00,0.9,0.9
15,True,True,%,%,Texas,Texas,298,331,3630643,%,8.21,0.9003021148036254,0.9003021148036254,90.03,0.9003021148036254,0.9003021148036254
16,True,True,%,%,Florida,Florida,249,276,3386309,%,7.35,0.9021739130434783,0.9021739130434783,90.22,0.9021739130434783,0.9021739130434783
17,True,True,%,%,Mississippi,Mississippi,56,62,1107951,%,5.05,0.9032258064516128,0.9032258064516128,90.32,0.9032258064516128,0.9032258064516128
18,True,True,%,%,Nevada,Nevada,28,31,301273,%,9.29,0.9032258064516128,0.9032258064516128,90.32,0.9032258064516128,0.9032258064516128
19,True,True,%,%,Missouri,Missouri,75,82,711459,%,10.54,0.9146341463414636,0.9146341463414636,91.46,0.9146341463414636,0.9146341463414636
20,True,True,%,%,Minnesota,Minnesota,44,48,409602,%,10.74,0.9166666666666665,0.9166666666666665,91.67,0.9166666666666665,0.9166666666666665
21,True,True,%,%,Louisiana,Louisiana,67,73,1499002,%,4.47,0.9178082191780822,0.9178082191780822,91.78,0.9178082191780822,0.9178082191780822
