,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Alaska,Alaska,374,418,732673,%,51.05,0.8947368421052632,0.8947368421052632,89.47,0.8947368421052632,0.8947368421052632
1,True,True,%,%,Connecticut,Connecticut,720,804,3605597,%,19.97,0.8955223880597016,0.8955223880597016,89.55,0.8955223880597016,0.8955223880597016
2,True,True,%,%,North Dakota,North Dakota,208,232,774948,%,26.84,0.896551724137931,0.896551724137931,89.66,0.896551724137931,0.896551724137931
3,True,True,%,%,New Jersey,New Jersey,1416,1578,9267130,%,15.28,0.8973384030418251,0.8973384030418251,89.73,0.8973384030418251,0.8973384030418251
4,True,True,%,%,Alabama,Alabama,1226,1361,5039877,%,24.33,0.9008082292432035,0.9008082292432035,90.08,0.9008082292432035,0.9008082292432035
5,True,True,%,%,Maine,Maine,397,440,1372247,%,28.93,0.9022727272727272,0.9022727272727272,90.23,0.9022727272727272,0.9022727272727272
6,True,True,%,%,Rhode Island,Rhode Island,213,236,1095610,%,19.44,0.902542372881356,0.902542372881356,90.25,0.902542372881356,0.902542372881356
7,True,True,%,%,Maryland,Maryland,1062,1174,6165129,%,17.23,0.9045996592844975,0.9045996592844975,90.46,0.9045996592844975,0.9045996592844975
8,True,True,%,%,California,California,7037,7768,39237836,%,17.93,0.9058959835221421,0.9058959835221421,90.59,0.9058959835221421,0.9058959835221421
9,True,True,%,%,Hawaii,Hawaii,274,302,1441553,%,19.01,0.9072847682119205,0.9072847682119205,90.73,0.9072847682119205,0.9072847682119205
10,True,True,%,%,Vermont,Vermont,158,174,645570,%,24.47,0.9080459770114943,0.9080459770114943,90.80,0.9080459770114943,0.9080459770114943
11,True,True,%,%,Illinois,Illinois,2597,2859,12671469,%,20.49,0.9083595662819166,0.9083595662819166,90.84,0.9083595662819166,0.9083595662819166
12,True,True,%,%,New York,New York,3540,3891,19835913,%,17.85,0.9097918272937549,0.9097918272937549,90.98,0.9097918272937549,0.9097918272937549
13,True,True,%,%,Wyoming,Wyoming,174,191,578803,%,30.06,0.9109947643979057,0.9109947643979057,91.10,0.9109947643979057,0.9109947643979057
14,True,True,%,%,Louisiana,Louisiana,850,932,4624047,%,18.38,0.9120171673819742,0.9120171673819742,91.20,0.9120171673819742,0.9120171673819742
15,True,True,%,%,Pennsylvania,Pennsylvania,2923,3204,12964056,%,22.55,0.9122971285892634,0.9122971285892634,91.23,0.9122971285892634,0.9122971285892634
16,True,True,%,%,Massachusetts,Massachusetts,1356,1485,6984723,%,19.41,0.9131313131313131,0.9131313131313131,91.31,0.9131313131313131,0.9131313131313131
17,True,True,%,%,North Carolina,North Carolina,2181,2387,10551162,%,20.67,0.9136992040217846,0.9136992040217846,91.37,0.9136992040217846,0.9136992040217846
18,True,True,%,%,District of Columbia,District of Columbia,153,167,670050,%,22.83,0.9161676646706587,0.9161676646706587,91.62,0.9161676646706587,0.9161676646706587
