,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Vermont,Vermont,11,14,2082,%,528.3,0.7857142857142858,0.7857142857142858,78.57,0.7857142857142858,0.7857142857142858
1,True,True,%,%,Nevada,Nevada,10,12,26502,%,37.7,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
2,True,True,%,%,Wyoming,Wyoming,11,13,12146,%,90.6,0.846153846153846,0.846153846153846,84.62,0.846153846153846,0.846153846153846
3,True,True,%,%,Alabama,Alabama,23,27,28165,%,81.7,0.8518518518518519,0.8518518518518519,85.19,0.8518518518518519,0.8518518518518519
4,True,True,%,%,Nebraska,Nebraska,12,14,16418,%,73.1,0.8571428571428571,0.8571428571428571,85.71,0.8571428571428571,0.8571428571428571
5,True,True,%,%,Delaware,Delaware,6,7,3033,%,197.8,0.8571428571428571,0.8571428571428571,85.71,0.8571428571428571,0.8571428571428571
6,True,True,%,%,Pennsylvania,Pennsylvania,32,37,19021,%,168.2,0.8648648648648649,0.8648648648648649,86.49,0.8648648648648649,0.8648648648648649
7,True,True,%,%,Oregon,Oregon,40,46,46873,%,85.3,0.8695652173913043,0.8695652173913043,86.96,0.8695652173913043,0.8695652173913043
8,True,True,%,%,West Virginia,West Virginia,7,8,3860,%,181.3,0.875,0.875,87.50,0.875,0.875
9,True,True,%,%,Massachusetts,Massachusetts,17,19,12835,%,132.5,0.8947368421052632,0.8947368421052632,89.47,0.8947368421052632,0.8947368421052632
10,True,True,%,%,Arizona,Arizona,60,67,279130,%,21.5,0.8955223880597016,0.8955223880597016,89.55,0.8955223880597016,0.8955223880597016
