,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Arkansas,Arkansas,13,19,64245,%,20.24,0.6842105263157895,0.6842105263157895,68.42,0.6842105263157895,0.6842105263157895
1,True,True,%,%,Iowa,Iowa,16,23,91780,%,17.43,0.6956521739130435,0.6956521739130435,69.57,0.6956521739130435,0.6956521739130435
2,True,True,%,%,Nebraska,Nebraska,7,10,54128,%,12.93,0.7,0.7,70.00,0.7,0.7
3,True,True,%,%,Kentucky,Kentucky,11,14,78406,%,14.03,0.7857142857142858,0.7857142857142858,78.57,0.7857142857142858,0.7857142857142858
4,True,True,%,%,Missouri,Missouri,27,34,144420,%,18.70,0.7941176470588235,0.7941176470588235,79.41,0.7941176470588235,0.7941176470588235
5,True,True,%,%,Maryland,Maryland,47,58,421227,%,11.16,0.8103448275862069,0.8103448275862069,81.03,0.8103448275862069,0.8103448275862069
6,True,True,%,%,Alabama,Alabama,22,27,78576,%,28.00,0.8148148148148148,0.8148148148148148,81.48,0.8148148148148148,0.8148148148148148
7,True,True,%,%,Wisconsin,Wisconsin,32,39,185474,%,17.25,0.8205128205128205,0.8205128205128205,82.05,0.8205128205128205,0.8205128205128205
8,True,True,%,%,Utah,Utah,30,36,119717,%,25.06,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
9,True,True,%,%,New Mexico,New Mexico,5,6,35760,%,13.98,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
10,True,True,%,%,New Jersey,New Jersey,73,87,942292,%,7.75,0.8390804597701149,0.8390804597701149,83.91,0.8390804597701149,0.8390804597701149
11,True,True,%,%,Louisiana,Louisiana,16,19,85860,%,18.63,0.8421052631578947,0.8421052631578947,84.21,0.8421052631578947,0.8421052631578947
12,True,True,%,%,Illinois,Illinois,83,98,756590,%,10.97,0.8469387755102041,0.8469387755102041,84.69,0.8469387755102041,0.8469387755102041
13,True,True,%,%,Connecticut,Connecticut,39,46,179054,%,21.78,0.8478260869565217,0.8478260869565217,84.78,0.8478260869565217,0.8478260869565217
14,True,True,%,%,New Hampshire,New Hampshire,6,7,42740,%,14.04,0.8571428571428571,0.8571428571428571,85.71,0.8571428571428571,0.8571428571428571
15,True,True,%,%,Nevada,Nevada,49,57,292101,%,16.78,0.8596491228070176,0.8596491228070176,85.96,0.8596491228070176,0.8596491228070176
16,True,True,%,%,Oregon,Oregon,31,36,221414,%,14.00,0.8611111111111112,0.8611111111111112,86.11,0.8611111111111112,0.8611111111111112
17,True,True,%,%,Florida,Florida,120,139,650132,%,18.46,0.8633093525179856,0.8633093525179856,86.33,0.8633093525179856,0.8633093525179856
18,True,True,%,%,South Carolina,South Carolina,19,22,100149,%,18.97,0.8636363636363636,0.8636363636363636,86.36,0.8636363636363636,0.8636363636363636
19,True,True,%,%,Washington,Washington,129,149,813284,%,15.86,0.865771812080537,0.865771812080537,86.58,0.865771812080537,0.865771812080537
20,True,True,%,%,Pennsylvania,Pennsylvania,67,77,503783,%,13.30,0.8701298701298701,0.8701298701298701,87.01,0.8701298701298701,0.8701298701298701
21,True,True,%,%,California,California,675,774,6136428,%,11.00,0.872093023255814,0.872093023255814,87.21,0.872093023255814,0.872093023255814
22,True,True,%,%,Massachusetts,Massachusetts,55,63,520119,%,10.57,0.8730158730158729,0.8730158730158729,87.30,0.8730158730158729,0.8730158730158729
23,True,True,%,%,Indiana,Indiana,64,73,183573,%,34.86,0.8767123287671232,0.8767123287671232,87.67,0.8767123287671232,0.8767123287671232
24,True,True,%,%,Colorado,Colorado,54,61,206559,%,26.14,0.8852459016393444,0.8852459016393444,88.52,0.8852459016393444,0.8852459016393444
25,True,True,%,%,Virginia,Virginia,85,96,614516,%,13.83,0.8854166666666665,0.8854166666666665,88.54,0.8854166666666665,0.8854166666666665
26,True,True,%,%,Michigan,Michigan,63,71,341843,%,18.43,0.8873239436619719,0.8873239436619719,88.73,0.8873239436619719,0.8873239436619719
