,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Alaska,Alaska,15,20,54732,%,27.41,0.75,0.75,75.00,0.75,0.75
1,True,True,%,%,Vermont,Vermont,6,8,14384,%,41.71,0.75,0.75,75.00,0.75,0.75
2,True,True,%,%,Hawaii,Hawaii,18,23,160134,%,11.24,0.782608695652174,0.782608695652174,78.26,0.782608695652174,0.782608695652174
3,True,True,%,%,Rhode Island,Rhode Island,16,20,187776,%,8.52,0.8,0.8,80.00,0.8,0.8
4,True,True,%,%,New Hampshire,New Hampshire,12,15,60873,%,19.71,0.8,0.8,80.00,0.8,0.8
5,True,True,%,%,District of Columbia,District of Columbia,9,11,76919,%,11.70,0.8181818181818182,0.8181818181818182,81.82,0.8181818181818182,0.8181818181818182
6,True,True,%,%,Delaware,Delaware,21,25,101213,%,20.75,0.84,0.84,84.00,0.84,0.84
7,True,True,%,%,Louisiana,Louisiana,40,46,258338,%,15.48,0.8695652173913043,0.8695652173913043,86.96,0.8695652173913043,0.8695652173913043
8,True,True,%,%,Maryland,Maryland,92,105,684437,%,13.44,0.8761904761904762,0.8761904761904762,87.62,0.8761904761904762,0.8761904761904762
9,True,True,%,%,Iowa,Iowa,43,49,215119,%,19.99,0.8775510204081632,0.8775510204081632,87.76,0.8775510204081632,0.8775510204081632
10,True,True,%,%,Arizona,Arizona,372,423,2351122,%,15.82,0.8794326241134752,0.8794326241134752,87.94,0.8794326241134752,0.8794326241134752
11,True,True,%,%,Wyoming,Wyoming,23,26,61087,%,37.65,0.8846153846153847,0.8846153846153847,88.46,0.8846153846153847,0.8846153846153847
12,True,True,%,%,New York,New York,446,504,3868268,%,11.53,0.8849206349206349,0.8849206349206349,88.49,0.8849206349206349,0.8849206349206349
13,True,True,%,%,New Jersey,New Jersey,255,288,1991638,%,12.80,0.8854166666666665,0.8854166666666665,88.54,0.8854166666666665,0.8854166666666665
14,True,True,%,%,Oregon,Oregon,93,105,596517,%,15.59,0.8857142857142856,0.8857142857142856,88.57,0.8857142857142856,0.8857142857142856
15,True,True,%,%,Washington,Washington,163,184,1059156,%,15.39,0.8858695652173914,0.8858695652173914,88.59,0.8858695652173914,0.8858695652173914
16,True,True,%,%,Alabama,Alabama,47,53,241168,%,19.49,0.8867924528301886,0.8867924528301886,88.68,0.8867924528301886,0.8867924528301886
17,True,True,%,%,Connecticut,Connecticut,151,168,637112,%,23.70,0.8988095238095238,0.8988095238095238,89.88,0.8988095238095238,0.8988095238095238
18,True,True,%,%,Minnesota,Minnesota,63,70,333474,%,18.89,0.9,0.9,90.00,0.9,0.9
19,True,True,%,%,South Carolina,South Carolina,56,62,330096,%,16.96,0.9032258064516128,0.9032258064516128,90.32,0.9032258064516128,0.9032258064516128
20,True,True,%,%,Virginia,Virginia,152,168,882402,%,17.23,0.9047619047619048,0.9047619047619048,90.48,0.9047619047619048,0.9047619047619048
21,True,True,%,%,Idaho,Idaho,48,53,251919,%,19.05,0.9056603773584906,0.9056603773584906,90.57,0.9056603773584906,0.9056603773584906
22,True,True,%,%,Florida,Florida,718,792,5830908,%,12.31,0.9065656565656567,0.9065656565656567,90.66,0.9065656565656567,0.9065656565656567
