,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Alaska,Alaska,9,13,52262,%,17.22,0.6923076923076923,0.6923076923076923,69.23,0.6923076923076923,0.6923076923076923
1,True,True,%,%,Nebraska,Nebraska,14,18,40407,%,34.65,0.7777777777777778,0.7777777777777778,77.78,0.7777777777777778,0.7777777777777778
2,True,True,%,%,District of Columbia,District of Columbia,5,6,16480,%,30.34,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
3,True,True,%,%,West Virginia,West Virginia,11,13,33519,%,32.82,0.846153846153846,0.846153846153846,84.62,0.846153846153846,0.846153846153846
4,True,True,%,%,Connecticut,Connecticut,35,40,68017,%,51.46,0.875,0.875,87.50,0.875,0.875
5,True,True,%,%,New Hampshire,New Hampshire,7,8,22716,%,30.82,0.875,0.875,87.50,0.875,0.875
6,True,True,%,%,Hawaii,Hawaii,23,26,291001,%,7.90,0.8846153846153847,0.8846153846153847,88.46,0.8846153846153847,0.8846153846153847
7,True,True,%,%,Michigan,Michigan,85,96,243379,%,34.92,0.8854166666666665,0.8854166666666665,88.54,0.8854166666666665,0.8854166666666665
8,True,True,%,%,Nevada,Nevada,31,35,118795,%,26.10,0.8857142857142856,0.8857142857142856,88.57,0.8857142857142856,0.8857142857142856
9,True,True,%,%,Maine,Maine,8,9,24338,%,32.87,0.8888888888888888,0.8888888888888888,88.89,0.8888888888888888,0.8888888888888888
10,True,True,%,%,Illinois,Illinois,82,92,224432,%,36.54,0.8913043478260869,0.8913043478260869,89.13,0.8913043478260869,0.8913043478260869
11,True,True,%,%,Georgia,Georgia,84,94,217873,%,38.55,0.8936170212765957,0.8936170212765957,89.36,0.8936170212765957,0.8936170212765957
