,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,District of Columbia,District of Columbia,30,40,249751,%,12.01,0.75,0.75,75.00,0.75,0.75
1,True,True,%,%,Vermont,Vermont,90,109,595151,%,15.12,0.8256880733944956,0.8256880733944956,82.57,0.8256880733944956,0.8256880733944956
2,True,True,%,%,Hawaii,Hawaii,35,41,308195,%,11.36,0.8536585365853657,0.8536585365853657,85.37,0.8536585365853657,0.8536585365853657
3,True,True,%,%,Nevada,Nevada,156,178,1464563,%,10.65,0.8764044943820226,0.8764044943820226,87.64,0.8764044943820226,0.8764044943820226
4,True,True,%,%,Massachusetts,Massachusetts,433,491,4894728,%,8.85,0.8818737270875763,0.8818737270875763,88.19,0.8818737270875763,0.8818737270875763
5,True,True,%,%,New Jersey,New Jersey,336,379,4960795,%,6.77,0.8865435356200528,0.8865435356200528,88.65,0.8865435356200528,0.8865435356200528
6,True,True,%,%,Michigan,Michigan,1000,1121,7462582,%,13.40,0.8920606601248885,0.8920606601248885,89.21,0.8920606601248885,0.8920606601248885
7,True,True,%,%,Illinois,Illinois,833,933,7597266,%,10.96,0.8928188638799571,0.8928188638799571,89.28,0.8928188638799571,0.8928188638799571
8,True,True,%,%,Kansas,Kansas,325,364,2192217,%,14.83,0.8928571428571429,0.8928571428571429,89.29,0.8928571428571429,0.8928571428571429
9,True,True,%,%,Ohio,Ohio,1262,1413,9149813,%,13.79,0.8931351733899504,0.8931351733899504,89.31,0.8931351733899504,0.8931351733899504
10,True,True,%,%,Missouri,Missouri,714,799,4854359,%,14.71,0.8936170212765957,0.8936170212765957,89.36,0.8936170212765957,0.8936170212765957
11,True,True,%,%,Minnesota,Minnesota,604,674,4458035,%,13.55,0.8961424332344213,0.8961424332344213,89.61,0.8961424332344213,0.8961424332344213
12,True,True,%,%,Maine,Maine,190,212,1269535,%,14.97,0.8962264150943396,0.8962264150943396,89.62,0.8962264150943396,0.8962264150943396
13,True,True,%,%,New Mexico,New Mexico,87,97,759740,%,11.45,0.8969072164948454,0.8969072164948454,89.69,0.8969072164948454,0.8969072164948454
14,True,True,%,%,California,California,1384,1540,13815325,%,10.02,0.8987012987012987,0.8987012987012987,89.87,0.8987012987012987,0.8987012987012987
15,True,True,%,%,Oregon,Oregon,404,449,3148080,%,12.83,0.8997772828507795,0.8997772828507795,89.98,0.8997772828507795,0.8997772828507795
