,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Vermont,Vermont,20,24,2082,%,960.6,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
1,True,True,%,%,Rhode Island,Rhode Island,10,12,4633,%,215.8,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
2,True,True,%,%,Wyoming,Wyoming,29,33,12146,%,238.8,0.8787878787878787,0.8787878787878787,87.88,0.8787878787878787,0.8787878787878787
3,True,True,%,%,Alabama,Alabama,73,83,28165,%,259.2,0.8795180722891567,0.8795180722891567,87.95,0.8795180722891567,0.8795180722891567
4,True,True,%,%,Hawaii,Hawaii,8,9,3099,%,258.1,0.8888888888888888,0.8888888888888888,88.89,0.8888888888888888,0.8888888888888888
5,True,True,%,%,Iowa,Iowa,54,60,9836,%,549.0,0.9,0.9,90.00,0.9,0.9
6,True,True,%,%,Pennsylvania,Pennsylvania,84,93,19021,%,441.6,0.9032258064516128,0.9032258064516128,90.32,0.9032258064516128,0.9032258064516128
7,True,True,%,%,Louisiana,Louisiana,47,52,30358,%,154.8,0.903846153846154,0.903846153846154,90.38,0.903846153846154,0.903846153846154
8,True,True,%,%,Nevada,Nevada,39,43,26502,%,147.2,0.9069767441860463,0.9069767441860463,90.70,0.9069767441860463,0.9069767441860463
9,True,True,%,%,New Mexico,New Mexico,79,87,186151,%,42.4,0.9080459770114943,0.9080459770114943,90.80,0.9080459770114943,0.9080459770114943
10,True,True,%,%,Colorado,Colorado,110,121,37197,%,295.7,0.9090909090909092,0.9090909090909092,90.91,0.9090909090909092,0.9090909090909092
11,True,True,%,%,Maine,Maine,40,44,8892,%,449.8,0.9090909090909092,0.9090909090909092,90.91,0.9090909090909092,0.9090909090909092
12,True,True,%,%,Oregon,Oregon,113,124,46873,%,241.1,0.9112903225806451,0.9112903225806451,91.13,0.9112903225806451,0.9112903225806451
13,True,True,%,%,North Dakota,North Dakota,62,68,40207,%,154.2,0.9117647058823529,0.9117647058823529,91.18,0.9117647058823529,0.9117647058823529
14,True,True,%,%,Arizona,Arizona,211,231,279130,%,75.6,0.9134199134199135,0.9134199134199135,91.34,0.9134199134199135,0.9134199134199135
15,True,True,%,%,New York,New York,106,116,60197,%,176.1,0.9137931034482758,0.9137931034482758,91.38,0.9137931034482758,0.9137931034482758
16,True,True,%,%,Utah,Utah,53,58,31014,%,170.9,0.9137931034482758,0.9137931034482758,91.38,0.9137931034482758,0.9137931034482758
17,True,True,%,%,Minnesota,Minnesota,160,175,60687,%,263.6,0.9142857142857143,0.9142857142857143,91.43,0.9142857142857143,0.9142857142857143
18,True,True,%,%,North Carolina,North Carolina,117,127,115825,%,101.0,0.9212598425196851,0.9212598425196851,92.13,0.9212598425196851,0.9212598425196851
19,True,True,%,%,California,California,389,422,160861,%,241.8,0.9218009478672986,0.9218009478672986,92.18,0.9218009478672986,0.9218009478672986
20,True,True,%,%,Illinois,Illinois,71,77,19819,%,358.2,0.922077922077922,0.922077922077922,92.21,0.922077922077922,0.922077922077922
21,True,True,%,%,Alaska,Alaska,147,159,109039,%,134.8,0.9245283018867925,0.9245283018867925,92.45,0.9245283018867925,0.9245283018867925
22,True,True,%,%,Massachusetts,Massachusetts,37,40,12835,%,288.3,0.925,0.925,92.50,0.925,0.925
23,True,True,%,%,Wisconsin,Wisconsin,121,130,52520,%,230.4,0.9307692307692307,0.9307692307692307,93.08,0.9307692307692307,0.9307692307692307
24,True,True,%,%,Montana,Montana,86,92,66192,%,129.9,0.9347826086956521,0.9347826086956521,93.48,0.9347826086956521,0.9347826086956521
25,True,True,%,%,Connecticut,Connecticut,15,16,8111,%,184.9,0.9375,0.9375,93.75,0.9375,0.9375
26,True,True,%,%,Oklahoma,Oklahoma,498,531,339826,%,146.5,0.9378531073446328,0.9378531073446328,93.79,0.9378531073446328,0.9378531073446328
27,True,True,%,%,Michigan,Michigan,154,164,57651,%,267.1,0.9390243902439024,0.9390243902439024,93.90,0.9390243902439024,0.9390243902439024
28,True,True,%,%,Arkansas,Arkansas,78,83,23903,%,326.3,0.9397590361445785,0.9397590361445785,93.98,0.9397590361445785,0.9397590361445785
29,True,True,%,%,Nebraska,Nebraska,32,34,16418,%,194.9,0.9411764705882354,0.9411764705882354,94.12,0.9411764705882354,0.9411764705882354
30,True,True,%,%,Ohio,Ohio,117,124,22944,%,509.9,0.9435483870967742,0.9435483870967742,94.35,0.9435483870967742,0.9435483870967742
31,True,True,%,%,Delaware,Delaware,17,18,3033,%,560.5,0.9444444444444445,0.9444444444444445,94.44,0.9444444444444445,0.9444444444444445
32,True,True,%,%,Idaho,Idaho,52,55,20059,%,259.2,0.9454545454545454,0.9454545454545454,94.55,0.9454545454545454,0.9454545454545454
33,True,True,%,%,Indiana,Indiana,106,112,15815,%,670.2,0.9464285714285714,0.9464285714285714,94.64,0.9464285714285714,0.9464285714285714
34,True,True,%,%,Virginia,Virginia,71,75,23140,%,306.8,0.9466666666666668,0.9466666666666668,94.67,0.9466666666666668,0.9466666666666668
35,True,True,%,%,Tennessee,Tennessee,72,76,19841,%,362.9,0.9473684210526315,0.9473684210526315,94.74,0.9473684210526315,0.9473684210526315
36,True,True,%,%,New Jersey,New Jersey,22,23,14320,%,153.6,0.9565217391304349,0.9565217391304349,95.65,0.9565217391304349,0.9565217391304349
37,True,True,%,%,Washington,Washington,186,194,95740,%,194.3,0.9587628865979383,0.9587628865979383,95.88,0.9587628865979383,0.9587628865979383
38,True,True,%,%,Florida,Florida,143,149,55453,%,257.9,0.9597315436241609,0.9597315436241609,95.97,0.9597315436241609,0.9597315436241609
39,True,True,%,%,Georgia,Georgia,75,78,24975,%,300.3,0.9615384615384616,0.9615384615384616,96.15,0.9615384615384616,0.9615384615384616
40,True,True,%,%,West Virginia,West Virginia,25,26,3860,%,647.7,0.9615384615384616,0.9615384615384616,96.15,0.9615384615384616,0.9615384615384616
41,True,True,%,%,Missouri,Missouri,109,113,27135,%,401.7,0.9646017699115044,0.9646017699115044,96.46,0.9646017699115044,0.9646017699115044
42,True,True,%,%,Mississippi,Mississippi,31,32,14992,%,206.8,0.96875,0.96875,96.88,0.96875,0.96875
43,True,True,%,%,Texas,Texas,262,269,96976,%,270.2,0.9739776951672863,0.9739776951672863,97.40,0.9739776951672863,0.9739776951672863
44,True,True,%,%,South Carolina,South Carolina,48,49,19363,%,247.9,0.979591836734694,0.979591836734694,97.96,0.979591836734694,0.979591836734694
45,True,True,%,%,Kentucky,Kentucky,66,67,9313,%,708.7,0.9850746268656715,0.9850746268656715,98.51,0.9850746268656715,0.9850746268656715
46,True,True,%,%,South Dakota,South Dakota,106,107,73258,%,144.7,0.9906542056074766,0.9906542056074766,99.07,0.9906542056074766,0.9906542056074766
47,True,True,%,%,New Hampshire,New Hampshire,12,12,2960,%,405.4,1,1,100.00,1,1
48,True,True,%,%,Maryland,Maryland,27,27,14865,%,181.6,1,1,100.00,1,1
49,True,True,%,%,Kansas,Kansas,73,73,23301,%,313.3,1,1,100.00,1,1
50,True,True,%,%,District of Columbia,District of Columbia,6,6,1383,%,433.8,1,1,100.00,1,1
