,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,West Virginia,West Virginia,14,20,15762,%,88.8,0.7,0.7,70.00,0.7,0.7
1,True,True,%,%,Wyoming,Wyoming,12,16,6184,%,194.0,0.75,0.75,75.00,0.75,0.75
2,True,True,%,%,Montana,Montana,14,18,11461,%,122.2,0.7777777777777778,0.7777777777777778,77.78,0.7777777777777778,0.7777777777777778
3,True,True,%,%,North Dakota,North Dakota,11,14,13076,%,84.1,0.7857142857142858,0.7857142857142858,78.57,0.7857142857142858,0.7857142857142858
4,True,True,%,%,Iowa,Iowa,50,62,91780,%,54.5,0.8064516129032258,0.8064516129032258,80.65,0.8064516129032258,0.8064516129032258
5,True,True,%,%,Louisiana,Louisiana,43,53,85860,%,50.1,0.8113207547169812,0.8113207547169812,81.13,0.8113207547169812,0.8113207547169812
6,True,True,%,%,Alabama,Alabama,98,120,78576,%,124.7,0.8166666666666668,0.8166666666666668,81.67,0.8166666666666668,0.8166666666666668
7,True,True,%,%,New Jersey,New Jersey,229,280,942292,%,24.3,0.8178571428571428,0.8178571428571428,81.79,0.8178571428571428,0.8178571428571428
8,True,True,%,%,Nebraska,Nebraska,20,24,54128,%,36.9,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
9,True,True,%,%,Maine,Maine,21,25,18886,%,111.2,0.84,0.84,84.00,0.84,0.84
10,True,True,%,%,Alaska,Alaska,76,90,58213,%,130.6,0.8444444444444444,0.8444444444444444,84.44,0.8444444444444444,0.8444444444444444
11,True,True,%,%,Nevada,Nevada,126,149,292101,%,43.1,0.8456375838926175,0.8456375838926175,84.56,0.8456375838926175,0.8456375838926175
12,True,True,%,%,Maryland,Maryland,142,167,421227,%,33.7,0.8502994011976048,0.8502994011976048,85.03,0.8502994011976048,0.8502994011976048
13,True,True,%,%,New Mexico,New Mexico,23,27,35760,%,64.3,0.8518518518518519,0.8518518518518519,85.19,0.8518518518518519,0.8518518518518519
14,True,True,%,%,Colorado,Colorado,157,183,206559,%,76.0,0.8579234972677595,0.8579234972677595,85.79,0.8579234972677595,0.8579234972677595
15,True,True,%,%,Indiana,Indiana,167,194,183573,%,91.0,0.8608247422680413,0.8608247422680413,86.08,0.8608247422680413,0.8608247422680413
16,True,True,%,%,California,California,2067,2400,6136428,%,33.7,0.86125,0.86125,86.13,0.86125,0.86125
17,True,True,%,%,Pennsylvania,Pennsylvania,180,208,503783,%,35.7,0.8653846153846153,0.8653846153846153,86.54,0.8653846153846153,0.8653846153846153
18,True,True,%,%,South Dakota,South Dakota,13,15,15358,%,84.6,0.8666666666666667,0.8666666666666667,86.67,0.8666666666666667,0.8666666666666667
19,True,True,%,%,Delaware,Delaware,33,38,41957,%,78.7,0.8684210526315791,0.8684210526315791,86.84,0.8684210526315791,0.8684210526315791
20,True,True,%,%,Arkansas,Arkansas,61,70,64245,%,94.9,0.8714285714285716,0.8714285714285716,87.14,0.8714285714285716,0.8714285714285716
21,True,True,%,%,Connecticut,Connecticut,90,103,179054,%,50.3,0.8737864077669902,0.8737864077669902,87.38,0.8737864077669902,0.8737864077669902
22,True,True,%,%,Utah,Utah,93,106,119717,%,77.7,0.8773584905660378,0.8773584905660378,87.74,0.8773584905660378,0.8773584905660378
23,True,True,%,%,Florida,Florida,324,368,650132,%,49.8,0.8804347826086957,0.8804347826086957,88.04,0.8804347826086957,0.8804347826086957
24,True,True,%,%,Missouri,Missouri,81,92,144420,%,56.1,0.8804347826086957,0.8804347826086957,88.04,0.8804347826086957,0.8804347826086957
25,True,True,%,%,Illinois,Illinois,258,293,756590,%,34.1,0.8805460750853241,0.8805460750853241,88.05,0.8805460750853241,0.8805460750853241
26,True,True,%,%,New Hampshire,New Hampshire,15,17,42740,%,35.1,0.8823529411764706,0.8823529411764706,88.24,0.8823529411764706,0.8823529411764706
27,True,True,%,%,Michigan,Michigan,151,171,341843,%,44.2,0.8830409356725145,0.8830409356725145,88.30,0.8830409356725145,0.8830409356725145
28,True,True,%,%,North Carolina,North Carolina,148,167,353832,%,41.8,0.8862275449101796,0.8862275449101796,88.62,0.8862275449101796,0.8862275449101796
29,True,True,%,%,Texas,Texas,598,674,1584396,%,37.7,0.887240356083086,0.887240356083086,88.72,0.887240356083086,0.887240356083086
30,True,True,%,%,Tennessee,Tennessee,64,72,139839,%,45.8,0.8888888888888888,0.8888888888888888,88.89,0.8888888888888888,0.8888888888888888
31,True,True,%,%,Idaho,Idaho,32,36,31829,%,100.5,0.8888888888888888,0.8888888888888888,88.89,0.8888888888888888,0.8888888888888888
32,True,True,%,%,Arizona,Arizona,202,227,270631,%,74.6,0.8898678414096917,0.8898678414096917,88.99,0.8898678414096917,0.8898678414096917
33,True,True,%,%,Kentucky,Kentucky,57,64,78406,%,72.7,0.890625,0.890625,89.06,0.890625,0.890625
34,True,True,%,%,Washington,Washington,376,422,813284,%,46.2,0.8909952606635071,0.8909952606635071,89.10,0.8909952606635071,0.8909952606635071
35,True,True,%,%,Massachusetts,Massachusetts,174,195,520119,%,33.5,0.8923076923076924,0.8923076923076924,89.23,0.8923076923076924,0.8923076923076924
36,True,True,%,%,Georgia,Georgia,191,214,490433,%,38.9,0.8925233644859812,0.8925233644859812,89.25,0.8925233644859812,0.8925233644859812
37,True,True,%,%,Oregon,Oregon,102,114,221414,%,46.1,0.8947368421052632,0.8947368421052632,89.47,0.8947368421052632,0.8947368421052632
38,True,True,%,%,Oklahoma,Oklahoma,68,76,102892,%,66.1,0.8947368421052632,0.8947368421052632,89.47,0.8947368421052632,0.8947368421052632
