,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Vermont,Vermont,9,14,8685,%,103.6,0.6428571428571429,0.6428571428571429,64.29,0.6428571428571429,0.6428571428571429
1,True,True,%,%,North Dakota,North Dakota,12,15,25870,%,46.4,0.8,0.8,80.00,0.8,0.8
2,True,True,%,%,Maine,Maine,23,28,23559,%,97.6,0.8214285714285714,0.8214285714285714,82.14,0.8214285714285714,0.8214285714285714
3,True,True,%,%,Hawaii,Hawaii,25,30,27691,%,90.3,0.8333333333333335,0.8333333333333335,83.33,0.8333333333333335,0.8333333333333335
4,True,True,%,%,Idaho,Idaho,16,19,14597,%,109.6,0.8421052631578947,0.8421052631578947,84.21,0.8421052631578947,0.8421052631578947
5,True,True,%,%,Connecticut,Connecticut,199,235,382977,%,52.0,0.8468085106382979,0.8468085106382979,84.68,0.8468085106382979,0.8468085106382979
6,True,True,%,%,New Hampshire,New Hampshire,12,14,21519,%,55.8,0.8571428571428571,0.8571428571428571,85.71,0.8571428571428571,0.8571428571428571
7,True,True,%,%,Montana,Montana,7,8,6138,%,114.0,0.875,0.875,87.50,0.875,0.875
8,True,True,%,%,Louisiana,Louisiana,437,499,1499002,%,29.2,0.875751503006012,0.875751503006012,87.58,0.875751503006012,0.875751503006012
9,True,True,%,%,New York,New York,1136,1296,2857575,%,39.8,0.8765432098765432,0.8765432098765432,87.65,0.8765432098765432,0.8765432098765432
10,True,True,%,%,Florida,Florida,1265,1436,3386309,%,37.4,0.8809192200557104,0.8809192200557104,88.09,0.8809192200557104,0.8809192200557104
11,True,True,%,%,Michigan,Michigan,608,686,1383769,%,43.9,0.8862973760932945,0.8862973760932945,88.63,0.8862973760932945,0.8862973760932945
12,True,True,%,%,District of Columbia,District of Columbia,135,152,295889,%,45.6,0.888157894736842,0.888157894736842,88.82,0.888157894736842,0.888157894736842
13,True,True,%,%,Alabama,Alabama,447,503,1336172,%,33.5,0.8886679920477137,0.8886679920477137,88.87,0.8886679920477137,0.8886679920477137
14,True,True,%,%,Georgia,Georgia,1409,1583,3451256,%,40.8,0.8900821225521163,0.8900821225521163,89.01,0.8900821225521163,0.8900821225521163
15,True,True,%,%,Maryland,Maryland,801,899,1862521,%,43.0,0.8909899888765295,0.8909899888765295,89.10,0.8909899888765295,0.8909899888765295
16,True,True,%,%,Massachusetts,Massachusetts,234,262,522609,%,44.8,0.8931297709923663,0.8931297709923663,89.31,0.8931297709923663,0.8931297709923663
17,True,True,%,%,Mississippi,Mississippi,415,464,1107951,%,37.5,0.8943965517241379,0.8943965517241379,89.44,0.8943965517241379,0.8943965517241379
18,True,True,%,%,New Jersey,New Jersey,513,573,1205848,%,42.5,0.8952879581151832,0.8952879581151832,89.53,0.8952879581151832,0.8952879581151832
19,True,True,%,%,Arkansas,Arkansas,245,273,466227,%,52.5,0.8974358974358975,0.8974358974358975,89.74,0.8974358974358975,0.8974358974358975
20,True,True,%,%,Nebraska,Nebraska,70,78,97729,%,71.6,0.8974358974358975,0.8974358974358975,89.74,0.8974358974358975,0.8974358974358975
21,True,True,%,%,South Carolina,South Carolina,496,552,1352562,%,36.7,0.8985507246376812,0.8985507246376812,89.86,0.8985507246376812,0.8985507246376812
22,True,True,%,%,New Mexico,New Mexico,36,40,41152,%,87.5,0.9,0.9,90.00,0.9,0.9
23,True,True,%,%,Texas,Texas,1660,1838,3630643,%,45.7,0.9031556039173014,0.9031556039173014,90.32,0.9031556039173014,0.9031556039173014
24,True,True,%,%,Kansas,Kansas,118,130,168790,%,69.9,0.9076923076923077,0.9076923076923077,90.77,0.9076923076923077,0.9076923076923077
25,True,True,%,%,California,California,1215,1338,2200126,%,55.2,0.9080717488789237,0.9080717488789237,90.81,0.9080717488789237,0.9080717488789237
26,True,True,%,%,Missouri,Missouri,337,371,711459,%,47.4,0.908355795148248,0.908355795148248,90.84,0.908355795148248,0.908355795148248
27,True,True,%,%,Tennessee,Tennessee,478,525,1158262,%,41.3,0.9104761904761904,0.9104761904761904,91.05,0.9104761904761904,0.9104761904761904
