,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,Rhode Island,Rhode Island,60,75,187776,%,31.95,0.8,0.8,80.00,0.8,0.8
1,True,True,%,%,Alaska,Alaska,53,64,54732,%,96.84,0.828125,0.828125,82.81,0.828125,0.828125
2,True,True,%,%,District of Columbia,District of Columbia,32,38,76919,%,41.60,0.8421052631578947,0.8421052631578947,84.21,0.8421052631578947,0.8421052631578947
3,True,True,%,%,Delaware,Delaware,51,60,101213,%,50.39,0.85,0.85,85.00,0.85,0.85
4,True,True,%,%,Wyoming,Wyoming,38,44,61087,%,62.21,0.8636363636363636,0.8636363636363636,86.36,0.8636363636363636,0.8636363636363636
5,True,True,%,%,Vermont,Vermont,15,17,14384,%,104.28,0.8823529411764706,0.8823529411764706,88.24,0.8823529411764706,0.8823529411764706
6,True,True,%,%,Maryland,Maryland,278,315,684437,%,40.62,0.8825396825396825,0.8825396825396825,88.25,0.8825396825396825,0.8825396825396825
7,True,True,%,%,Oregon,Oregon,281,317,596517,%,47.11,0.886435331230284,0.886435331230284,88.64,0.886435331230284,0.886435331230284
8,True,True,%,%,Alabama,Alabama,141,159,241168,%,58.47,0.8867924528301886,0.8867924528301886,88.68,0.8867924528301886,0.8867924528301886
9,True,True,%,%,Hawaii,Hawaii,50,56,160134,%,31.22,0.8928571428571429,0.8928571428571429,89.29,0.8928571428571429,0.8928571428571429
10,True,True,%,%,North Dakota,North Dakota,26,29,34335,%,75.72,0.896551724137931,0.896551724137931,89.66,0.896551724137931,0.896551724137931
11,True,True,%,%,Louisiana,Louisiana,115,128,258338,%,44.52,0.8984375,0.8984375,89.84,0.8984375,0.8984375
12,True,True,%,%,Wisconsin,Wisconsin,243,270,442517,%,54.91,0.9,0.9,90.00,0.9,0.9
13,True,True,%,%,Maine,Maine,27,30,27037,%,99.86,0.9,0.9,90.00,0.9,0.9
14,True,True,%,%,New York,New York,1513,1679,3868268,%,39.11,0.9011316259678381,0.9011316259678381,90.11,0.9011316259678381,0.9011316259678381
15,True,True,%,%,Arizona,Arizona,1155,1281,2351122,%,49.13,0.9016393442622951,0.9016393442622951,90.16,0.9016393442622951,0.9016393442622951
16,True,True,%,%,Illinois,Illinois,1059,1174,2282133,%,46.40,0.9020442930153322,0.9020442930153322,90.20,0.9020442930153322,0.9020442930153322
17,True,True,%,%,California,California,6381,7063,15754605,%,40.50,0.9034404643919014,0.9034404643919014,90.34,0.9034404643919014,0.9034404643919014
18,True,True,%,%,Georgia,Georgia,518,573,1104836,%,46.88,0.9040139616055847,0.9040139616055847,90.40,0.9040139616055847,0.9040139616055847
19,True,True,%,%,Washington,Washington,539,595,1059156,%,50.89,0.9058823529411765,0.9058823529411765,90.59,0.9058823529411765,0.9058823529411765
20,True,True,%,%,West Virginia,West Virginia,29,32,33684,%,86.09,0.90625,0.90625,90.63,0.90625,0.90625
21,True,True,%,%,New Jersey,New Jersey,755,832,1991638,%,37.91,0.9074519230769232,0.9074519230769232,90.75,0.9074519230769232,0.9074519230769232
22,True,True,%,%,Connecticut,Connecticut,353,389,637112,%,55.41,0.9074550128534704,0.9074550128534704,90.75,0.9074550128534704,0.9074550128534704
23,True,True,%,%,Virginia,Virginia,442,487,882402,%,50.09,0.9075975359342915,0.9075975359342915,90.76,0.9075975359342915,0.9075975359342915
24,True,True,%,%,Florida,Florida,2297,2525,5830908,%,39.39,0.9097029702970297,0.9097029702970297,90.97,0.9097029702970297,0.9097029702970297
25,True,True,%,%,Idaho,Idaho,135,148,251919,%,53.59,0.9121621621621623,0.9121621621621623,91.22,0.9121621621621623,0.9121621621621623
26,True,True,%,%,Pennsylvania,Pennsylvania,553,605,1084634,%,50.98,0.9140495867768595,0.9140495867768595,91.40,0.9140495867768595,0.9140495867768595
27,True,True,%,%,Massachusetts,Massachusetts,439,480,897349,%,48.92,0.9145833333333333,0.9145833333333333,91.46,0.9145833333333333,0.9145833333333333
28,True,True,%,%,Texas,Texas,5081,5549,11857401,%,42.85,0.9156604793656513,0.9156604793656513,91.57,0.9156604793656513,0.9156604793656513
29,True,True,%,%,Utah,Utah,299,326,493636,%,60.57,0.9171779141104295,0.9171779141104295,91.72,0.9171779141104295,0.9171779141104295
30,True,True,%,%,Colorado,Colorado,780,850,1293214,%,60.31,0.9176470588235295,0.9176470588235295,91.76,0.9176470588235295,0.9176470588235295
31,True,True,%,%,Tennessee,Tennessee,212,231,425839,%,49.78,0.9177489177489178,0.9177489177489178,91.77,0.9177489177489178,0.9177489177489178
32,True,True,%,%,Kansas,Kansas,182,198,374093,%,48.65,0.9191919191919192,0.9191919191919192,91.92,0.9191919191919192,0.9191919191919192
33,True,True,%,%,South Carolina,South Carolina,150,163,330096,%,45.44,0.920245398773006,0.920245398773006,92.02,0.920245398773006,0.920245398773006
34,True,True,%,%,New Mexico,New Mexico,521,566,1059242,%,49.19,0.920494699646643,0.920494699646643,92.05,0.920494699646643,0.920494699646643
35,True,True,%,%,Missouri,Missouri,189,205,287125,%,65.82,0.9219512195121952,0.9219512195121952,92.20,0.9219512195121952,0.9219512195121952
36,True,True,%,%,Minnesota,Minnesota,201,218,333474,%,60.27,0.9220183486238532,0.9220183486238532,92.20,0.9220183486238532,0.9220183486238532
37,True,True,%,%,Nevada,Nevada,411,444,940757,%,43.69,0.9256756756756757,0.9256756756756757,92.57,0.9256756756756757,0.9256756756756757
38,True,True,%,%,Indiana,Indiana,324,350,522944,%,61.96,0.9257142857142857,0.9257142857142857,92.57,0.9257142857142857,0.9257142857142857
39,True,True,%,%,Nebraska,Nebraska,115,124,235669,%,48.80,0.9274193548387096,0.9274193548387096,92.74,0.9274193548387096,0.9274193548387096
40,True,True,%,%,North Carolina,North Carolina,499,538,1078224,%,46.28,0.9275092936802974,0.9275092936802974,92.75,0.9275092936802974,0.9275092936802974
41,True,True,%,%,Oklahoma,Oklahoma,245,263,467249,%,52.43,0.9315589353612166,0.9315589353612166,93.16,0.9315589353612166,0.9315589353612166
42,True,True,%,%,New Hampshire,New Hampshire,43,46,60873,%,70.64,0.9347826086956521,0.9347826086956521,93.48,0.9347826086956521,0.9347826086956521
43,True,True,%,%,Michigan,Michigan,385,410,561587,%,68.56,0.9390243902439024,0.9390243902439024,93.90,0.9390243902439024,0.9390243902439024
44,True,True,%,%,Kentucky,Kentucky,118,125,187984,%,62.77,0.944,0.944,94.40,0.944,0.944
45,True,True,%,%,Montana,Montana,34,36,48014,%,70.81,0.9444444444444445,0.9444444444444445,94.44,0.9444444444444445,0.9444444444444445
46,True,True,%,%,Iowa,Iowa,138,146,215119,%,64.15,0.9452054794520547,0.9452054794520547,94.52,0.9452054794520547,0.9452054794520547
47,True,True,%,%,Ohio,Ohio,365,386,508643,%,71.76,0.9455958549222798,0.9455958549222798,94.56,0.9455958549222798,0.9455958549222798
48,True,True,%,%,Arkansas,Arkansas,175,185,251277,%,69.64,0.9459459459459459,0.9459459459459459,94.59,0.9459459459459459,0.9459459459459459
49,True,True,%,%,Mississippi,Mississippi,53,56,102936,%,51.49,0.9464285714285714,0.9464285714285714,94.64,0.9464285714285714,0.9464285714285714
50,True,True,%,%,South Dakota,South Dakota,39,41,41288,%,94.46,0.9512195121951219,0.9512195121951219,95.12,0.9512195121951219,0.9512195121951219
