,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,District of Columbia,District of Columbia,25,29,16480,%,151.7,0.8620689655172413,0.8620689655172413,86.21,0.8620689655172413,0.8620689655172413
1,True,True,%,%,South Dakota,South Dakota,26,30,20807,%,125.0,0.8666666666666667,0.8666666666666667,86.67,0.8666666666666667,0.8666666666666667
2,True,True,%,%,Alaska,Alaska,75,85,52262,%,143.5,0.8823529411764706,0.8823529411764706,88.24,0.8823529411764706,0.8823529411764706
3,True,True,%,%,Louisiana,Louisiana,131,146,74216,%,176.5,0.8972602739726028,0.8972602739726028,89.73,0.8972602739726028,0.8972602739726028
4,True,True,%,%,Arkansas,Arkansas,157,173,63545,%,247.1,0.907514450867052,0.907514450867052,90.75,0.907514450867052,0.907514450867052
5,True,True,%,%,Kentucky,Kentucky,178,196,90573,%,196.5,0.9081632653061223,0.9081632653061223,90.82,0.9081632653061223,0.9081632653061223
6,True,True,%,%,Michigan,Michigan,392,430,243379,%,161.1,0.9116279069767441,0.9116279069767441,91.16,0.9116279069767441,0.9116279069767441
7,True,True,%,%,Massachusetts,Massachusetts,264,289,137083,%,192.6,0.9134948096885813,0.9134948096885813,91.35,0.9134948096885813,0.9134948096885813
8,True,True,%,%,North Dakota,North Dakota,32,35,16837,%,190.1,0.9142857142857143,0.9142857142857143,91.43,0.9142857142857143,0.9142857142857143
9,True,True,%,%,Maryland,Maryland,261,285,161497,%,161.6,0.9157894736842106,0.9157894736842106,91.58,0.9157894736842106,0.9157894736842106
10,True,True,%,%,Nevada,Nevada,229,250,118795,%,192.8,0.916,0.916,91.60,0.916,0.916
11,True,True,%,%,Connecticut,Connecticut,155,169,68017,%,227.9,0.9171597633136095,0.9171597633136095,91.72,0.9171597633136095,0.9171597633136095
12,True,True,%,%,Nebraska,Nebraska,82,89,40407,%,202.9,0.9213483146067416,0.9213483146067416,92.13,0.9213483146067416,0.9213483146067416
