,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,District of Columbia,District of Columbia,169,197,249751,%,67.67,0.8578680203045684,0.8578680203045684,85.79,0.8578680203045684,0.8578680203045684
1,True,True,%,%,Vermont,Vermont,405,449,595151,%,68.05,0.9020044543429844,0.9020044543429844,90.20,0.9020044543429844,0.9020044543429844
2,True,True,%,%,Wisconsin,Wisconsin,3141,3477,4727246,%,66.44,0.903364969801553,0.903364969801553,90.34,0.903364969801553,0.903364969801553
3,True,True,%,%,Connecticut,Connecticut,1349,1492,2330326,%,57.89,0.9041554959785523,0.9041554959785523,90.42,0.9041554959785523,0.9041554959785523
4,True,True,%,%,New Jersey,New Jersey,2245,2475,4960795,%,45.25,0.907070707070707,0.907070707070707,90.71,0.907070707070707,0.907070707070707
5,True,True,%,%,North Dakota,North Dakota,468,515,644623,%,72.60,0.9087378640776699,0.9087378640776699,90.87,0.9087378640776699,0.9087378640776699
6,True,True,%,%,California,California,8381,9197,13815325,%,60.66,0.911275415896488,0.911275415896488,91.13,0.911275415896488,0.911275415896488
7,True,True,%,%,New York,New York,5632,6178,10858889,%,51.87,0.9116218841048883,0.9116218841048883,91.16,0.9116218841048883,0.9116218841048883
8,True,True,%,%,Maine,Maine,1023,1122,1269535,%,80.58,0.9117647058823529,0.9117647058823529,91.18,0.9117647058823529,0.9117647058823529
9,True,True,%,%,Arizona,Arizona,2947,3231,3872615,%,76.10,0.9121015165583412,0.9121015165583412,91.21,0.9121015165583412,0.9121015165583412
