,Race Chart-value,Race Chart-alias,Percentage Suffix Label % Race-value,Percentage Suffix Label % Race-alias,State-value,State-alias,SUM(Positive PTSD)-alias,SUM(Total PTSD Responses)-alias,SUM(Total Population)-alias,ATTR(Percentage Suffix Label % Race)-alias,AGG(# per 100K)-alias,AGG(Show # or Percent Race)-value,AGG(Show # or Percent Race)-alias,AGG(Formatted Show # or Percent Positive Race)-alias,AGG(Sort Race)-value,AGG(Sort Race)-alias
0,True,True,%,%,District of Columbia,District of Columbia,421,480,670050,%,62.83,0.8770833333333333,0.8770833333333333,87.71,0.8770833333333333,0.8770833333333333
1,True,True,%,%,Vermont,Vermont,505,564,645570,%,78.23,0.895390070921986,0.895390070921986,89.54,0.895390070921986,0.895390070921986
2,True,True,%,%,Connecticut,Connecticut,2284,2534,3605597,%,63.35,0.9013417521704814,0.9013417521704814,90.13,0.9013417521704814,0.9013417521704814
3,True,True,%,%,New Jersey,New Jersey,4308,4777,9267130,%,46.49,0.9018212267113251,0.9018212267113251,90.18,0.9018212267113251,0.9018212267113251
4,True,True,%,%,California,California,21967,24318,39237836,%,55.98,0.9033226416646105,0.9033226416646105,90.33,0.9033226416646105,0.9033226416646105
5,True,True,%,%,North Dakota,North Dakota,633,700,774948,%,81.68,0.9042857142857142,0.9042857142857142,90.43,0.9042857142857142,0.9042857142857142
6,True,True,%,%,Maryland,Maryland,3510,3881,6165129,%,56.93,0.9044060809069827,0.9044060809069827,90.44,0.9044060809069827,0.9044060809069827
7,True,True,%,%,Alaska,Alaska,1027,1135,732673,%,140.17,0.9048458149779736,0.9048458149779736,90.48,0.9048458149779736,0.9048458149779736
8,True,True,%,%,New York,New York,10289,11349,19835913,%,51.87,0.9065997004141334,0.9065997004141334,90.66,0.9065997004141334,0.9065997004141334
9,True,True,%,%,Hawaii,Hawaii,860,948,1441553,%,59.66,0.9071729957805907,0.9071729957805907,90.72,0.9071729957805907,0.9071729957805907
10,True,True,%,%,Wisconsin,Wisconsin,4145,4564,5895908,%,70.30,0.9081945661700263,0.9081945661700263,90.82,0.9081945661700263,0.9081945661700263
11,True,True,%,%,Louisiana,Louisiana,2607,2867,4624047,%,56.38,0.9093128705964423,0.9093128705964423,90.93,0.9093128705964423,0.9093128705964423
12,True,True,%,%,Wyoming,Wyoming,532,585,578803,%,91.91,0.9094017094017094,0.9094017094017094,90.94,0.9094017094017094,0.9094017094017094
13,True,True,%,%,Maine,Maine,1243,1366,1372247,%,90.58,0.9099560761346999,0.9099560761346999,91.00,0.9099560761346999,0.9099560761346999
14,True,True,%,%,Arizona,Arizona,5458,5997,7276316,%,75.01,0.9101217275304319,0.9101217275304319,91.01,0.9101217275304319,0.9101217275304319
15,True,True,%,%,Illinois,Illinois,7862,8629,12671469,%,62.04,0.9111136864063043,0.9111136864063043,91.11,0.9111136864063043,0.9111136864063043
16,True,True,%,%,Michigan,Michigan,7346,8055,10050811,%,73.09,0.9119801365611422,0.9119801365611422,91.20,0.9119801365611422,0.9119801365611422
17,True,True,%,%,Alabama,Alabama,3797,4162,5039877,%,75.34,0.9123017779913503,0.9123017779913503,91.23,0.9123017779913503,0.9123017779913503
