Site_Count,state,county
1,01,001
4,01,003
2,01,005
14,01,007
1,01,009
2,01,011
2,01,013
3,01,015
1,01,017
3,01,019
2,01,021
2,01,023
6,01,025
1,01,027
1,01,029
1,01,031
1,01,033
2,01,035
1,01,037
1,01,041
1,01,043
1,01,045
3,01,047
4,01,049
3,01,051
3,01,053
10,01,055
1,01,059
2,01,061
1,01,063
3,01,065
1,01,067
1,01,069
7,01,071
34,01,073
1,01,075
2,01,077
1,01,079
1,01,083
1,01,085
1,01,087
15,01,089
3,01,091
1,01,095
32,01,097
2,01,099
11,01,101
1,01,103
3,01,105
5,01,107
2,01,109
1,01,111
1,01,113
2,01,117
1,01,119
3,01,121
1,01,123
5,01,125
8,01,127
1,01,129
5,01,131
1,01,133
