Site_Count,state,county
1,05,001
5,05,003
1,05,005
10,05,007
1,05,009
7,05,011
1,05,013
2,05,015
8,05,017
2,05,019
2,05,021
2,05,023
1,05,025
1,05,029
5,05,031
4,05,033
7,05,035
3,05,037
1,05,041
6,05,043
6,05,045
1,05,049
5,05,051
3,05,053
1,05,055
2,05,057
5,05,059
4,05,063
3,05,065
4,05,067
6,05,069
4,05,071
1,05,073
1,05,075
2,05,077
7,05,079
1,05,083
6,05,085
2,05,087
1,05,089
4,05,091
1,05,093
3,05,095
3,05,097
2,05,101
1,05,103
4,05,107
1,05,111
4,05,113
3,05,115
2,05,117
14,05,119
1,05,121
4,05,125
3,05,129
5,05,131
1,05,133
1,05,135
1,05,137
2,05,139
2,05,141
18,05,143
9,05,145
7,05,147
