Site_Count,state,county
153,06,001
2,06,005
10,06,007
3,06,009
3,06,011
47,06,013
5,06,015
10,06,017
102,06,019
2,06,021
36,06,023
13,06,025
3,06,027
62,06,029
27,06,031
9,06,033
7,06,035
549,06,037
22,06,039
22,06,041
1,06,043
26,06,045
24,06,047
3,06,049
29,06,053
8,06,055
5,06,057
99,06,059
5,06,061
1,06,063
89,06,065
66,06,067
2,06,069
57,06,071
243,06,073
75,06,075
48,06,077
16,06,079
35,06,081
54,06,083
88,06,085
35,06,087
35,06,089
1,06,091
16,06,093
23,06,095
42,06,097
44,06,099
10,06,101
11,06,103
3,06,105
70,06,107
3,06,109
55,06,111
5,06,113
11,06,115
