Site_Count,state,county
1,19,003
2,19,007
2,19,009
5,19,011
4,19,013
3,19,017
1,19,019
1,19,021
3,19,023
1,19,025
4,19,029
1,19,033
1,19,037
1,19,039
2,19,043
1,19,045
1,19,049
5,19,053
4,19,055
5,19,057
5,19,061
1,19,065
1,19,069
2,19,071
1,19,077
3,19,079
1,19,081
4,19,085
4,19,087
1,19,093
7,19,101
1,19,103
5,19,107
3,19,111
4,19,113
2,19,115
2,19,117
1,19,123
1,19,125
2,19,127
3,19,131
1,19,133
6,19,135
1,19,137
2,19,139
1,19,145
3,19,147
17,19,153
7,19,155
4,19,159
2,19,161
7,19,163
4,19,165
1,19,167
1,19,169
1,19,171
2,19,173
4,19,177
6,19,179
3,19,185
5,19,187
2,19,193
3,19,197
