Site_Count,state,county
7,17,001
4,17,003
1,17,005
1,17,007
2,17,009
1,17,013
4,17,017
7,17,019
2,17,021
5,17,025
2,17,027
3,17,029
243,17,031
4,17,033
1,17,035
2,17,037
12,17,043
2,17,047
1,17,049
1,17,051
3,17,055
1,17,057
1,17,059
6,17,061
2,17,065
7,17,067
2,17,069
2,17,071
4,17,075
15,17,077
3,17,081
4,17,083
3,17,087
18,17,089
2,17,091
1,17,095
3,,
10,17,097
2,17,101
1,17,105
1,17,107
7,17,115
14,17,117
12,17,119
1,17,121
3,17,127
1,17,109
4,17,111
4,17,113
3,17,135
2,17,137
1,17,139
5,17,143
4,17,145
3,17,149
1,17,151
2,17,153
4,17,157
2,17,159
10,17,161
6,17,165
12,17,167
1,17,169
1,17,175
3,17,179
1,17,181
6,17,183
1,17,185
2,17,187
2,17,191
2,17,193
5,17,195
7,17,197
19,17,199
8,17,201
