Site_Count,state,county
11,18,003
2,18,005
2,18,011
5,18,015
2,18,017
6,18,019
2,18,023
2,18,025
1,18,027
1,,
16,18,035
1,18,037
9,18,039
3,18,041
4,18,043
2,18,051
7,18,053
2,18,055
4,18,057
1,18,059
1,18,061
1,18,063
2,18,065
3,18,067
1,18,069
2,18,071
1,18,073
4,18,075
5,18,081
13,18,083
1,18,085
5,,
1,,
48,18,089
4,18,093
15,18,095
103,18,097
1,18,099
2,18,101
1,18,103
5,18,105
1,18,107
2,18,109
1,18,113
4,18,117
1,18,119
2,18,121
3,18,125
13,18,127
1,18,133
3,18,135
1,18,139
3,18,143
1,18,145
4,18,149
1,18,151
3,18,157
1,18,159
1,18,161
5,18,163
3,18,165
7,18,167
1,18,169
3,18,175
11,18,177
2,18,179
2,18,181
1,18,183
