Site_Count,state,county
3,20,001
2,20,003
6,20,005
2,20,007
2,20,009
2,20,011
2,20,013
2,20,019
7,20,021
2,20,023
1,20,025
3,20,035
20,20,037
2,20,039
1,20,041
3,20,045
1,20,047
2,20,049
4,20,051
3,20,053
7,20,055
8,20,057
2,20,059
1,20,061
4,20,063
2,20,065
1,20,067
1,20,071
2,20,073
2,20,077
7,20,079
3,20,085
3,20,091
12,20,099
1,20,101
1,20,103
3,20,107
1,20,109
2,20,111
1,20,113
3,20,119
1,20,121
7,20,125
2,20,129
1,20,131
7,20,133
1,20,141
2,20,145
1,20,147
2,20,149
1,20,151
3,20,153
2,20,155
1,20,161
1,20,165
2,20,167
4,20,169
29,20,173
5,20,175
2,20,177
3,20,179
1,20,181
1,20,185
1,20,191
1,20,199
1,20,203
21,20,209
