Site_Count,state,county
8,21,001
1,21,003
8,21,005
1,21,007
19,21,009
2,21,011
15,21,013
1,21,015
9,21,017
3,21,019
5,21,021
2,21,023
6,21,025
3,21,033
1,21,035
2,21,037
1,21,039
9,21,041
3,21,043
5,21,045
5,21,047
4,21,049
7,21,051
7,21,053
1,21,055
5,21,057
12,21,059
7,21,061
2,21,063
3,21,065
26,21,067
1,21,069
10,21,071
6,21,073
6,21,077
2,21,079
1,21,083
5,21,087
1,21,089
32,21,093
13,21,095
1,21,097
8,21,099
1,21,101
2,21,103
1,21,105
1,21,107
3,21,109
30,21,111
8,21,113
4,21,115
16,21,117
3,21,119
24,21,121
6,21,123
6,21,125
1,21,127
5,21,129
9,21,131
18,21,133
4,21,135
9,21,137
5,21,139
2,21,141
7,21,151
4,21,153
10,21,155
9,21,159
4,21,161
2,21,145
10,21,147
1,21,149
1,21,165
1,21,167
3,21,169
2,21,171
13,21,173
4,21,175
3,21,177
6,21,179
2,21,181
9,21,187
2,21,189
7,21,193
10,21,195
10,21,197
10,21,199
1,21,201
3,21,203
1,21,205
10,21,207
1,21,211
1,21,215
5,21,217
3,21,219
1,21,221
2,21,225
26,21,227
5,21,229
8,21,231
5,21,233
21,21,235
1,21,237
8,21,239
