Site_Count,state,county
4,26,001
1,26,003
1,26,005
13,26,007
1,26,009
2,26,011
1,26,013
4,26,015
4,26,017
2,26,019
4,26,021
13,26,025
10,26,031
6,26,033
2,26,035
10,26,047
11,26,049
3,26,051
1,26,055
9,26,057
5,26,061
2,26,063
11,26,065
3,26,067
6,26,069
1,26,071
5,26,073
7,26,075
5,26,077
24,26,081
3,26,085
1,26,087
3,26,089
5,26,091
1,26,095
6,26,099
5,26,101
3,26,103
2,26,105
3,26,107
1,26,109
1,26,111
1,26,113
16,26,115
2,26,117
7,26,119
32,26,121
10,26,123
24,26,125
2,26,127
4,26,129
1,26,131
2,26,133
3,26,135
2,26,137
2,26,139
6,26,141
5,26,143
22,26,145
1,26,151
2,26,155
3,26,157
5,26,159
9,26,161
39,26,163
2,26,165
