Site_Count,state,county
11,29,001
3,29,003
3,29,007
6,29,009
3,29,011
6,29,013
5,29,015
1,29,017
14,29,019
7,29,021
11,29,023
5,29,025
3,29,027
8,29,029
5,29,031
3,29,033
1,29,035
4,29,037
3,29,039
1,29,041
1,29,043
1,29,045
5,29,047
1,29,049
7,29,051
4,29,055
3,29,057
5,29,059
3,29,061
1,29,063
4,29,065
3,29,067
7,29,069
2,29,071
1,29,073
4,29,075
20,29,077
3,29,081
4,29,083
7,29,085
3,29,087
1,29,089
7,29,091
5,29,093
27,29,095
6,29,097
12,29,099
1,29,101
1,29,103
10,29,105
10,29,107
2,29,109
3,29,111
1,29,113
1,29,115
4,29,117
1,29,121
1,29,123
1,29,125
8,29,127
14,29,119
4,29,129
5,29,131
4,29,133
2,29,135
4,29,137
5,29,139
6,29,141
8,29,143
8,29,145
3,29,147
3,29,149
2,29,151
2,29,153
3,29,155
1,29,157
6,29,159
6,29,161
8,29,163
1,29,165
11,29,167
9,29,169
1,29,173
3,29,175
4,29,179
7,29,181
4,29,195
1,29,197
1,29,199
7,29,201
3,29,203
9,29,207
5,29,209
3,29,211
8,29,213
7,29,215
3,29,217
2,29,219
11,29,221
3,29,223
6,29,225
6,29,229
