Site_Count,state,county
5,28,001
1,28,003
7,28,005
4,28,009
4,28,011
2,28,013
3,28,017
2,28,019
4,28,021
3,28,023
7,28,027
1,28,029
13,28,031
1,28,033
18,28,035
4,28,037
1,28,039
7,28,041
2,28,043
5,28,045
11,28,047
35,28,049
6,28,051
2,28,053
1,28,055
2,28,057
13,28,059
2,28,061
4,28,063
3,28,065
6,28,067
2,28,069
3,28,071
19,28,073
8,28,075
2,28,077
5,28,079
2,28,081
3,28,083
2,28,085
8,28,089
3,28,091
6,28,093
8,28,095
2,28,097
6,28,099
2,28,101
3,28,103
1,28,105
3,28,107
2,28,109
2,28,111
1,28,113
4,28,115
1,28,117
2,28,119
9,28,121
3,28,123
1,28,125
5,28,127
4,28,129
1,28,131
9,28,133
2,28,135
1,28,137
5,28,139
1,28,141
3,28,143
2,28,145
4,28,147
1,28,149
6,28,151
2,28,153
4,28,157
3,28,161
9,28,163
