Site_Count,state,county
4,37,001
2,37,003
2,37,005
2,37,007
3,37,009
4,37,011
2,37,013
4,37,015
5,37,017
4,37,019
36,37,021
8,37,023
4,37,025
4,37,027
1,37,031
9,37,033
43,37,035
4,37,037
4,37,039
1,37,041
1,37,043
14,37,045
8,37,047
5,37,049
7,37,051
1,37,055
6,37,057
15,37,059
14,37,061
11,37,063
8,37,065
11,37,067
2,37,069
41,37,071
3,37,073
3,37,075
3,37,077
9,37,079
6,37,081
14,37,083
10,37,085
4,37,087
24,37,089
4,37,091
3,37,093
5,37,095
9,37,097
9,37,099
6,37,101
2,37,105
19,37,107
15,37,109
3,37,113
4,37,115
1,37,117
17,37,111
8,37,119
4,37,121
2,37,123
7,37,127
5,37,129
5,37,131
2,37,133
6,37,135
2,37,137
2,37,139
7,37,141
4,37,145
2,37,147
3,37,149
4,37,151
4,37,153
14,37,155
1,37,157
6,37,159
3,37,161
14,37,163
5,37,165
2,37,167
1,37,171
6,37,173
12,37,175
1,37,179
2,37,181
13,37,183
2,37,185
2,37,187
4,37,189
9,37,191
2,37,193
5,37,195
3,37,197
6,37,199
