Site_Count,state,county
13,36,001
4,36,003
134,36,005
2,36,007
4,36,009
17,36,011
7,36,013
2,36,015
2,36,019
1,36,021
10,36,023
13,36,027
20,36,029
4,36,031
7,36,033
4,36,037
2,36,039
1,36,041
1,36,043
11,36,045
129,36,047
2,36,049
5,36,051
3,36,053
40,36,055
1,36,057
14,36,059
107,36,061
4,36,063
15,36,065
13,36,067
2,36,069
25,36,071
6,36,073
15,36,075
1,36,077
2,36,079
43,36,081
1,36,083
15,36,085
17,36,087
1,36,091
3,36,093
1,36,099
3,36,101
18,36,103
8,36,105
9,36,111
13,36,113
2,36,115
5,36,117
37,36,119
4,36,121
8,36,123
