Site_Count,state,county
3,39,001
8,39,003
2,39,005
4,39,007
11,39,009
8,39,013
4,39,015
16,39,017
1,39,019
4,39,023
11,39,025
1,39,027
8,39,029
5,39,031
3,39,033
44,39,035
4,39,037
2,39,039
1,39,041
18,39,043
1,39,045
1,39,047
47,39,049
3,39,053
2,39,057
3,39,059
52,39,061
1,39,063
3,39,065
2,39,067
1,39,069
6,39,071
3,39,073
4,39,077
4,39,079
8,39,081
6,39,083
6,39,085
15,39,087
1,39,089
6,39,093
23,39,095
1,39,097
2,39,101
1,39,103
4,39,105
2,39,111
23,39,113
1,39,115
9,39,119
1,39,121
1,39,123
1,39,127
1,39,129
7,39,131
7,39,139
4,39,141
5,39,143
4,39,145
1,39,147
5,39,151
8,39,153
8,39,155
2,39,157
1,39,159
1,39,163
4,39,165
3,39,167
2,39,171
1,39,173
