Site_Count,state,county
3,40,001
2,40,003
2,40,005
2,40,011
2,40,013
6,40,015
4,40,017
8,40,019
22,40,021
3,40,023
1,40,025
4,40,027
2,40,029
20,40,031
3,40,035
1,40,037
1,40,039
2,40,041
1,40,043
4,40,047
5,40,049
1,40,051
1,40,053
2,40,057
5,40,061
5,40,063
3,40,069
3,40,071
3,40,077
2,40,079
4,40,081
2,40,083
1,40,093
1,40,095
3,40,097
1,40,087
6,40,089
8,40,091
1,40,099
6,40,101
2,40,105
2,40,107
29,40,109
4,40,111
7,40,113
8,40,115
1,40,117
1,40,119
11,40,121
14,40,123
5,40,125
1,40,127
1,40,131
6,40,133
7,40,135
3,40,137
3,40,139
1,40,141
11,40,143
5,40,145
4,40,147
1,40,149
