Site_Count,state,county
2,42,001
37,42,003
3,42,007
5,42,009
7,42,011
2,42,013
2,42,015
1,42,019
5,42,021
3,42,023
2,42,025
3,42,027
7,42,029
2,42,031
2,42,033
1,42,035
6,42,039
4,42,041
6,42,043
6,42,045
3,42,047
11,42,049
9,42,051
3,42,053
1,42,057
14,42,059
14,42,061
3,42,063
3,42,065
16,42,069
20,42,071
3,42,073
4,42,075
19,42,077
11,42,079
5,42,081
7,42,083
15,42,085
2,42,087
4,42,091
12,42,095
2,42,097
2,42,099
88,42,101
4,42,103
5,42,105
7,42,107
1,42,111
1,42,113
4,42,115
10,42,117
2,42,119
2,42,121
32,42,125
18,42,127
6,42,129
2,42,131
3,42,133
