Site_Count,state,county
1,72,001
1,72,003
1,72,005
2,72,007
2,72,009
3,72,013
2,72,015
1,72,017
1,72,019
6,,
1,72,023
5,72,025
4,72,027
1,,
1,72,031
1,72,037
2,72,041
1,72,043
1,,
2,72,047
2,72,049
1,72,054
2,,
4,72,057
1,72,061
3,72,063
2,72,065
1,72,069
1,72,071
1,72,073
1,,
1,72,077
1,72,079
4,72,081
1,,
1,72,085
2,72,089
2,72,093
2,72,095
10,,
1,72,099
2,72,101
2,72,103
1,72,105
1,72,107
3,72,109
1,,
9,72,113
1,72,115
1,,
1,,
2,72,123
10,72,127
3,72,129
3,,
2,72,133
3,72,135
2,72,137
1,72,139
4,72,141
2,72,143
1,72,147
2,72,149
1,72,153
