Site_Count,state,county
1,47,001
3,47,003
1,47,007
1,47,009
1,47,011
3,47,013
1,47,015
1,47,019
1,47,021
2,47,023
3,47,025
1,47,027
6,47,029
2,47,035
19,47,037
1,47,041
2,47,043
1,47,047
1,47,049
2,47,053
2,47,057
3,47,059
1,47,061
4,47,063
14,47,065
3,47,067
5,47,069
4,47,071
6,47,073
1,47,075
2,47,081
2,47,085
1,47,087
1,47,089
2,47,091
6,47,093
2,47,095
1,47,097
1,47,101
1,47,105
2,47,111
2,47,113
13,47,117
1,47,119
1,47,107
2,47,109
2,47,121
16,47,123
2,47,125
2,47,129
1,47,131
1,47,133
1,47,135
1,47,137
4,47,139
2,47,141
8,47,143
7,47,149
10,47,151
19,47,155
22,47,157
1,47,159
1,47,161
2,47,163
2,47,165
1,47,171
1,47,173
2,47,175
1,47,177
5,47,179
3,47,181
1,47,185
16,47,187
1,47,189
