Site_Count,state,county
1,48,001
1,48,003
4,48,013
5,48,021
4,48,025
5,48,027
43,48,029
5,48,037
6,48,041
2,48,043
2,48,047
6,48,051
1,48,053
2,48,055
1,48,057
3,48,059
7,48,061
3,48,071
2,48,073
1,48,075
6,48,085
2,48,091
2,48,093
1,48,095
20,48,113
2,48,115
2,48,123
2,48,117
1,48,119
3,48,121
3,48,127
1,48,129
1,48,131
3,48,135
54,48,141
3,48,139
1,48,143
1,48,145
1,48,147
2,48,149
12,48,157
1,48,159
1,48,161
5,48,163
1,48,165
4,48,167
1,48,171
1,48,175
3,48,177
16,48,183
1,48,185
3,48,187
2,48,189
1,48,199
107,48,201
5,48,203
1,48,207
3,48,209
2,48,213
9,48,215
1,48,217
1,48,219
1,48,223
2,48,227
4,48,229
6,48,231
1,48,237
2,48,241
14,48,245
1,48,247
7,48,249
1,48,253
2,48,255
1,48,259
2,48,267
4,48,273
4,48,283
1,48,277
1,48,287
2,48,289
6,48,291
2,48,293
1,48,297
13,48,303
1,48,305
1,48,313
1,48,319
6,48,321
6,48,323
3,48,307
13,48,309
1,48,311
3,48,325
1,48,327
5,48,329
4,48,331
4,48,339
3,48,347
4,48,355
1,48,361
1,48,367
1,48,369
4,48,371
1,48,373
1,48,375
2,48,377
1,48,385
1,48,389
7,48,395
3,48,401
1,48,405
1,48,407
2,48,409
1,48,417
2,48,419
15,48,423
2,48,427
1,48,429
3,48,439
2,48,441
1,48,443
2,48,449
3,48,451
51,48,453
1,48,459
4,48,463
7,48,465
4,48,473
6,48,479
4,48,481
11,48,485
2,48,487
1,48,489
14,48,491
1,48,493
1,48,495
4,48,507
