Site_Count,state,county
9,51,001
1,51,003
7,,
1,51,005
1,51,007
7,51,009
1,51,011
2,51,013
1,51,015
2,51,019
5,51,021
3,,
2,51,025
5,51,027
3,51,029
2,,
1,51,031
2,51,033
2,51,035
1,51,036
1,51,037
2,,
3,,
1,51,041
3,51,045
1,51,047
7,,
1,51,051
1,51,053
1,,
1,,
14,51,059
1,51,063
1,,
1,51,067
1,,
1,,
2,51,071
1,51,075
3,51,077
1,51,081
1,51,083
1,,
3,,
4,51,087
3,51,089
2,51,091
1,,
1,51,095
2,51,101
7,51,105
1,,
2,51,107
1,51,109
7,51,111
7,,
1,,
4,,
2,51,117
3,51,121
7,51,125
7,,
4,,
4,51,131
2,51,141
4,,
2,51,143
4,,
1,51,147
2,51,149
3,51,153
2,51,155
14,,
1,51,159
3,,
6,51,163
1,51,165
2,51,167
3,51,169
6,51,173
4,51,175
1,,
1,51,181
5,51,183
5,51,185
3,,
4,51,191
1,51,193
2,,
3,51,195
